episode,timestep,reward,length
1,18,-15.175266,18
2,110,-154.77504,92
3,128,-20.278492,18
4,1128,-1076.9537,1000
5,1218,-101.442894,90
6,1301,-115.26783,83
7,1340,-28.62645,39
8,1442,-118.321045,102
9,1467,-45.22618,25
10,1518,-44.36049,51
11,1572,-75.45375,54
12,1605,-53.17446,33
13,1655,-68.83046,50
14,1703,-9.190713,48
15,1769,-81.2344,66
16,1798,-30.152376,29
17,1829,-71.0201,31
18,1875,-65.55543,46
19,1913,-23.011894,38
20,1955,-25.438898,42
21,1981,-55.633743,26
22,2012,-45.609673,31
23,2042,-18.808886,30
24,2110,-69.26585,68
25,2182,-34.000004,72
26,2248,-77.3343,66
27,2292,-100.637764,44
28,2307,-21.591158,15
29,2402,-104.60328,95
30,2437,-25.590637,35
31,2450,-16.926317,13
32,2480,-27.180058,30
33,2522,-39.498894,42
34,2540,-5.0177865,18
35,2555,-17.425032,15
36,2585,-21.721535,30
37,2597,-5.0210257,12
38,2617,-30.652271,20
39,2635,-20.836733,18
40,2671,-15.817427,36
41,2687,-19.894102,16
42,2698,-17.541296,11
43,2736,-42.457226,38
44,2754,-14.138316,18
45,2780,5.4529424,26
46,2867,-97.46464,87
47,2879,-19.09988,12
48,2901,-30.19767,22
49,2947,-66.3002,46
50,2990,-29.074648,43
51,3022,-26.12622,32
52,4022,-1125.7499,1000
53,4093,-67.829414,71
54,4107,-10.992647,14
55,4165,-85.46482,58
56,4213,-88.539635,48
57,4378,-115.04356,165
58,4408,13.074103,30
59,4431,-21.447924,23
60,4450,-7.4860806,19
61,4485,-44.33027,35
62,4520,-48.956856,35
63,4589,-39.90748,69
64,4617,-22.938602,28
65,4631,-5.427342,14
66,4645,-16.854145,14
67,4671,-6.2446556,26
68,4704,-9.47124,33
69,4717,-18.865767,13
70,4782,-46.839016,65
71,4855,-90.42442,73
72,4868,2.8796163,13
73,4912,-24.94306,44
74,4923,-10.738352,11
75,5923,-1079.7468,1000
76,6096,-198.9975,173
77,6136,-41.460545,40
78,6181,-43.131115,45
79,6306,-91.931946,125
80,6335,-19.827171,29
81,6361,-31.283655,26
82,6373,-16.031252,12
83,6503,-81.92195,130
84,6518,-12.851236,15
85,6544,-18.759407,26
86,6577,-14.709362,33
87,6630,-84.64034,53
88,6648,-25.471968,18
89,6665,-15.2877,17
90,6686,-19.023632,21
91,6736,-29.864262,50
92,6761,-11.828474,25
93,6878,-159.14389,117
94,6936,-16.743614,58
95,6949,-15.671518,13
96,6981,-34.17154,32
97,7010,-56.132416,29
98,7035,-26.66867,25
99,7123,-71.31377,88
100,8123,-1008.94476,1000
101,8181,-115.48647,58
102,8221,-14.260602,40
103,8258,-59.369797,37
104,8292,-30.964937,34
105,8312,-28.432491,20
106,8444,-101.795784,132
107,8483,-29.050318,39
108,8523,-16.432026,40
109,8606,-41.77576,83
110,8638,-42.99504,32
111,8799,-112.96477,161
112,8845,-48.918995,46
113,8864,-17.364935,19
114,8901,-45.329514,37
115,8910,-14.996147,9
116,8940,-8.76799,30
117,8984,-7.6578474,44
118,8997,1.3822273,13
119,9040,-24.28692,43
120,9077,-40.30481,37
121,9173,-82.99403,96
122,10173,-880.2371,1000
123,10235,-86.24359,62
124,10275,-34.760406,40
125,10355,-148.6754,80
126,10369,-16.569174,14
127,10394,-30.64963,25
128,10463,-53.961956,69
129,10483,-12.921976,20
130,10507,-33.1204,24
131,10567,-83.71852,60
132,10740,-178.58366,173
133,10802,-93.56451,62
134,10871,-11.741999,69
135,10901,-46.942528,30
136,10941,-30.727236,40
137,10960,-12.368817,19
138,11019,-75.38668,59
139,12019,-782.0739,1000
140,12045,-43.96201,26
141,12077,8.424536,32
142,12130,-78.52486,53
143,12154,-18.508108,24
144,12183,-12.149833,29
145,12234,-70.93408,51
146,12465,-168.57506,231
147,12498,-16.734905,33
148,12562,-63.70887,64
149,12576,-11.237678,14
150,12601,-32.13458,25
151,12701,-95.748436,100
152,12712,-9.406774,11
153,12730,-11.71511,18
154,12744,-20.72543,14
155,12775,-21.163633,31
156,12799,-26.230183,24
157,13799,-785.09503,1000
158,13821,-24.707458,22
159,13864,-36.184418,43
160,13908,-41.05179,44
161,13975,-60.626717,67
162,14039,-38.607944,64
163,14055,-28.373806,16
164,15055,-676.0544,1000
165,16055,-568.67725,1000
166,16116,-22.914951,61
167,16196,-68.108086,80
168,16237,-25.810246,41
169,17237,-527.5051,1000
170,17280,-30.289896,43
171,17326,-20.949804,46
172,17355,-13.143405,29
