episode,timestep,reward,length
1,1000,991.0178699711792,1000
2,2000,970.1969295649837,1000
3,3000,978.4170875936823,1000
4,4000,980.1156547980482,1000
5,5000,970.8309149289569,1000
6,6000,984.5575926328602,1000
7,7000,983.9480700461415,1000
8,8000,960.5794251720954,1000
9,9000,976.3514699141055,1000
10,10000,1003.1957793467666,1000
11,11000,980.6195072947137,1000
12,12000,987.0378384557521,1000
13,13000,979.7431680727328,1000
14,14000,988.3179832973084,1000
15,15000,989.9752724893959,1000
16,16000,978.7105840454213,1000
17,17000,978.2527470728231,1000
18,18000,953.6034295360396,1000
19,19000,980.8622774550005,1000
20,20000,983.2195596011555,1000
21,21000,984.7713939794147,1000
22,22000,980.5860202868308,1000
23,23000,989.7215576737285,1000
24,24000,982.4786419515443,1000
25,25000,971.3511822789536,1000
26,26000,983.3406640639507,1000
27,27000,971.3413223043433,1000
28,28000,960.9736395016071,1000
29,29000,974.1494451561721,1000
30,30000,975.1558848876402,1000
31,31000,987.2571438697848,1000
32,32000,977.085396476791,1000
33,33000,986.7469487212162,1000
34,34000,964.0829868351781,1000
35,35000,984.56155317725,1000
36,36000,979.9455412266841,1000
37,37000,959.1028279936298,1000
38,38000,983.9151527837486,1000
39,39000,975.136678995302,1000
40,40000,985.942122567484,1000
41,41000,985.245754108009,1000
42,42000,981.5383591038169,1000
43,43000,989.060449049329,1000
44,44000,970.2880013194138,1000
45,45000,991.7712312210474,1000
46,46000,983.5479114980267,1000
47,47000,981.769528308485,1000
48,48000,1019.7267552556427,1000
49,49000,986.997407968508,1000
50,50000,977.3966485290987,1000
51,51000,982.8149618718792,1000
52,52000,991.5117936067547,1000
53,53000,972.6571411397797,1000
54,54000,1003.6506078049625,1000
55,55000,971.9908017293887,1000
56,56000,970.1710374325003,1000
57,57000,977.1583965879632,1000
58,58000,976.3403009520683,1000
59,59000,952.572994267065,1000
60,60000,978.8839833530868,1000
61,61000,964.2939691237466,1000
62,62000,976.1063296488661,1000
63,63000,962.8838204064502,1000
64,64000,969.1823683892881,1000
65,65000,988.6792162053006,1000
66,66000,973.8798884678228,1000
67,67000,973.5233398179047,1000
68,68000,964.4350322686415,1000
69,69000,977.208062869049,1000
70,70000,965.9809522299546,1000
71,71000,1003.6655820059898,1000
72,72000,985.3855114465784,1000
73,73000,970.6108924363413,1000
74,74000,993.7427165660378,1000
75,75000,979.314595559018,1000
76,76000,970.8242526481964,1000
77,77000,995.3548629002812,1000
78,78000,978.8086133071646,1000
79,79000,989.0121315057901,1000
80,80000,933.2445660012472,1000
81,81000,960.2708126634768,1000
82,82000,955.8327949797695,1000
83,83000,983.3626705600014,1000
84,84000,968.3777737478476,1000
85,85000,982.9616781664638,1000
86,86000,988.7886320199051,1000
87,87000,968.0517845192926,1000
88,88000,979.1160896353957,1000
89,89000,962.1505325412267,1000
90,90000,970.4353338453534,1000
91,91000,973.7933497992545,1000
92,92000,952.3943034283508,1000
93,93000,954.0708880479178,1000
94,94000,970.525476519924,1000
95,95000,969.5857326250516,1000
96,96000,952.9849011361622,1000
97,97000,967.9717472480488,1000
98,98000,972.1042359680835,1000
99,99000,980.5070814563527,1000
100,100000,981.0383906510772,1000
101,101000,976.5189516317257,1000
102,102000,989.5495371758084,1000
103,103000,980.3672961588258,1000
104,104000,980.392562982725,1000
105,105000,990.3649937166156,1000
106,106000,963.150809326239,1000
107,107000,979.5024790806336,1000
108,108000,979.748858971354,1000
109,109000,941.8250846171877,1000
110,110000,976.7654545581171,1000
111,111000,990.9785690797197,1000
112,112000,981.7802824198599,1000
113,113000,959.4938150174232,1000
114,114000,974.5592666186895,1000
115,115000,980.0312836571386,1000
116,116000,1014.7847142135452,1000
117,117000,969.9607453188739,1000
118,118000,962.7321651150005,1000
119,119000,963.6280934868138,1000
120,120000,988.4151367501887,1000
121,121000,962.2599175632889,1000
122,122000,979.7750903857898,1000
123,123000,963.4309245159595,1000
124,124000,969.0797976480859,1000
125,125000,982.9171555438367,1000
126,126000,971.1461203752904,1000
127,127000,983.2179106240784,1000
128,128000,989.8053010093558,1000
129,129000,990.0721344304402,1000
130,130000,981.0831048555285,1000
131,131000,997.527456828217,1000
132,132000,965.5718651190251,1000
133,133000,960.7464980167267,1000
134,134000,1018.7752919259102,1000
135,135000,983.3694209142578,1000
136,136000,986.8486723286185,1000
137,137000,938.9535525466913,1000
138,138000,986.2719086554669,1000
139,139000,967.6437216360027,1000
140,140000,971.2775736448638,1000
141,141000,984.9825078269282,1000
142,142000,970.6612001236484,1000
143,143000,967.2004719958579,1000
144,144000,958.3573156033831,1000
145,145000,1004.1608235745123,1000
146,146000,992.9978870191301,1000
147,147000,985.4144706973716,1000
148,148000,964.4961861684169,1000
149,149000,974.6715467328578,1000
150,150000,922.8051449815503,1000
151,151000,968.1745894819275,1000
152,152000,965.5033739803725,1000
153,153000,992.2876193476892,1000
154,154000,973.1302355760724,1000
155,155000,977.9877064149825,1000
156,156000,984.5458865485858,1000
157,157000,959.3315800813066,1000
158,158000,977.9078716106247,1000
159,159000,945.0848317537069,1000
160,160000,978.3882621295324,1000
161,161000,955.1132840437032,1000
162,162000,980.129109945199,1000
163,163000,964.7731511779854,1000
164,164000,963.1440946377439,1000
165,165000,966.444459762348,1000
166,166000,957.6678284656009,1000
167,167000,947.4445138567124,1000
168,168000,982.2348024637099,1000
169,169000,963.9500273249956,1000
170,170000,980.2808041409872,1000
171,171000,964.0429306486658,1000
172,172000,974.5062582286608,1000
173,173000,929.3745052788757,1000
174,174000,990.299217876164,1000
175,175000,958.4775672690345,1000
176,176000,966.4636990177248,1000
177,177000,979.0830411758094,1000
178,178000,992.4934440368138,1000
179,179000,970.1514263987247,1000
180,180000,955.6949276608602,1000
181,181000,972.219723041193,1000
182,182000,974.6637436177895,1000
