episode,timestep,reward,length
1,61,-30.483723,61
2,1061,-1106.7352,1000
3,2061,-301.49048,1000
4,2430,-1.5098491,369
5,2780,-54.124897,350
6,2847,-3.3198855,67
7,3847,432.58826,1000
8,4027,-191.02649,180
9,4236,-82.559784,209
10,5236,-354.23325,1000
11,6236,-435.10846,1000
12,7236,-371.71768,1000
13,7262,-52.904976,26
14,8262,-260.43933,1000
15,8372,-168.50616,110
16,8399,-41.267563,27
17,8490,-83.09882,91
18,9490,-909.9122,1000
19,10490,-863.8238,1000
20,11490,-1167.083,1000
21,11551,-46.861713,61
22,12551,-1035.2115,1000
23,12905,-193.10504,354
24,13905,-1283.0245,1000
25,14055,-137.63863,150
26,15055,-1713.5266,1000
27,15135,-115.62335,80
28,15178,-38.1133,43
29,15430,-326.03842,252
30,16430,-1486.4526,1000
31,16475,-56.630943,45
32,16580,-171.13484,105
33,16607,-51.13018,27
34,16618,-20.81357,11
35,16668,-53.61689,50
36,16897,-200.62234,229
37,16913,-19.48371,16
38,17046,-202.80792,133
39,17249,-196.77618,203
40,17462,-236.61693,213
41,18462,-1739.4006,1000
42,18536,-67.06376,74
43,18550,-10.97188,14
44,18581,-64.42363,31
45,18604,-42.815044,23
46,18645,-32.716652,41
47,18750,-128.91411,105
48,19750,-1734.7101,1000
49,19803,-39.712902,53
50,19955,-303.09082,152
51,20111,-282.1755,156
52,21111,-1974.0822,1000
53,21320,-289.48862,209
54,21418,-116.17621,98
55,22418,-1807.174,1000
56,22565,-93.959335,147
57,23565,-1946.4509,1000
58,24565,-1881.8485,1000
59,24607,-56.468052,42
60,24633,-18.679886,26
61,24684,-69.540436,51
62,25684,-1905.1011,1000
63,25798,-202.34175,114
64,26798,-1890.1163,1000
65,27798,-1967.8411,1000
66,28798,-1956.634,1000
67,29798,-2035.5182,1000
68,29942,-181.18907,144
69,30942,-1976.6772,1000
70,31042,-224.97784,100
71,32042,-1841.4712,1000
72,32116,-87.08074,74
73,32145,-20.318853,29
74,33145,-1938.4241,1000
75,33359,-201.2647,214
76,33377,-22.732685,18
77,33401,-40.344727,24
78,33415,-19.08244,14
79,34246,-1576.9036,831
80,35246,-2097.12,1000
81,36246,-1915.523,1000
82,36331,-122.707306,85
83,37331,-2134.1284,1000
84,37355,-19.523083,24
85,37376,-30.43684,21
86,37404,-28.273855,28
87,38404,-2150.5078,1000
88,38544,-124.87152,140
89,38584,-52.671146,40
90,39584,-2089.5427,1000
91,39720,-171.5258,136
92,40058,-419.6716,338
93,40098,-108.45976,40
94,41098,-1998.7223,1000
95,42098,-2141.3572,1000
96,42546,-397.37082,448
97,43546,-2180.065,1000
98,43646,-127.16389,100
99,44646,-2278.4873,1000
100,45646,-1925.1178,1000
101,45723,-125.48437,77
102,45739,-14.818456,16
103,46024,-504.5681,285
104,46126,-165.53401,102
105,46154,-51.64188,28
106,46240,-48.38088,86
107,46348,-116.04076,108
108,46412,-47.95199,64
109,47412,-2120.8687,1000
110,47615,-199.29161,203
111,48615,-2271.1316,1000
112,48669,-45.73292,54
113,48848,-166.92072,179
114,48986,-193.47676,138
115,49986,-2005.0259,1000
116,50106,-154.88263,120
117,50217,-111.89005,111
118,51217,-2120.7502,1000
119,51270,-78.41055,53
120,52059,-1694.2076,789
121,52266,-238.74704,207
122,52477,-339.05185,211
123,52510,-41.073288,33
124,53510,-1940.0894,1000
125,54510,-2291.0818,1000
126,54809,-358.99817,299
127,55069,-375.14352,260
128,55084,-21.20399,15
129,55102,-20.875664,18
130,55202,-152.70348,100
131,55277,-69.38664,75
132,55337,-56.05537,60
133,56337,-2065.314,1000
134,56458,-99.992134,121
135,57458,-2301.68,1000
136,57609,-185.66833,151
137,57651,-32.554317,42
