episode,timestep,reward,length
1,1000,985.5989200489739,1000
2,2000,982.0708176361555,1000
3,3000,986.3542677256179,1000
4,4000,980.8242266432878,1000
5,5000,982.3644310561452,1000
6,5128,107.97709419245525,128
7,6128,995.8377009015136,1000
8,7128,964.693913367664,1000
9,8128,960.0956038650436,1000
10,9128,962.3513573468066,1000
11,10128,961.4422353875516,1000
12,11128,986.7023902848775,1000
13,12128,966.7037471655763,1000
14,13128,974.7701520320447,1000
15,14128,979.2686559102702,1000
16,15128,982.6014602493502,1000
17,16128,992.2010585580032,1000
18,17128,999.5325392348951,1000
19,18128,984.3844681401984,1000
20,19128,981.3690926259726,1000
21,20128,858.2820550471639,1000
22,21128,999.8951651951314,1000
23,22128,977.6926199027198,1000
24,23128,977.199630743112,1000
25,24128,937.3661870940384,1000
26,25128,974.1379561899407,1000
27,26128,988.9234250104801,1000
28,27128,986.7683211176237,1000
29,28128,985.4934845025251,1000
30,29128,983.7364786427783,1000
31,30128,981.8955948856033,1000
32,31128,983.9831380501987,1000
33,32128,988.8035300022086,1000
34,33128,992.538151102917,1000
35,34128,979.9029575916815,1000
36,35128,992.528169671706,1000
37,36128,995.1151646941422,1000
38,37128,989.72893076378,1000
39,38128,985.9230541151788,1000
40,39128,990.1151819756747,1000
41,40128,979.9399949345965,1000
42,41128,996.9001986302452,1000
43,42128,996.5450953225679,1000
44,43128,993.5217172899978,1000
45,44128,997.6313685611982,1000
46,45128,994.8368246638101,1000
47,46128,987.7992374287621,1000
48,47128,990.1297034892505,1000
49,48128,986.7928224617368,1000
50,49128,991.7145343673589,1000
51,50128,981.1851926373121,1000
52,51128,992.2789311812296,1000
53,52128,985.6543422199044,1000
54,53128,987.2199875418745,1000
55,54128,984.3212066750414,1000
56,55128,993.4556542425163,1000
57,56128,996.2361194170625,1000
58,57128,993.9721109602215,1000
59,58128,992.3524576718187,1000
60,59128,986.9606396029116,1000
61,60128,979.6145263482911,1000
62,61128,999.2452243983123,1000
63,62128,992.933314775468,1000
64,63128,988.0779721935587,1000
65,64128,984.8019247423919,1000
66,65128,991.5937907725169,1000
67,66128,992.7030879008735,1000
68,67128,996.6556166447971,1000
69,68128,991.8766002952062,1000
70,69128,1000.1504248436412,1000
71,70128,987.8512895663652,1000
72,71128,992.022271812536,1000
73,72128,991.195968120913,1000
74,73128,993.8789205487583,1000
75,74128,987.111496386243,1000
76,75128,985.2767968067474,1000
77,76128,992.9155398899985,1000
78,77128,989.7656736471514,1000
79,78128,993.2532471452574,1000
80,79128,992.1664124505718,1000
81,80128,979.1172384770082,1000
82,81128,994.086927218843,1000
83,82128,997.6370887389503,1000
84,83128,988.3241526711248,1000
85,84128,993.3486978299416,1000
86,85128,994.0182582241147,1000
87,86128,995.9607912410941,1000
88,87128,993.1557075428296,1000
89,88128,983.6608217210546,1000
90,89128,993.1532277267794,1000
91,90128,977.7117520153766,1000
92,91128,997.975081761594,1000
93,92128,995.2489117363999,1000
94,93128,991.536060265906,1000
95,94128,995.117319057845,1000
96,95128,998.7030255043264,1000
97,96128,996.503232797346,1000
98,97128,995.9361727762125,1000
99,98128,995.8535478495619,1000
100,99128,994.4236919419769,1000
101,100128,995.081965191745,1000
102,101128,994.2115984889974,1000
103,102128,994.584078472398,1000
104,103128,991.1544506572741,1000
105,104128,995.4124727979957,1000
106,105128,996.0695078510814,1000
107,106128,998.1520193056181,1000
108,107128,987.4162475494442,1000
109,108128,996.697678756571,1000
110,109128,989.9408302286504,1000
111,110128,993.674447794744,1000
112,111128,999.2975030871754,1000
113,112128,994.8764829810859,1000
114,113128,996.3350821488988,1000
