episode,timestep,reward,length
1,20,-31.492762,20
2,46,-44.548195,26
3,164,-161.84955,118
4,232,-38.701077,68
5,273,-58.576054,41
6,291,-12.86405,18
7,329,-61.654316,38
8,499,-192.70651,170
9,524,-53.7065,25
10,557,-3.1553206,33
11,581,-35.45519,24
12,594,-15.611793,13
13,673,-91.71875,79
14,691,-35.406174,18
15,720,-43.921413,29
16,758,-65.18749,38
17,806,-23.978336,48
18,990,-204.29047,184
19,1017,-22.237038,27
20,1033,-11.377973,16
21,1055,-54.64392,22
22,1102,-51.981724,47
23,1123,-38.73295,21
24,1208,-54.326958,85
25,1257,-69.561424,49
26,1385,-156.78018,128
27,1606,-275.63235,221
28,1645,-55.564167,39
29,1702,-98.87251,57
30,1724,-43.54247,22
31,2724,-1066.5232,1000
32,2738,-24.183573,14
33,2849,-80.64718,111
34,2890,-19.130138,41
35,2910,-29.338722,20
36,2948,-35.207542,38
37,2970,-33.552605,22
38,2985,-3.8804224,15
39,3043,-87.32007,58
40,3064,-15.811998,21
41,3104,-61.171978,40
42,3134,-18.48465,30
43,3175,-58.214264,41
44,3247,-84.74499,72
45,3268,-0.85735255,21
46,3359,-133.21268,91
47,3379,-13.583514,20
48,3437,-44.40749,58
49,3508,-53.11246,71
50,3574,-87.08878,66
51,4574,-1053.1958,1000
52,4648,-94.55522,74
53,4714,-40.118805,66
54,4737,-30.96163,23
55,4792,-8.345856,55
56,5792,-970.1594,1000
57,5839,-50.29374,47
58,5848,-14.723402,9
59,5863,-20.12963,15
60,5898,-23.723198,35
61,5928,-57.010143,30
62,5968,-30.35858,40
63,5982,-21.729534,14
64,6022,-20.928844,40
65,6087,-48.019867,65
66,6123,-60.69033,36
67,6151,-40.573193,28
68,6219,-54.27039,68
69,6251,-9.954644,32
70,6262,-7.680646,11
71,7262,-1041.3671,1000
72,7381,-176.55263,119
73,7456,-78.9544,75
74,7494,-46.54568,38
75,7516,2.567737,22
76,7589,-83.13326,73
77,8589,-1017.1803,1000
78,8678,-93.64572,89
79,8710,-34.032425,32
80,8726,-13.478184,16
81,8767,-56.480316,41
82,8786,-18.922876,19
83,8813,-33.277103,27
84,8827,-25.698393,14
85,8838,-18.721983,11
86,8850,-11.636154,12
87,8980,-230.02585,130
88,9016,-39.09198,36
89,9197,-187.69624,181
90,9249,-55.902046,52
91,9280,-21.351128,31
92,9364,-94.550156,84
93,9398,-21.09232,34
94,9525,-134.20111,127
95,9578,-16.878891,53
96,9632,-98.00444,54
97,9658,-30.118813,26
98,9675,-24.421156,17
99,9720,-41.34664,45
100,9828,-77.84498,108
101,9940,-138.43378,112
102,9959,-9.888784,19
103,10005,-54.517494,46
104,10020,-16.568687,15
105,11020,-1026.9373,1000
106,11041,-22.808613,21
107,11058,-32.110462,17
108,11157,-94.10202,99
109,11233,-77.26928,76
110,11259,-34.33634,26
111,11276,-10.347538,17
112,12276,-992.1589,1000
113,12414,-133.74974,138
114,13414,-971.3467,1000
115,13427,-17.905962,13
116,13469,-66.86919,42
117,13526,-48.18785,57
118,13653,-120.38854,127
119,13674,-20.709785,21
120,13687,-10.827806,13
121,13700,-18.902466,13
122,13789,-69.650696,89
123,13914,-100.53162,125
124,13973,-93.240295,59
125,13990,-10.792738,17
126,14021,-41.963055,31
127,14108,-118.09757,87
128,14137,-36.550705,29
129,14176,-34.289394,39
130,14203,-41.10263,27
131,14247,-23.954367,44
132,14286,-44.54183,39
133,14311,-37.484943,25
134,14324,-4.818916,13
135,14372,-85.79192,48
136,14386,-9.479615,14
137,14415,-15.448613,29
138,14474,-53.349686,59
139,14546,-30.163778,72
140,14556,-5.800219,10
141,14608,-13.475187,52
142,14630,-24.979698,22
143,14645,-11.847984,15
144,14702,-49.3506,57
145,14740,-16.231548,38
146,14820,-42.338577,80
147,14834,5.0921607,14
148,14920,-76.06969,86
149,15003,-28.209322,83
150,15071,-101.50538,68
151,16071,-967.41986,1000
152,16178,-85.23941,107
153,16243,-62.89509,65
154,16375,-52.308132,132
155,16385,-7.4081535,10
156,16488,-45.016933,103
157,17488,-1100.0245,1000
158,17563,-50.271507,75
159,17590,-49.89613,27
160,17712,-181.8322,122
161,17730,-38.181885,18
162,17792,-47.14678,62
163,17820,-29.167686,28
164,17845,-25.65604,25
165,17878,-25.992071,33
166,17907,-16.825016,29
167,17996,-52.110447,89
168,18996,-988.62164,1000
169,19138,-197.28183,142
170,19180,-32.170204,42
171,19220,-54.317966,40
172,19363,-133.2423,143
173,19427,-128.3552,64
174,19468,-52.108925,41
175,19574,-77.348724,106
176,19683,-133.40558,109
177,19708,2.8273644,25
178,20708,-897.9553,1000
179,20718,-17.274492,10
180,20742,-23.775003,24
181,20779,-43.81582,37
182,20814,-28.800955,35
183,20927,-79.72615,113
184,20941,-20.185452,14
185,20967,-26.927637,26
186,21045,-118.742546,78
187,21077,-20.646917,32
188,21093,-13.93944,16
189,21107,-14.383008,14
190,21219,-111.33072,112
191,21242,-19.02448,23
192,21271,-27.498356,29
193,21283,-11.078766,12
194,21315,-10.009812,32
195,21461,-79.491936,146
196,21524,-93.62897,63
197,21559,-39.784657,35
198,21583,-10.499022,24
199,21638,-29.558191,55
200,21732,-49.444607,94
201,21757,1.3111993,25
202,21808,-33.44627,51
203,21829,-14.088386,21
204,21846,-21.302366,17
205,21904,-67.74942,58
206,21920,-14.641433,16
207,21942,-11.128901,22
208,22025,-91.999146,83
209,22123,-122.09107,98
210,22134,-1.4600012,11
211,22176,-41.70705,42
212,22251,-86.73136,75
213,22299,-60.687397,48
214,22330,-41.05663,31
215,22347,-18.747059,17
216,22399,-61.97281,52
217,22415,-10.980643,16
218,22525,-37.199173,110
219,22572,-46.1589,47
220,22639,-45.933758,67
221,22662,-27.480839,23
222,22855,-169.51382,193
223,22869,-17.04059,14
224,22899,-22.77982,30
225,22913,-22.00487,14
226,22952,-55.542957,39
227,23042,-84.47722,90
228,23059,-14.5211525,17
229,23098,-72.7612,39
230,23160,-23.151548,62
231,23190,-42.975555,30
232,23204,0.95167875,14
233,23235,-21.829063,31
234,23289,-80.26418,54
235,23303,-17.137331,14
236,23314,-8.2203455,11
237,23368,-75.18797,54
238,23401,-32.886505,33
239,23441,-57.536133,40
240,23457,-11.055932,16
241,23470,-11.272645,13
242,23506,-39.382545,36
243,23532,-9.808446,26
244,23543,-12.068486,11
245,23563,-36.05347,20
246,23626,-76.79904,63
247,23655,-14.748335,29
248,24655,-953.8434,1000
249,24719,-46.19612,64
250,24785,-76.86297,66
251,25785,-885.85394,1000
252,25853,-48.6549,68
253,25876,-9.60249,23
254,26876,-939.4757,1000
255,26973,-149.77074,97
256,26994,-11.869854,21
257,27097,-54.539585,103
258,27211,-167.33743,114
259,27309,-18.97023,98
260,27355,20.293842,46
261,27419,-18.935265,64
262,27489,-52.378407,70
263,27583,-134.21349,94
264,27596,-15.396147,13
265,27618,-29.037386,22
266,27671,-20.102451,53
267,27682,-18.145184,11
268,27695,-13.075055,13
269,27935,-225.8316,240
270,27966,-13.063818,31
271,27979,-25.498478,13
272,28129,-155.90622,150
273,28161,-32.628304,32
274,28269,-118.756645,108
275,28328,-64.25339,59
276,28361,-35.60374,33
277,28424,-63.82625,63
278,28468,-36.8443,44
279,28589,-68.25971,121
280,28726,-108.28703,137
281,28794,-44.874813,68
282,28943,-173.13173,149
283,29943,-893.0492,1000
284,30015,-55.353004,72
285,30060,-46.48692,45
286,30113,-90.55236,53
287,30265,-210.26329,152
288,30381,-120.53091,116
289,30413,-25.262442,32
290,30442,-26.58522,29
291,30504,-78.55853,62
292,30579,-64.55976,75
293,30634,-36.804363,55
294,30653,-6.4186244,19
295,30714,-91.836235,61
296,30723,-4.8982773,9
297,30835,-80.43553,112
298,30899,-79.32505,64
299,30988,-73.89037,89
300,31015,-20.91079,27
301,31039,-37.149487,24
302,31057,-21.996887,18
303,31101,-9.657514,44
304,31147,-29.624674,46
305,31177,17.284828,30
306,31229,-74.394905,52
307,32229,-889.7489,1000
308,32255,-19.257395,26
309,32276,-11.944834,21
310,32391,-101.11934,115
311,32416,-23.542711,25
312,32435,-21.587837,19
313,32471,-35.76832,36
314,32599,-93.86691,128
315,32616,-27.521923,17
316,32692,-37.791977,76
317,32720,-20.528746,28
318,32752,-29.017744,32
319,32811,-28.378448,59
320,32847,-39.010323,36
321,32898,-59.65748,51
322,32917,7.0778093,19
323,32959,-61.456196,42
324,32989,-3.4933686,30
325,33008,-2.584169,19
326,34008,-934.72894,1000
327,34023,0.1237725,15
328,34085,-133.39436,62
329,34164,-103.94497,79
330,34179,-5.426576,15
331,35179,-985.63885,1000
332,35239,-68.71535,60
333,35286,-23.57099,47
334,35308,-28.058422,22
335,35326,-16.378761,18
336,35358,-28.364902,32
337,35462,-152.32674,104
338,35531,-102.658905,69
339,36531,-1008.50543,1000
340,36568,-29.306822,37
341,36596,-12.335189,28
342,36725,-117.742584,129
343,36742,-16.032429,17
344,36768,-19.567009,26
345,36820,3.1421666,52
346,36854,-31.81953,34
347,36878,-31.92322,24
348,36893,-2.8626523,15
349,36922,-26.315416,29
350,36938,-8.498002,16
351,36973,-16.331932,35
352,36993,-40.078026,20
353,37051,-16.071428,58
354,38051,-916.15393,1000
355,38078,-10.437038,27
356,38140,-61.508675,62
357,38175,-39.90999,35
358,38184,-2.2753959,9
359,38289,-70.57321,105
360,38306,-5.453643,17
361,38320,-20.084303,14
362,38344,-26.50871,24
363,38480,-219.8953,136
364,38542,-55.490932,62
365,38708,-142.00658,166
366,38749,-29.43932,41
367,38784,-39.115204,35
368,39784,-857.74896,1000
369,39798,-8.1357,14
370,39871,-104.7523,73
371,39936,13.452404,65
372,39993,-61.14092,57
373,40039,-35.148144,46
374,40059,-30.950935,20
375,40092,-40.182423,33
376,40246,-128.20766,154
377,41246,-910.80334,1000
378,41286,-31.626207,40
379,41332,-64.60979,46
380,41344,-8.543602,12
381,41366,-31.200718,22
382,41429,9.134332,63
383,41500,-41.449036,71
384,41537,-59.730434,37
385,41564,22.075771,27
386,42564,-929.249,1000
387,42660,-139.31306,96
388,42669,-4.618064,9
389,43669,-900.832,1000
390,43730,-43.205875,61
391,43751,-18.149326,21
392,44751,-866.06635,1000
393,44785,-60.574547,34
394,44821,-33.52373,36
395,44872,-36.924988,51
396,44939,-67.23316,67
397,44953,-23.159098,14
398,44973,-31.329973,20
399,44988,-0.36750203,15
400,45000,-8.79907,12
401,45018,-10.6047735,18
402,45035,-42.039513,17
403,45082,-90.093445,47
404,45103,-23.458092,21
405,45115,2.7675872,12
406,45189,-70.48366,74
407,45226,-45.82367,37
408,45281,-44.753605,55
409,45427,-165.16945,146
410,46427,-784.98785,1000
411,46512,-70.5756,85
412,46539,-20.707153,27
413,46583,-27.32621,44
414,46638,-41.944298,55
415,46671,-18.28456,33
416,46845,-146.43623,174
417,46917,-34.075527,72
418,46933,1.9126749,16
419,46984,-30.356321,51
420,47011,-60.25992,27
421,47121,-162.34442,110
422,47144,1.4245683,23
423,47159,-33.37765,15
424,47170,-13.376509,11
425,47233,-61.63759,63
426,47300,-68.32884,67
427,47310,-0.7266812,10
428,48310,-808.7486,1000
429,48328,-13.595299,18
430,48357,-9.664537,29
431,48375,-13.229846,18
432,48521,-139.44621,146
433,48604,-104.06263,83
434,48625,-9.169622,21
435,48682,-38.91466,57
436,48704,-40.473038,22
437,48774,-97.9801,70
438,48807,-7.896633,33
439,48837,-3.4470148,30
440,48866,-32.148335,29
441,49023,-104.2116,157
442,49036,-14.461533,13
443,49103,-25.502234,67
444,50103,-863.1322,1000
445,50112,-6.754943,9
446,50136,-13.889808,24
447,50235,-75.203545,99
448,50279,-48.52271,44
449,50292,-6.84367,13
450,50334,-15.971686,42
451,50351,3.5960808,17
452,50387,2.7625442,36
453,50408,-30.446827,21
454,50439,-21.333511,31
455,50452,-11.954304,13
456,50465,10.320749,13
457,50487,-31.93092,22
458,50503,-20.127323,16
459,50537,-24.256248,34
460,50554,-22.239817,17
461,50593,-13.135869,39
462,50610,-16.27629,17
