episode,timestep,reward,length
1,82,40.85108,82
2,197,-93.74022,115
3,286,-35.839123,89
4,317,-8.243365,31
5,341,-18.144323,24
6,371,4.0999403,30
7,389,-5.0578847,18
8,418,-14.527765,29
9,443,-14.564013,25
10,946,-237.20047,503
11,975,-14.956231,29
12,1087,1.5834293,112
13,1115,-20.956154,28
14,1140,-19.914328,25
15,1290,-31.931215,150
16,1438,-101.089096,148
17,1472,-14.5333185,34
18,1600,-28.448492,128
19,1706,-35.30507,106
20,1725,-14.34098,19
21,1783,-63.896584,58
22,1831,-38.77969,48
23,1915,-95.5953,84
24,1934,-7.843923,19
25,2212,-197.69984,278
26,2291,-23.019377,79
27,2306,-5.799416,15
28,2348,-31.17585,42
29,2492,-87.09001,144
30,3492,-620.304,1000
31,3540,-68.685425,48
32,4540,-698.65216,1000
33,4654,-58.94551,114
34,5654,-678.97723,1000
35,5785,-138.55154,131
36,5918,-99.41802,133
37,5957,-43.023956,39
38,6096,-84.30001,139
39,6232,-22.617537,136
40,6296,-37.172604,64
41,7296,-661.0878,1000
42,7321,-18.249355,25
43,8321,-663.1847,1000
44,8339,-16.050632,18
45,8412,-28.96476,73
46,8482,-20.766754,70
47,8547,14.301202,65
48,8611,-71.12731,64
49,8647,-10.335302,36
50,8745,-79.939575,98
51,8825,-5.432567,80
52,8879,-31.113514,54
53,9002,-86.32877,123
54,9040,-35.317535,38
55,9169,-37.704628,129
56,9219,26.465246,50
57,10219,-570.35895,1000
58,10247,-6.9431868,28
59,10265,-2.1925933,18
60,11265,-516.0056,1000
61,11279,0.50132096,14
62,11303,-2.4364405,24
63,11374,-31.069553,71
64,11402,-21.17769,28
65,12402,-512.85394,1000
66,12440,-20.070091,38
67,12473,-17.298311,33
68,12507,-9.498629,34
69,12524,5.929641,17
70,12647,-29.749939,123
71,13647,-373.45532,1000
72,13761,-36.629852,114
73,13827,20.413034,66
74,13861,-15.55351,34
75,13902,-4.247394,41
76,13974,-22.3324,72
77,13999,1.1887436,25
78,14170,-96.30466,171
79,14244,-30.573416,74
80,15244,-372.9715,1000
81,15322,-11.195092,78
82,15471,-110.24436,149
83,15723,-184.01016,252
84,15859,-18.4353,136
85,15892,-16.3805,33
86,15930,37.782536,38
87,15987,-2.9182277,57
88,16000,-9.105894,13
89,16221,1.7653553,221
90,16309,21.615911,88
91,16438,-38.36715,129
92,16652,-77.85625,214
93,17652,-288.3578,1000
94,18652,-277.9957,1000
95,19652,-367.1371,1000
96,20652,-275.20453,1000
97,20702,18.952633,50
98,21702,-173.01398,1000
99,21716,7.829353,14
100,21793,-2.1479838,77
101,21849,-22.640745,56
102,22849,-190.03098,1000
103,23084,25.417343,235
104,23144,-25.061712,60
105,24144,-68.30015,1000
106,24174,11.527745,30
107,24201,-0.8637252,27
108,24240,-5.8140464,39
109,24351,-6.252904,111
110,24571,1.7712663,220
111,24820,-10.9374,249
112,25820,-114.12863,1000
113,26820,-120.87455,1000
114,26918,10.241987,98
115,27049,-27.792875,131
116,27157,43.04483,108
117,27451,-14.313902,294
118,27538,9.653135,87
119,28538,-47.494534,1000
120,28855,-9.656432,317
121,29202,92.75534,347
122,29305,52.475605,103
123,29978,159.30362,673
124,30317,142.62227,339
125,30336,-3.9989085,19
126,30474,58.54547,138
127,30974,141.66844,500
128,31025,9.525913,51
129,31161,40.17255,136
130,31318,18.132061,157
131,32318,28.458052,1000
132,32486,86.68842,168
133,32657,31.85101,171
134,32730,4.409441,73
135,32774,11.8601885,44
136,32905,57.163204,131
137,33905,49.477337,1000
138,34095,62.084934,190
139,35095,193.25421,1000
140,35215,66.06752,120
141,35403,144.12752,188
142,36403,109.2418,1000
143,36505,30.552197,102
144,37505,143.60527,1000
145,37709,133.3743,204
146,37758,44.34362,49
147,37859,21.371862,101
148,38701,257.9092,842
149,39701,161.0851,1000
150,40011,33.303413,310
151,40306,97.553566,295
152,41306,242.14563,1000
153,41503,149.56981,197
154,41533,20.784458,30
155,41644,19.384825,111
156,42644,364.91843,1000
157,42708,50.79559,64
158,42812,48.2994,104
159,43033,98.31313,221
160,43313,110.95006,280
161,43624,20.655043,311
162,44624,322.41202,1000
163,44752,56.56282,128
164,44877,46.396202,125
165,45144,132.50946,267
166,45791,90.10738,647
167,46008,194.51286,217
168,47008,415.5306,1000
169,48008,318.0212,1000
170,49008,403.47476,1000
171,49127,92.9751,119
172,49159,24.383844,32
173,49246,22.888197,87
174,49379,101.96259,133
175,50379,401.408,1000
176,50431,15.432123,52
177,50491,36.939884,60
178,50957,344.57178,466
179,51118,112.07387,161
180,52118,341.96375,1000
181,53118,594.22894,1000
182,53319,101.929634,201
183,53574,195.14882,255
184,54574,483.5272,1000
185,55544,546.61554,970
186,56544,370.4243,1000
187,56843,218.65208,299
188,57843,493.0022,1000
189,57975,100.107796,132
190,58975,671.182,1000
191,59367,285.5222,392
192,60367,517.9956,1000
193,61367,502.48276,1000
194,61511,115.91525,144
195,62511,540.2802,1000
196,63511,580.9795,1000
197,64511,443.66602,1000
198,64758,205.55672,247
199,65001,143.94087,243
200,65120,96.75249,119
201,66120,487.5602,1000
202,67038,587.1866,918
203,67811,728.5471,773
204,67900,56.884327,89
205,68900,446.7307,1000
206,69900,488.14612,1000
207,70900,600.6976,1000
208,71051,131.30798,151
209,72051,702.88684,1000
210,73051,867.0754,1000
211,74051,577.8468,1000
212,75051,684.3881,1000
213,75242,171.9598,191
214,76152,875.2152,910
215,77152,958.39575,1000
216,77789,642.47046,637
217,78044,265.3107,255
218,79044,520.9268,1000
219,79080,34.474308,36
220,80080,575.6068,1000
221,81080,495.94473,1000
222,81664,460.40875,584
223,82664,497.39392,1000
224,82905,285.5451,241
225,83905,967.78253,1000
226,84905,1007.29333,1000
227,85905,942.7633,1000
228,86905,590.4091,1000
229,87905,607.66815,1000
230,88513,680.06635,608
231,89513,747.69574,1000
232,89598,93.317444,85
233,90302,829.2284,704
234,90520,263.81262,218
235,90690,170.94048,170
236,91690,605.1809,1000
237,92129,408.13998,439
238,93129,802.8427,1000
239,94129,1176.7688,1000
240,94234,152.31537,105
241,95234,526.6425,1000
242,95507,305.12198,273
243,95614,145.52835,107
244,96244,765.19586,630
245,97244,492.85898,1000
246,98244,685.74945,1000
247,98469,179.63998,225
248,99469,718.3282,1000
249,100469,945.66693,1000
250,101469,569.8351,1000
251,101736,334.8064,267
252,101786,63.03457,50
253,101980,177.88297,194
254,102980,1240.5731,1000
255,103980,1190.1144,1000
256,104333,508.76617,353
257,105333,891.146,1000
258,106333,649.25055,1000
259,106657,445.4176,324
260,107657,715.7592,1000
261,108210,742.0687,553
262,109210,734.52014,1000
263,109410,347.84082,200
264,110410,523.2828,1000
265,110552,266.3083,142
266,111552,622.6663,1000
267,112552,448.6263,1000
268,113552,1227.6995,1000
269,114552,949.46326,1000
270,114713,131.91464,161
271,115084,519.1152,371
272,115274,248.85448,190
273,115341,31.135815,67
274,116341,742.7807,1000
275,117341,591.1759,1000
276,118341,861.96326,1000
277,118668,493.1089,327
278,119668,759.04877,1000
279,119970,486.90488,302
280,120086,182.32053,116
281,120564,705.2532,478
282,121372,1300.9377,808
283,122372,1262.806,1000
284,122573,210.67433,201
285,123573,675.9418,1000
286,124527,1386.7356,954
287,125456,1553.1836,929
288,126456,606.5573,1000
289,127075,1086.4193,619
290,128075,896.0716,1000
291,128307,451.45847,232
292,128779,669.0638,472
293,128969,274.84412,190
294,129969,1432.5706,1000
295,130300,473.26562,331
296,131300,1056.3008,1000
297,132300,1802.9457,1000
298,133300,1475.1578,1000
299,133746,773.7461,446
300,134746,1159.6504,1000
301,135746,1101.4287,1000
302,135982,359.4852,236
303,136982,1536.8568,1000
304,137067,145.27588,85
305,137178,117.816414,111
306,138178,731.21545,1000
307,139178,1701.978,1000
308,139959,1214.0609,781
309,140028,106.2605,69
310,141028,1614.073,1000
311,141046,20.292807,18
312,141529,673.0031,483
313,141765,507.47974,236
314,141787,0.66273975,22
315,142787,1210.3279,1000
316,142956,302.68585,169
317,143956,1095.9197,1000
318,144956,1092.9934,1000
319,145005,107.09994,49
320,146005,719.42224,1000
321,146045,102.83272,40
322,147045,1944.1176,1000
323,147220,303.72476,175
324,148220,692.36115,1000
325,149220,571.30865,1000
326,149605,695.5449,385
327,149923,603.5923,318
328,150923,1397.4066,1000
329,151518,1115.228,595
330,152518,836.9806,1000
331,152789,520.5395,271
332,153388,1173.508,599
333,153428,39.537033,40
334,154428,850.3881,1000
335,155428,754.0188,1000
336,156428,951.8415,1000
337,156539,125.312965,111
338,157073,1099.1915,534
339,158073,980.1737,1000
340,158470,846.949,397
341,159470,752.1285,1000
342,159619,287.11383,149
343,160619,579.6316,1000
344,160646,40.97629,27
345,160687,65.983826,41
346,161687,1119.6047,1000
347,162687,1452.0571,1000
348,163687,1335.1611,1000
349,164299,1385.7886,612
350,164419,198.86823,120
351,165419,2068.7207,1000
352,166194,1639.9634,775
353,167194,1018.9238,1000
354,167257,101.72529,63
