episode,timestep,reward,length
1,844,-299.48462,844
2,1844,-347.95322,1000
3,2844,269.2924,1000
4,3844,-7.2002034,1000
5,4844,285.2271,1000
6,5844,264.48502,1000
7,6844,473.5413,1000
8,7844,487.72745,1000
9,8844,586.16675,1000
10,9844,635.5881,1000
11,10844,659.55054,1000
12,11844,720.3715,1000
13,12844,623.2831,1000
14,13844,609.582,1000
15,14844,563.60297,1000
16,15844,679.20874,1000
17,16844,696.12006,1000
18,17844,705.5417,1000
19,18844,721.87427,1000
20,19844,757.1821,1000
21,20844,764.2228,1000
22,21844,756.3796,1000
23,22844,724.3037,1000
24,23844,730.9681,1000
25,24844,728.93414,1000
26,25844,630.6382,1000
27,26844,709.6294,1000
28,27844,740.9884,1000
29,28844,693.097,1000
30,29844,800.7451,1000
31,30844,804.138,1000
32,31844,812.6713,1000
33,32844,848.1698,1000
34,33844,852.2958,1000
35,34844,877.1654,1000
36,35844,862.5886,1000
37,36844,872.331,1000
38,37844,802.35144,1000
39,38844,883.5954,1000
40,39844,848.0588,1000
41,40844,917.1241,1000
42,41844,898.6516,1000
43,42844,957.5138,1000
44,43844,977.70233,1000
45,44844,705.3604,1000
46,44852,-4.0118127,8
47,45852,905.6361,1000
48,46852,804.425,1000
49,47852,997.0782,1000
50,48852,799.7837,1000
51,49852,986.85657,1000
52,50852,978.63025,1000
53,51852,982.8612,1000
54,52852,883.5258,1000
55,53852,935.11554,1000
56,54852,726.28534,1000
57,54981,114.69413,129
58,55981,1035.0532,1000
59,56981,1045.275,1000
60,57981,1113.2706,1000
61,58981,571.3271,1000
62,59309,370.59854,328
63,60309,1143.3308,1000
64,61309,1087.8146,1000
65,62309,888.59784,1000
66,63309,1080.5414,1000
67,63619,313.68195,310
68,64619,985.62823,1000
69,65619,1055.241,1000
70,66619,1221.9834,1000
71,67619,782.7806,1000
72,67854,273.60712,235
73,68854,1187.2126,1000
74,69854,1083.9127,1000
75,70854,1264.9438,1000
76,71854,759.51733,1000
77,72854,966.1023,1000
78,73854,1155.3706,1000
79,74854,1148.1671,1000
80,75854,986.7962,1000
81,76349,621.67554,495
82,77349,1166.9128,1000
83,78349,927.62244,1000
84,79349,693.3988,1000
85,79723,495.3254,374
86,80723,1359.6888,1000
87,81723,1330.445,1000
88,82467,1101.0905,744
89,83467,1459.5667,1000
90,84467,1383.1276,1000
91,85467,1458.7999,1000
92,86467,1433.2122,1000
93,87467,1447.0737,1000
94,88467,1543.438,1000
95,89467,856.4641,1000
96,90467,1508.3673,1000
97,91467,420.82257,1000
98,92467,1038.5098,1000
99,93467,813.36456,1000
100,94467,712.2607,1000
101,95467,320.4105,1000
102,96467,1521.7037,1000
103,96947,730.49927,480
104,97947,907.28516,1000
105,98143,233.92813,196
106,98257,130.94643,114
107,98990,1032.9258,733
108,99345,502.5095,355
109,100345,1151.8256,1000
110,101345,344.72577,1000
111,102345,825.42633,1000
112,102691,532.83716,346
113,103691,1622.9912,1000
114,104691,1582.3124,1000
115,105691,1595.3413,1000
116,106691,1551.4609,1000
117,107691,1469.263,1000
118,108691,1581.539,1000
119,109691,1575.2606,1000
120,110691,1040.3927,1000
121,111691,1562.5162,1000
122,112691,1311.2844,1000
123,113691,1321.8713,1000
124,114691,1631.0708,1000
125,115691,1126.7449,1000
126,116691,994.0639,1000
127,117691,1611.9761,1000
128,118529,1347.1575,838
129,119529,1771.0471,1000
130,120529,1697.3591,1000
131,121529,1351.5416,1000
132,121787,455.56924,258
133,121812,-40.40838,25
134,122812,858.8233,1000
135,123812,1162.2278,1000
136,124812,944.5206,1000
137,125812,973.59015,1000
138,126812,903.2729,1000
139,127812,1379.9657,1000
140,128812,1573.133,1000
141,129812,962.2443,1000
142,130812,1821.5096,1000
143,131812,1288.1119,1000
144,132812,1688.291,1000
145,133812,1653.1227,1000
146,134812,1711.0427,1000
147,135812,1690.3004,1000
148,136812,1688.1537,1000
149,137812,1731.2517,1000
150,138812,846.99664,1000
151,139812,442.2063,1000
152,140414,1043.9738,602
