episode,timestep,reward,length
1,109,-35.217102,109
2,153,-21.672024,44
3,198,1.2898469,45
4,215,-14.037543,17
5,259,-12.671949,44
6,288,-11.11358,29
7,323,-15.707732,35
8,365,-6.528271,42
9,388,-26.117416,23
10,510,-96.08447,122
11,523,-4.3307858,13
12,559,-32.595432,36
13,585,-1.6871685,26
14,640,-30.310266,55
15,670,-17.618256,30
16,840,-55.168045,170
17,1134,-77.808685,294
18,1177,-36.287106,43
19,1271,-38.046474,94
20,1321,-36.976135,50
21,1419,-46.734306,98
22,1476,-1.8923361,57
23,1606,-16.13279,130
24,1621,-20.357174,15
25,1631,-1.0559571,10
26,1682,-30.737642,51
27,1809,22.558432,127
28,1823,-5.039475,14
29,1950,16.072798,127
30,2046,-42.70944,96
31,2103,19.240522,57
32,2145,-6.9231825,42
33,2186,-15.974256,41
34,2199,-8.358209,13
35,3199,-551.04395,1000
36,3221,5.2967515,22
37,3326,-77.39586,105
38,3339,-6.887267,13
39,3358,-0.4112097,19
40,3389,-46.58254,31
41,3485,-98.80164,96
42,3641,-160.36198,156
43,3800,-95.535576,159
44,4800,-528.93866,1000
45,4882,1.6258624,82
46,4945,-12.359211,63
47,5101,-27.676338,156
48,5129,-17.042107,28
49,5151,-13.424465,22
50,5187,-25.146118,36
51,5202,-5.82638,15
52,5377,-104.73411,175
53,5519,-79.0906,142
54,5619,-42.869476,100
55,5803,-167.47914,184
56,5876,-37.19803,73
57,5922,-28.599964,46
58,6049,-45.530674,127
59,6065,-2.800486,16
60,6092,1.0882246,27
61,6129,-17.628464,37
62,6143,-1.0396711,14
63,6159,1.3955262,16
64,6281,-61.78717,122
65,6325,-37.364147,44
66,6490,-104.75579,165
67,6503,-3.783029,13
68,7503,-621.72675,1000
69,8503,-568.513,1000
70,8653,-45.764053,150
71,8685,-15.459059,32
72,8850,-175.82593,165
73,8876,9.980793,26
74,8942,-50.85473,66
75,8999,-38.801098,57
76,9014,-6.744658,15
77,9075,-36.761345,61
78,9651,-354.64124,576
79,9676,-38.556744,25
80,9743,-28.332342,67
81,9761,-11.480186,18
82,9786,-10.690777,25
83,9871,-15.3753195,85
84,9906,-10.343294,35
85,10120,-114.32217,214
86,10180,-23.039528,60
87,10220,11.825078,40
88,11220,-514.3213,1000
89,11268,-24.59009,48
90,11361,-3.3664174,93
91,11390,-16.651411,29
92,11495,-24.69479,105
93,11564,-8.070725,69
94,11650,-65.55243,86
95,11784,-9.278043,134
96,11870,-83.43938,86
97,11960,-30.161674,90
98,12323,-111.747635,363
99,12383,-10.705471,60
100,12422,-23.596886,39
101,12436,-0.8742221,14
102,12835,-188.91498,399
103,12983,5.4692435,148
104,13011,3.1442604,28
105,13084,-27.233189,73
106,13554,-166.64957,470
107,13658,-56.784492,104
108,14658,-274.4516,1000
109,15097,-52.513153,439
110,15696,-179.48189,599
111,16696,-267.12756,1000
112,16897,0.42490482,201
113,17897,-255.36949,1000
114,18897,-145.79752,1000
115,19897,-158.29068,1000
116,20897,-156.25122,1000
117,21897,-164.61433,1000
118,21944,15.316087,47
119,22047,-9.079562,103
120,22099,-1.0718639,52
121,22221,-0.771262,122
122,23221,37.06046,1000
123,23249,9.82888,28
124,24249,-10.3236065,1000
125,24320,13.796522,71
126,24348,-0.41868544,28
127,24588,75.018394,240
128,25521,192.46002,933
129,25582,-23.388325,61
130,26582,5.797815,1000
131,26603,-4.426778,21
132,26639,25.17137,36
133,26835,17.772444,196
134,27126,55.795086,291
135,28126,114.54555,1000
136,28293,15.972448,167
137,28658,-12.5701685,365
138,29658,161.03983,1000
139,30658,198.38669,1000
140,31099,265.0475,441
141,31232,78.22123,133
142,31589,185.65906,357
143,32589,216.6283,1000
144,33589,264.9565,1000
145,33722,86.00783,133
146,34722,337.04318,1000
147,35722,350.7995,1000
148,35836,67.33487,114
149,36046,100.68099,210
150,36559,264.07852,513
151,36724,68.269295,165
152,36924,121.15617,200
153,36999,31.113632,75
154,37087,58.44631,88
155,37114,9.453909,27
156,37285,71.25191,171
