episode,timestep,reward,length
1,38,-25.461628,38
2,131,-150.89153,93
3,202,-113.89016,71
4,267,-43.377182,65
5,303,-59.06034,36
6,328,-24.869757,25
7,415,-85.26415,87
8,423,-2.431944,8
9,476,-53.41518,53
10,491,-3.6464703,15
11,572,-70.781494,81
12,591,-23.995659,19
13,666,-79.50911,75
14,806,-183.7813,140
15,900,-84.34034,94
16,934,-41.496544,34
17,988,-35.668674,54
18,1007,-15.055798,19
19,1032,-8.879938,25
20,1092,-113.65134,60
21,1217,-6.427193,125
22,1333,-149.40816,116
23,1524,-133.95844,191
24,1625,-46.400177,101
25,1718,-85.01049,93
26,1743,-44.900665,25
27,2743,-971.75354,1000
28,3743,-1012.8267,1000
29,3807,-46.869934,64
30,3837,-42.89622,30
31,3855,-12.825927,18
32,3922,-67.49422,67
33,3942,-1.3866639,20
34,3977,-6.0240726,35
35,4005,-35.818012,28
36,4097,-69.37853,92
37,4140,-20.2405,43
38,5140,-1017.2951,1000
39,5182,-53.263294,42
40,5306,-128.1534,124
41,5339,-52.340725,33
42,5426,-112.06697,87
43,5465,-59.79897,39
44,5565,-143.25902,100
45,5579,-9.97098,14
46,5602,-37.60763,23
47,5679,-103.4744,77
48,5873,-189.73022,194
49,5888,-15.930685,15
50,5919,-32.14111,31
51,5961,-52.011517,42
52,6038,-94.54827,77
53,6094,-68.52803,56
54,6159,-83.69158,65
55,7159,-1009.68634,1000
56,8159,-950.69415,1000
57,8182,-17.35902,23
58,8197,4.421071,15
59,8226,-44.053417,29
60,8326,-63.855198,100
61,8370,-54.267017,44
62,8415,-79.687294,45
63,8451,-17.325466,36
64,8530,-97.505936,79
65,8561,-15.21185,31
66,8582,-21.884005,21
67,8642,-65.93913,60
68,8663,-28.906403,21
69,8715,-71.95907,52
70,8760,-46.825695,45
71,8822,-53.799736,62
72,8856,-43.30281,34
73,8888,-23.484491,32
74,9888,-954.303,1000
75,10888,-1003.307,1000
76,10906,-15.528106,18
77,10921,-3.5601213,15
78,10935,-16.321022,14
79,10948,-7.808705,13
80,11018,-50.219215,70
81,11036,-23.185608,18
82,11063,-14.628128,27
83,11080,-5.0754724,17
84,11096,-23.53214,16
85,11137,-28.280811,41
86,11160,-36.03647,23
87,11222,-34.73284,62
88,11320,-111.56344,98
89,11401,-70.77269,81
90,11430,-28.45276,29
91,11472,-37.85357,42
92,11521,1.5471017,49
93,11680,-131.07756,159
94,11690,-8.554055,10
95,12690,-958.64233,1000
96,12712,-49.60531,22
97,12732,-5.8535004,20
98,12794,18.840755,62
99,12807,-16.422657,13
100,12861,-49.691017,54
101,13861,-1002.0799,1000
102,13943,-62.41406,82
103,13959,-21.165464,16
104,14018,-23.81364,59
105,14037,-19.16357,19
106,14051,3.2491572,14
107,14098,-45.36818,47
108,14135,-78.29745,37
