episode,timestep,reward,length
1,1000,982.2161677974929,1000
2,2000,980.3560554464813,1000
3,3000,978.7735761616927,1000
4,4000,969.9765420370994,1000
5,5000,968.9856067138804,1000
6,6000,976.2321665023134,1000
7,7000,984.9606265926608,1000
8,8000,952.4319615449313,1000
9,9000,988.1103357432788,1000
10,10000,987.1929267612584,1000
11,11000,967.3348265838529,1000
12,12000,979.7802378005165,1000
13,13000,974.8033528396405,1000
14,14000,982.4345332875587,1000
15,15000,969.8697593533351,1000
16,16000,976.0797295846628,1000
17,17000,948.3304544521923,1000
18,18000,992.7889466469852,1000
19,19000,981.3068068136511,1000
20,20000,974.3080341346041,1000
21,21000,969.826150643087,1000
22,22000,963.1266018798634,1000
23,23000,929.0176405441532,1000
24,24000,982.2216957607579,1000
25,25000,978.1043044910493,1000
26,26000,964.3433233124389,1000
27,27000,978.4078321259843,1000
28,28000,981.426176533114,1000
29,29000,964.8678675250828,1000
30,30000,966.8328419386327,1000
31,31000,981.9177406590792,1000
32,32000,970.6820039684709,1000
33,33000,952.1885982982969,1000
34,34000,950.0824383622286,1000
35,35000,968.3377702292632,1000
36,36000,947.3730168593813,1000
37,37000,932.1923193037696,1000
38,38000,915.6616405241429,1000
39,39000,948.5261711071172,1000
40,40000,952.4769626457496,1000
41,41000,930.3842851913794,1000
42,42000,909.9413309792627,1000
43,43000,947.9026262303735,1000
44,44000,946.8006674731097,1000
45,45000,973.405876967349,1000
46,46000,910.6114538526909,1000
47,47000,941.1658474925913,1000
48,48000,885.8449959383128,1000
49,49000,911.4761077094574,1000
50,50000,957.4575314748722,1000
51,51000,920.6401346365068,1000
52,52000,933.6658674842475,1000
53,53000,828.7446494382524,1000
54,54000,918.6246339243596,1000
55,55000,874.2829380209848,1000
56,56000,893.5975313608449,1000
57,57000,943.3850762079039,1000
58,58000,922.5271848869467,1000
59,59000,945.9347355567926,1000
60,60000,898.0402606639169,1000
61,61000,875.3087639567678,1000
62,62000,910.9862952942826,1000
63,63000,850.6250044321064,1000
64,64000,839.4500499261154,1000
65,65000,903.3630006262553,1000
66,65078,46.49907596646538,78
67,66078,786.6262826825049,1000
68,67078,919.2801860184002,1000
69,68078,746.8654650952722,1000
70,69078,904.6874276594954,1000
71,70078,892.3945625561807,1000
72,71078,831.6642966449278,1000
73,72078,921.8142413719366,1000
74,73078,866.311074788129,1000
75,74078,863.6894144629944,1000
76,74289,221.78166971651896,211
77,75289,927.0735243244121,1000
78,76289,906.2468004642249,1000
79,77289,753.6839447774828,1000
80,78289,912.6330949361457,1000
81,79289,784.9629761322259,1000
82,79330,24.00094441945389,41
83,80330,785.7242094313849,1000
84,81330,920.5224217087526,1000
85,81542,201.0111234286047,212
86,82542,875.8821282628098,1000
87,82841,178.18197895377875,299
88,83841,898.1071121590312,1000
89,83858,5.30961126139071,17
90,84858,904.9745382465097,1000
