episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.15035295486450195,0.15022800000000003,211.140625,99.9
2,0.29409170150756836,0.2938630000000001,211.40625,99.9
3,0.43782877922058105,0.43751400000000007,211.578125,99.9
4,0.5860958099365234,0.585753,211.765625,100.0
5,0.744300127029419,0.7439530000000001,211.765625,100.0
6,0.9047949314117432,0.904306,211.9375,99.9
7,1.0555379390716553,1.055024,212.296875,100.0
8,1.1991009712219238,1.198453,212.46875,99.9
9,1.3634669780731201,1.362757,212.78125,100.0
10,1.5113978385925293,1.51068,212.8125,100.0
11,1.6810357570648193,1.685455,227.921875,103.0
12,1.838019847869873,1.840838,227.921875,99.0
13,1.9933300018310547,1.9959909999999998,227.921875,99.9
14,2.143976926803589,2.1465199999999998,227.921875,99.9
15,2.310926914215088,2.3132029999999997,227.984375,99.8
16,2.4647839069366455,2.4670060000000005,227.984375,100.0
17,2.6338677406311035,2.6360530000000004,228.0,100.0
18,2.796022891998291,2.7982009999999997,228.0,100.0
19,2.9456090927124023,2.9477849999999997,228.0,100.0
20,3.098954916000366,3.1011240000000004,228.0,100.0
21,3.2713518142700195,3.2792839999999996,235.140625,103.3
22,3.4208500385284424,3.4287710000000002,235.140625,100.0
23,3.590014934539795,3.5979289999999997,235.140625,100.0
24,3.7399189472198486,3.747821,235.140625,100.0
25,3.882650852203369,3.890531,235.140625,100.0
26,4.031554937362671,4.039415,235.140625,100.0
27,4.186538934707642,4.194395,235.171875,100.0
28,4.339481830596924,4.347335999999999,235.1875,100.0
29,4.4880640506744385,4.4958979999999995,235.1875,100.0
30,4.664936065673828,4.672762,235.265625,100.0
31,4.840723991394043,4.853929,238.9375,103.1
32,4.992701053619385,5.005904,239.03125,100.0
33,5.135933876037598,5.149133,239.046875,100.0
34,5.307949781417847,5.321058,239.109375,99.9
35,5.4780848026275635,5.491187,239.109375,100.0
36,5.626189947128296,5.639284,239.109375,100.0
37,5.7809319496154785,5.7940249999999995,239.1875,100.0
38,5.928168058395386,5.941244,239.203125,100.0
39,6.0735859870910645,6.086647999999999,239.203125,100.0
40,6.22983193397522,6.242858,239.203125,100.0
41,6.404944896697998,6.424119,243.078125,103.5
42,6.561053037643433,6.580222,243.109375,100.0
43,6.703183889389038,6.722338,243.109375,100.0
44,6.851413011550903,6.870473,243.125,99.9
45,7.003440856933594,7.022443,243.125,100.0
46,7.165183067321777,7.18114,243.125,98.1
47,7.313004016876221,7.328949,243.125,100.0
48,7.47605299949646,7.491996,243.125,100.0
49,7.626752138137817,7.642690999999999,243.125,100.0
50,7.792259931564331,7.808197,243.125,100.0
51,8.014731884002686,8.038314,270.25,103.4
52,8.166620969772339,8.190184,270.28125,100.0
53,8.31352186203003,8.33708,270.28125,100.0
54,8.461596012115479,8.485147,270.28125,100.0
55,8.628432989120483,8.651964,270.28125,100.0
56,8.775138854980469,8.798667,270.28125,100.0
57,8.926970958709717,8.950481,270.28125,100.0
58,9.087601900100708,9.111108999999999,270.359375,100.0
59,9.241796970367432,9.265296,270.359375,100.0
60,9.393495798110962,9.416992,270.359375,100.0
61,9.559937715530396,9.588551,270.96875,103.1
62,9.710865020751953,9.739469999999999,270.96875,100.0
63,9.856168985366821,9.884771,270.96875,100.0
64,10.009819984436035,10.038419,270.96875,100.0
65,10.153282880783081,10.181875,270.96875,100.0
66,10.297380924224854,10.325971,270.96875,100.0
67,10.444044828414917,10.472634,270.96875,100.0
68,10.605854988098145,10.634428,270.96875,100.0
69,10.757742881774902,10.78373,270.96875,98.3
70,10.906799793243408,10.932767,270.96875,100.0
71,11.080158948898315,11.111712,271.65625,103.2
72,11.231384754180908,11.262933,271.65625,100.0
73,11.394217014312744,11.425748,271.65625,100.0
74,11.550375938415527,11.581904999999999,271.65625,100.0
75,11.717435836791992,11.748958,271.65625,100.0
76,11.86922812461853,11.900735,271.65625,100.0
77,12.04149580001831,12.073001,271.65625,100.0
78,12.192623853683472,12.224124,271.65625,100.0
79,12.342360973358154,12.37386,271.65625,100.0
80,12.489644050598145,12.521135,271.65625,100.0
81,12.823318719863892,12.866899,330.84375,103.6
82,12.993650913238525,13.03722,330.84375,100.0
83,13.145565032958984,13.189116,330.875,100.0
84,13.293529987335205,13.337076999999999,330.875,100.0
85,13.443957090377808,13.487502,330.875,100.0
86,13.598806142807007,13.642342,330.875,100.0
87,13.74128794670105,13.784820999999999,330.875,100.0
88,13.76839303970337,13.811902,330.875,99.9
89,13.914669752120972,13.958162999999999,330.875,100.0
90,14.055490732192993,14.098982,330.875,100.0
91,14.22287392616272,14.271749999999999,331.546875,103.2
92,14.366393804550171,14.415261,331.546875,100.0
93,14.5171480178833,14.565294999999999,331.546875,99.5
94,14.666390895843506,14.714535999999999,331.5625,100.0
95,14.72241997718811,14.770564,331.5625,100.0
96,14.867947101593018,14.916074,331.5625,100.0
97,15.016752004623413,15.064877,331.5625,100.0
98,15.163097858428955,15.211217,331.5625,100.0
99,15.172889947891235,15.221009,331.59375,100.0
100,15.34594988822937,15.394043,331.59375,100.0
101,15.571989059448242,15.627637,349.375,103.3
102,15.72669792175293,15.774349,349.375,94.8
103,15.743003845214844,15.790645999999999,349.375,99.9
104,15.901046752929688,15.948687,349.375,100.0
105,16.044644832611084,16.092282,349.375,100.0
106,16.190932035446167,16.237094,349.375,99.0
107,16.337153911590576,16.383313,349.421875,100.0
108,16.485801935195923,16.531941,349.421875,100.0
109,16.6455020904541,16.691635,349.421875,100.0
110,16.79470705986023,16.840838,349.421875,100.0
111,16.828431844711304,16.880309,349.484375,117.0
112,16.975996017456055,17.027869,349.484375,100.0
113,17.050936937332153,17.102809999999998,349.484375,100.0
