episode,timestep,reward,length
1,608,-161.04303,608
2,2608,-138.45436,2000
3,4608,-136.46007,2000
4,5446,-142.34239,838
5,5800,-105.1399,354
6,7382,-207.04272,1582
7,8426,-161.35463,1044
8,8622,-112.125824,196
9,8680,-102.011734,58
10,8743,-101.32781,63
11,8812,-102.688705,69
12,8894,-120.23617,82
13,8975,-120.477974,81
14,9082,-102.466515,107
15,9137,-103.037056,55
16,9316,-103.40984,179
17,9852,-131.17957,536
18,11205,-186.67744,1353
19,11300,-98.01696,95
20,11346,-102.79441,46
21,11392,-102.02875,46
22,11442,-103.3907,50
23,11491,-101.737015,49
24,11566,-102.51882,75
25,11650,-115.90555,84
26,11705,-102.46157,55
27,11758,-101.56916,53
28,11805,-103.75287,47
29,11857,-100.398445,52
30,11907,-102.721176,50
31,11963,-102.30407,56
32,12029,-104.67743,66
33,12080,-104.39116,51
34,12132,-104.7718,52
35,12188,-103.833405,56
36,12241,-104.11325,53
37,12342,-129.43314,101
38,12397,-104.677284,55
39,12439,-105.347176,42
40,12484,-104.98127,45
41,12544,-103.79907,60
42,12596,-102.68556,52
43,12644,-103.081215,48
44,12687,-104.77331,43
45,12736,-102.01307,49
46,12776,-104.41046,40
47,12846,-98.25012,70
48,12905,-104.97407,59
49,12978,-101.875305,73
50,13016,-102.83949,38
51,13060,-103.12351,44
52,13176,-102.201294,116
53,13227,-102.85451,51
54,13310,-98.177986,83
55,13379,-100.0542,69
56,13434,-103.13163,55
57,15174,-217.36484,1740
58,15545,-122.59354,371
59,15606,-102.5804,61
60,15672,-102.62489,66
61,15746,-101.85148,74
62,15862,-123.98486,116
63,15913,-101.32169,51
64,15978,-100.753586,65
65,16059,-104.23908,81
66,16130,-109.067215,71
67,16192,-114.95993,62
68,16253,-101.94962,61
69,16298,-101.77002,45
70,16351,-103.106514,53
71,16427,-103.30659,76
72,16485,-103.062416,58
73,17158,-128.68063,673
74,17223,-110.59602,65
75,17279,-109.41685,56
76,17363,-110.998436,84
77,17416,-110.69785,53
78,17485,-113.1592,69
79,17544,-104.93249,59
80,17589,-104.9794,45
81,17716,-123.1099,127
82,17768,-102.67757,52
83,17811,-102.21278,43
84,17865,-107.25096,54
85,19724,-228.6049,1859
86,19782,-105.00974,58
87,19849,-100.406456,67
88,19987,-106.03351,138
89,20044,-100.17899,57
90,20153,-101.48051,109
91,20191,-105.80959,38
92,20505,-125.5169,314
93,20557,-103.586296,52
94,20627,-108.87439,70
95,20720,-109.0247,93
96,20776,-104.6064,56
97,20863,-104.327484,87
98,20906,-104.32914,43
99,20961,-100.39937,55
100,21045,-103.637215,84
101,21095,-105.111115,50
102,21185,-100.45214,90
103,21307,-101.504524,122
104,21354,-106.69682,47
105,21391,-106.33255,37
106,21440,-107.71928,49
107,21505,-103.10125,65
108,21614,-107.66796,109
109,21715,-97.69319,101
110,21840,-102.09114,125
111,22013,-107.36176,173
112,22086,-103.23468,73
113,22168,-102.353745,82
114,22272,-104.05835,104
115,22423,-97.28512,151
116,23739,-166.89172,1316
117,23824,-118.07149,85
118,23997,-101.189674,173
119,24361,-107.50486,364
120,24447,-102.70166,86
121,24540,-96.018684,93
122,24614,-97.3307,74
123,24722,-100.02743,108
124,24826,-102.76247,104
125,24925,-99.842,99
126,25020,-97.90376,95
127,25094,-102.34921,74
128,25405,-105.12829,311
129,25547,-97.60631,142
130,25920,-108.33149,373
131,27136,-98.61218,1216
132,27402,-78.67775,266
133,27486,-119.78189,84
134,27734,-104.49926,248
135,28105,-104.80118,371
136,28166,-102.27241,61
137,28598,-108.9104,432
138,30598,-134.39381,2000
139,30680,-118.29316,82
140,31053,-102.205246,373
141,31168,-100.428635,115
142,31260,-93.19258,92
143,31393,-95.25524,133
144,31451,-106.85275,58
145,31826,-106.03444,375
146,31990,-89.4073,164
147,32170,-88.43388,180
148,32283,-103.92514,113
149,32467,-97.39162,184
150,32863,-111.67438,396
151,32933,-101.89724,70
152,33012,-106.10132,79
153,33291,-102.745514,279
154,33496,-92.54834,205
155,33890,-109.166145,394
156,34189,-90.15759,299
157,34257,-96.21874,68
158,34451,-90.997444,194
159,34506,-104.36718,55
160,34651,-98.5325,145
161,34725,-100.41389,74
162,34813,-109.080505,88
163,34963,-92.722595,150
164,34999,-108.03939,36
165,35164,-88.385506,165
166,35313,-98.00612,149
167,35367,-107.12694,54
168,35522,-93.73759,155
169,35588,-99.17492,66
170,35645,-105.78377,57
171,35820,-87.5403,175
172,35889,-100.14443,69
173,35938,-102.56879,49
174,36005,-111.94162,67
175,36192,-100.17001,187
176,36242,-108.1226,50
177,36344,-107.906555,102
178,36481,-104.36274,137
179,36544,-102.27536,63
180,36609,-100.582695,65
181,36756,-108.13755,147
182,36898,-97.993,142
183,36953,-100.18823,55
184,36995,-103.78118,42
185,37441,-112.57555,446
186,37488,-102.53354,47
187,38184,-127.30709,696
188,38247,-103.78106,63
189,38352,-112.53821,105
190,38398,-106.22464,46
191,38449,-110.08937,51
192,39988,-160.83778,1539
193,40305,-102.624115,317
194,40362,-108.53512,57
195,40416,-107.24946,54
196,40486,-113.514824,70
197,40750,-110.853874,264
198,40879,-98.54354,129
199,41030,-90.99883,151
200,41350,-78.316956,320
201,41882,-118.99461,532
202,42015,-96.658676,133
203,42174,-77.32995,159
204,42265,-113.711754,91
205,42481,-78.82941,216
206,42554,-115.85781,73
207,42621,-117.493774,67
208,42685,-118.22548,64
209,42857,-106.73533,172
210,42922,-95.92143,65
211,42976,-114.285965,54
212,43049,-105.09589,73
213,43127,-113.202644,78
214,43213,-116.102615,86
215,43246,-107.2357,33
216,43300,-113.08463,54
217,43447,-120.79309,147
218,43494,-110.62438,47
219,43533,-106.8399,39
220,43566,-107.15438,33
221,43622,-114.89655,56
222,43774,-93.89394,152
223,43841,-112.31615,67
224,43893,-109.88911,52
225,43982,-107.42868,89
226,44048,-111.63092,66
227,44086,-110.165344,38
228,44142,-112.71767,56
229,44191,-109.2217,49
230,44246,-109.554565,55
231,44316,-111.43179,70
232,44377,-117.117935,61
233,44430,-113.139015,53
234,44471,-110.465775,41
235,44511,-106.39805,40
236,44551,-108.94734,40
237,44601,-114.69628,50
238,44672,-102.70754,71
239,45110,-129.5911,438
240,45180,-113.94424,70
241,45339,-125.85401,159
242,45873,-116.88772,534
243,47873,-160.94145,2000
244,47918,-117.55725,45
245,49918,-149.0852,2000
246,51918,-142.18015,2000
247,53918,-132.44797,2000
248,55918,-119.41071,2000
249,55962,-113.34937,44
250,57962,-114.30484,2000
251,59962,-108.84046,2000
252,61820,-152.0665,1858
253,61959,-102.8614,139
254,62146,-99.03587,187
255,62215,-95.66761,69
256,62748,-107.129524,533
257,63304,-103.61573,556
258,63396,-103.40148,92
259,63433,-105.29191,37
260,63822,-106.005135,389
261,64005,-104.97296,183
262,64674,-96.265114,669
263,65051,-97.00975,377
264,66044,-127.5138,993
265,66120,-99.33994,76
266,66203,-97.84336,83
267,66436,-98.234985,233
268,66504,-98.07761,68
269,66579,-97.52503,75
270,66660,-94.930954,81
271,66745,-94.72096,85
272,66899,-94.49022,154
273,66980,-97.159966,81
274,67179,-91.09924,199
275,67252,-98.42012,73
276,67330,-102.78309,78
277,67427,-91.774216,97
278,67510,-92.86609,83
279,67570,-102.29715,60
280,67643,-96.5661,73
281,67706,-96.95893,63
282,67850,-88.92739,144
283,68069,-92.506035,219
284,68161,-96.81141,92
285,68270,-94.60297,109
286,68404,-94.294624,134
287,68553,-88.59204,149
288,68641,-97.62369,88
289,68707,-110.856,66
290,68786,-94.10713,79
291,68914,-91.02392,128
292,68980,-104.719536,66
293,69141,-80.63035,161
294,69253,-92.26132,112
295,69417,-84.7388,164
296,69486,-102.26172,69
297,69537,-104.700516,51
298,69666,-83.740616,129
299,69756,-96.743286,90
300,69851,-116.42912,95
301,69898,-107.75482,47
302,69973,-99.69086,75
303,70076,-99.056,103
304,70123,-106.28689,47
305,70223,-100.69716,100
306,70268,-106.29863,45
307,70315,-106.093506,47
308,70391,-102.92251,76
309,70505,-103.23455,114
310,70605,-88.69214,100
311,70653,-105.018875,48
312,70844,-79.116035,191
313,71010,-90.208206,166
314,71067,-105.89997,57
315,71584,-107.800224,517
316,71698,-88.849396,114
317,73698,-81.54085,2000
318,73940,-104.72022,242
319,74052,-121.28585,112
320,74164,-105.91921,112
321,74253,-92.433334,89
