episode,timestep,reward,length
1,110,-92.7514315612699,110
2,226,-93.56391908706371,116
3,2226,-20.589716395991736,2000
4,4226,-12.565061898825821,2000
5,4338,-92.37283907703863,112
6,4451,-100.06938625595637,113
7,4557,-92.88265324856243,106
8,4681,-100.24760531912601,124
9,4788,-92.25786259174065,107
10,6788,-21.248755075374582,2000
11,6854,-110.630486889499,66
12,6951,-92.41807349718161,97
13,7017,-110.67054161801039,66
14,7197,-100.08824873192702,180
15,7324,-92.42832613617198,127
16,7442,-99.32007423314039,118
17,9442,-21.50274449056937,2000
18,11442,-9.290372883715719,2000
19,11563,-92.68134181236047,121
20,11674,-92.20045909397281,111
21,11761,-93.24061413884651,87
22,11862,-92.10105259505373,101
23,13862,-19.735786696774095,2000
24,13927,-110.78312821268106,65
25,15927,-26.614657914534927,2000
26,16034,-91.78337466609555,107
27,16132,-118.52539939026438,98
28,16258,-92.2523585090917,126
29,16393,-112.60434744925445,135
30,16475,-93.56718492741881,82
31,16565,-92.84812468202412,90
32,16640,-111.65824510717522,75
33,18640,-11.014515338498324,2000
34,20640,-15.57003843089758,2000
35,22640,-5.056188593976159,2000
36,24640,-32.023605802012796,2000
37,26640,-13.18372452240403,2000
38,26724,-111.91015116816858,84
39,26813,-111.66025778316668,89
40,26909,-92.50378864537977,96
41,28909,-18.843719868733942,2000
42,30909,-18.05064911328888,2000
43,31018,-92.03150616395834,109
44,33018,-12.896901574728053,2000
45,33113,-92.45632312277489,95
46,35113,-17.89238462527914,2000
47,37113,-13.761390799815507,2000
48,39113,-30.18436436105511,2000
49,41113,-25.09873631246569,2000
50,41207,-119.36065415089752,94
51,43207,-11.720503208387111,2000
52,43278,-111.42014901090712,71
53,45278,-19.548900684155928,2000
54,47278,-18.75808350576598,2000
55,49278,-8.16287364865964,2000
56,49363,-93.68150541158889,85
57,49449,-93.57998336973704,86
58,49525,-115.9074573356568,76
59,49669,-120.53664688700442,144
60,49732,-110.86628626718552,63
61,49834,-92.93394793544431,102
62,49940,-92.6416196008406,106
63,50031,-93.1765012878795,91
64,50134,-92.98869157931654,103
65,50245,-92.88792012152179,111
66,52245,-7.789854517012875,2000
67,54245,-16.215968209068773,2000
68,56245,-9.969653525891111,2000
69,58245,-23.513797815571284,2000
70,58332,-111.66595032346784,87
71,58435,-93.01084338050777,103
72,60435,-24.654293620552973,2000
73,60528,-118.83832703394933,93
74,62528,-19.081565372651028,2000
75,62771,-100.49057490564952,243
76,64771,-14.87760666268385,2000
77,64847,-111.04464992515413,76
78,66847,-26.83108674589894,2000
79,67052,-102.51241199235953,205
80,69052,-19.762685478671433,2000
81,71052,-27.050640580238888,2000
82,73052,-25.16010085118461,2000
83,75052,-17.548335887966672,2000
84,77052,-17.943047734067488,2000
85,77158,-112.54447540215988,106
86,79158,-17.375644721920214,2000
87,81158,-17.685596959960485,2000
88,83158,-17.532204284649286,2000
89,83257,-92.8490932925408,99
90,83357,-92.73543011916313,100
91,83473,-93.51264631679112,116
92,85473,-0.018157367141933094,2000
93,87473,-12.964248999128605,2000
94,89473,-5.407982413663311,2000
95,91473,-16.891411315392492,2000
96,91617,-112.8282850943446,144
97,93617,-24.270740028240162,2000
98,95617,-11.174549560059617,2000
99,97617,-20.655634186216556,2000
100,99617,-40.577944446817554,2000
101,99684,-110.72925020488809,67
102,99809,-101.3424270495934,125
103,101809,-31.9576041031744,2000
104,103809,-22.676066150876412,2000
105,104005,-92.52585767650207,196
106,104134,-92.02028425914366,129
107,106134,-15.02067637198014,2000
108,108134,-21.749020608067017,2000
109,108231,-112.22099867878723,97
110,110231,-36.681592507486855,2000
111,112231,-9.512801773987011,2000
112,114231,-15.59491800671577,2000
113,114321,-112.27866004078075,90
114,114421,-93.32616079747127,100
115,116421,-10.672511747252386,2000
116,118421,-33.4422936325394,2000
117,118489,-95.19930314588828,68
118,120489,-23.20053761417065,2000
119,122489,-18.062307224528777,2000
120,124489,-14.939158839028257,2000
121,124633,-117.47135483131133,144
122,126633,-20.431581276672375,2000
123,126766,-112.14484238622916,133
124,126879,-112.45370865584246,113
125,128879,-8.231426964858182,2000
126,129024,-98.6642039492677,145
