episode,timestep,reward,length
1,2000,-139.13576,2000
2,2076,-103.045334,76
3,2164,-106.8517,88
4,2218,-101.17695,54
5,4218,-130.01723,2000
6,4287,-113.47059,69
7,6287,-154.19275,2000
8,6362,-111.1983,75
9,6469,-124.40288,107
10,8469,-133.78549,2000
11,8546,-99.97274,77
12,8633,-123.89205,87
13,8735,-107.89865,102
14,10735,-116.34141,2000
15,10839,-113.07831,104
16,10889,-118.196365,50
17,10967,-104.94559,78
18,11500,-160.34502,533
19,11551,-105.28186,51
20,11616,-115.45688,65
21,13017,-221.82068,1401
22,14461,-183.55972,1444
23,14546,-120.98759,85
24,14622,-106.42773,76
25,14731,-111.69169,109
26,14790,-111.493385,59
27,16790,-143.63159,2000
28,18790,-136.00214,2000
29,18862,-101.5089,72
30,18960,-103.11638,98
31,20960,-129.80925,2000
32,21016,-110.559425,56
33,21165,-116.5705,149
34,23165,-130.82713,2000
35,23204,-109.14673,39
36,25204,-146.62915,2000
37,27204,-142.31458,2000
38,27324,-130.22034,120
39,27390,-113.45891,66
40,29390,-148.87447,2000
41,31390,-134.52838,2000
42,33390,-134.27928,2000
43,33437,-106.695564,47
44,35437,-131.57329,2000
45,37437,-133.90138,2000
46,39437,-131.44907,2000
47,41437,-124.850075,2000
48,43437,-127.56645,2000
49,44553,-157.5436,1116
50,45704,-160.7141,1151
51,45758,-112.60312,54
52,47004,-166.37088,1246
53,48831,-205.65942,1827
54,50831,-116.7015,2000
55,52831,-126.321884,2000
56,53625,-134.48189,794
57,53681,-114.89328,56
58,53745,-112.95676,64
59,53819,-117.61865,74
60,53903,-110.39589,84
61,55903,-112.6774,2000
62,57903,-124.79099,2000
63,59903,-121.770195,2000
64,61903,-122.44869,2000
65,63903,-111.672485,2000
66,64460,-115.789246,557
67,65134,-124.06471,674
68,65172,-111.33927,38
69,67172,-118.63343,2000
70,67990,-132.19951,818
71,69990,-117.84685,2000
72,71990,-106.116684,2000
73,73990,-108.77488,2000
74,75990,-118.49437,2000
75,77990,-118.31341,2000
76,78045,-100.37488,55
77,78107,-101.379616,62
78,80107,-109.13916,2000
79,82107,-119.2217,2000
80,82647,-113.41434,540
81,84647,-87.29713,2000
82,85532,-136.44614,885
83,86501,-141.85387,969
84,88501,-117.601906,2000
85,88573,-103.3606,72
86,90573,-104.22566,2000
87,90657,-109.076904,84
88,91502,-133.2795,845
89,93502,-89.76506,2000
90,95502,-118.93267,2000
91,97502,-115.23162,2000
92,99502,-92.071175,2000
93,100283,-127.55616,781
94,101157,-133.61105,874
95,103157,-90.27896,2000
96,105157,-111.28109,2000
97,106034,-133.41537,877
98,108034,-111.08498,2000
99,109228,-150.04462,1194
100,110534,-160.67871,1306
101,111284,-123.41554,750
102,113284,-98.23348,2000
103,115284,-101.57376,2000
104,117284,-105.14218,2000
105,119284,-76.98069,2000
106,121284,-103.81006,2000
107,123284,-104.74215,2000
108,123381,-106.89879,97
109,125381,-103.74766,2000
110,125445,-122.67479,64
111,127445,-106.24489,2000
112,129445,-90.193245,2000
113,131445,-88.94917,2000
114,132170,-120.48661,725
115,134170,-72.39404,2000
116,136170,-86.732185,2000
117,138170,-103.01277,2000
118,139549,-153.75507,1379
119,141549,-61.240974,2000
120,143549,-84.24262,2000
121,145549,-59.317547,2000
122,147549,-83.59887,2000
123,148250,-119.98002,701
124,150250,-98.315895,2000
125,151141,-128.86473,891
126,153141,-67.03012,2000
127,155141,-65.42393,2000
128,155666,-107.57781,525
129,157666,-95.60406,2000
130,158244,-110.30691,578
131,160244,-75.25574,2000
132,162244,-91.87214,2000
133,164244,-76.33515,2000
134,164872,-112.00142,628
135,166872,-63.163097,2000
136,168872,-53.231125,2000
137,170872,-96.33577,2000
138,171476,-110.701706,604
139,173441,-145.01195,1965
140,174072,-112.71537,631
141,176072,-52.10843,2000
142,178072,-71.113174,2000
143,180072,-94.02756,2000
144,182072,-93.60107,2000
145,182513,-101.89161,441
146,184513,-74.0594,2000
147,186513,-54.694656,2000
148,188513,-69.29736,2000
149,190513,-93.503815,2000
150,192513,-45.1083,2000
151,194513,-83.041084,2000
152,196513,-77.779175,2000
153,198513,-53.131973,2000
154,198875,-98.57121,362
155,199212,-98.43369,337
156,199911,-119.85737,699
157,200308,-100.602646,397
158,202308,-81.807884,2000
159,203089,-94.35245,781
160,205089,-21.372452,2000
161,205420,-96.84212,331
162,207420,-94.29778,2000
163,208422,-149.67198,1002
164,210422,-94.168175,2000
165,210693,-95.87493,271
166,211115,-101.91229,422
167,211395,-94.25108,280
168,213395,-98.21814,2000
169,214582,-93.88634,1187
170,216579,-87.884705,1997
171,218579,-13.007296,2000
172,220579,-93.14727,2000
173,222579,-92.953064,2000
174,222901,-97.830124,322
175,224901,-94.01782,2000
176,226437,-118.05595,1536
177,228437,-96.533966,2000
178,228726,-95.52583,289
179,230726,-92.08274,2000
180,232211,-178.20828,1485
181,232391,-90.49273,180
182,232765,-99.07694,374
183,234765,-90.972084,2000
184,235048,-96.01765,283
185,237048,-96.52905,2000
186,237288,-93.0505,240
187,239288,-96.37165,2000
188,240267,-155.70499,979
189,240396,-118.81145,129
190,241500,-88.04228,1104
191,242447,-94.95254,947
192,243605,-91.66451,1158
193,243857,-93.12994,252
194,244008,-99.81534,151
195,244242,-92.304985,234
196,244768,-131.73642,526
197,244862,-106.09563,94
198,245089,-92.24159,227
199,245535,-114.88498,446
200,247535,-78.469284,2000
