episode,timestep,reward,length
1,60,-100.36695,60
2,141,-116.310394,81
3,721,-158.46121,580
4,798,-119.47442,77
5,911,-119.6946,113
6,1016,-125.57352,105
7,1118,-118.5574,102
8,1203,-99.03129,85
9,1312,-97.439316,109
10,1383,-100.38831,71
11,3085,-216.8818,1702
12,3129,-108.21045,44
13,3718,-155.87874,589
14,4479,-104.86868,761
15,4547,-104.79199,68
16,4622,-104.14578,75
17,4686,-104.781105,64
18,4737,-104.78382,51
19,5003,-96.38585,266
20,5056,-105.625336,53
21,5125,-99.29002,69
22,5196,-100.39681,71
23,5262,-99.364624,66
24,5353,-98.37836,91
25,5429,-120.35054,76
26,5478,-100.609665,49
27,5533,-100.12057,55
28,5595,-101.55011,62
29,5676,-103.78895,81
30,5761,-120.71943,85
31,5914,-101.50229,153
32,5984,-100.8349,70
33,6048,-100.9825,64
34,6112,-104.71768,64
35,6192,-102.25672,80
36,6337,-132.98546,145
37,6425,-102.77373,88
38,6754,-99.596985,329
39,6799,-103.4162,45
40,6892,-127.80331,93
41,6972,-96.56356,80
42,7092,-113.56878,120
43,7148,-107.2053,56
44,7234,-98.153885,86
45,7304,-98.771515,70
46,7396,-108.51438,92
47,9396,-145.69225,2000
48,11396,-66.5635,2000
49,13396,-119.230965,2000
50,15396,-126.15925,2000
51,16099,-152.78702,703
52,16908,-135.92859,809
53,17138,-123.44589,230
54,19138,-112.26816,2000
55,20271,-197.09131,1133
56,20542,-131.14726,271
57,22542,-136.62994,2000
58,24542,-107.4729,2000
59,24621,-115.3418,79
60,24699,-114.147514,78
61,24815,-102.977844,116
62,24906,-118.79833,91
63,24969,-114.55541,63
64,25045,-110.1441,76
65,25144,-116.91719,99
66,25267,-105.64376,123
67,25353,-110.398384,86
68,27353,-89.01671,2000
69,29353,-116.62654,2000
70,31353,-117.002045,2000
71,33353,-111.1134,2000
72,33437,-122.38852,84
73,35437,-101.99906,2000
74,37437,-95.7112,2000
75,37542,-116.44726,105
76,37652,-104.53064,110
77,37740,-124.97276,88
78,39740,-49.86332,2000
79,39915,-129.94876,175
80,40002,-102.16997,87
81,41052,-169.98752,1050
82,41222,-112.37218,170
83,43222,-113.73386,2000
84,45222,-83.94858,2000
85,47222,-90.40576,2000
86,48881,-187.86678,1659
87,49046,-124.82013,165
88,49424,-141.20145,378
89,50787,-195.66617,1363
90,52787,-116.10839,2000
91,52898,-97.29092,111
92,54898,-107.59997,2000
93,56898,-105.533165,2000
94,57021,-120.37579,123
95,59021,-104.170235,2000
96,61021,-126.0709,2000
97,61620,-141.15344,599
98,62886,-146.17622,1266
99,64886,-94.30423,2000
100,66886,-100.87739,2000
101,68886,-101.2309,2000
102,70886,-133.45886,2000
103,72886,-91.031166,2000
104,74886,-114.38386,2000
105,76886,-77.72798,2000
106,78886,-89.1027,2000
107,80886,-90.21602,2000
108,82886,-105.369064,2000
109,83043,-125.21152,157
110,83314,-118.091034,271
111,83448,-122.57207,134
112,83788,-128.77893,340
113,83869,-124.1296,81
114,83980,-120.095474,111
115,84070,-121.12604,90
116,84186,-122.71019,116
117,84537,-136.23898,351
118,84757,-133.31355,220
119,84908,-117.96942,151
120,85103,-131.53381,195
121,85227,-122.52367,124
122,85427,-135.11377,200
123,85626,-128.2655,199
124,85687,-115.92733,61
125,85792,-120.773094,105
126,86074,-127.81568,282
127,86168,-122.86547,94
128,86227,-117.00045,59
129,86282,-113.7196,55
130,86923,-138.22852,641
131,86987,-115.799576,64
132,87111,-116.32918,124
133,87446,-122.146866,335
134,87547,-124.01917,101
135,88092,-110.07351,545
136,88299,-126.71802,207
137,88636,-122.176926,337
138,88798,-130.45645,162
139,89392,-156.07004,594
140,91392,-83.893234,2000
141,93392,-82.13159,2000
142,95392,-80.06057,2000
143,97392,-77.390205,2000
144,99392,-84.010574,2000
145,101392,-136.77696,2000
146,103392,-116.177635,2000
147,105392,-82.11851,2000
148,107392,-94.52902,2000
149,109392,-85.33497,2000
150,111392,-98.212494,2000
151,112490,-172.85509,1098
152,112708,-126.98924,218
153,114708,-80.531296,2000
154,116708,-100.01185,2000
155,118708,-96.60238,2000
156,120708,-75.153946,2000
157,122708,-61.288013,2000
158,122865,-137.09875,157
159,124865,-116.26302,2000
160,125015,-128.14783,150
161,125381,-147.28195,366
162,126863,-211.85016,1482
163,127253,-152.24254,390
164,127363,-122.430626,110
165,127442,-124.648926,79
166,127538,-124.277306,96
167,127637,-122.188484,99
168,127714,-121.64414,77
169,128208,-133.68777,494
170,128565,-145.34015,357
171,130565,-128.86707,2000
172,132565,-170.59924,2000
173,133755,-196.15321,1190
174,135755,-129.78578,2000
175,137755,-89.46734,2000
176,139755,-80.771454,2000
177,141755,-73.17905,2000
178,143755,-68.23228,2000
179,145755,-63.863026,2000
180,147755,-61.304832,2000
181,147822,-119.12764,67
182,149822,-82.06323,2000
183,151822,-104.54514,2000
184,153629,-160.52168,1807
185,155629,-75.43839,2000
186,157629,-96.93755,2000
187,159039,-133.62085,1410
188,161039,-61.29255,2000
