episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.09821414947509766,0.14968099999896367,420.8125,154.5
2,1.2879061698913574,1.981458999998722,422.0,153.8
3,37.501381158828735,57.302694999998494,423.296875,152.8
4,39.02672719955444,59.66519999999946,423.328125,154.8
5,65.37340641021729,99.75655899999765,423.875,152.2
6,102.31259322166443,155.7323639999995,424.3125,151.5
7,139.0980932712555,212.1084899999987,425.515625,153.3
8,163.14747714996338,248.79167199999938,426.28125,152.5
9,164.30075907707214,250.55922999999893,426.3125,153.3
10,165.30209112167358,252.09499700000015,426.4375,153.5
11,166.53136110305786,253.832613999999,426.4375,141.3
12,167.79429030418396,255.7320409999993,426.484375,150.4
13,171.36346220970154,261.0558369999999,426.515625,149.2
14,172.6490821838379,263.10770599999887,426.515625,159.7
15,173.83954620361328,265.025870999998,426.546875,161.0
16,175.30708122253418,267.2294320000001,426.546875,150.3
17,176.2738173007965,268.6956769999997,426.578125,151.6
18,198.47283816337585,302.4363400000002,426.8125,152.0
19,199.84139919281006,304.58420900000056,426.8125,156.9
20,202.0083031654358,307.87504199999967,426.84375,151.9
21,203.2141351699829,309.7581219999993,426.859375,156.2
22,204.55657529830933,311.64030699999785,426.90625,140.3
23,206.0577883720398,313.83948299999975,426.90625,146.5
24,208.39705610275269,317.37685599999895,426.9375,151.2
25,209.23831033706665,318.65592299999844,426.9375,152.2
26,211.57853722572327,322.2369519999993,426.96875,153.1
27,212.5480351448059,323.75520699999834,426.96875,156.4
28,213.64694237709045,325.5092889999978,427.0,159.7
29,214.76011419296265,327.2574829999976,427.0,156.9
30,215.86784410476685,328.9408739999999,427.0,152.0
31,216.90676403045654,330.4989319999986,427.03125,150.1
32,217.7069571018219,331.7356069999987,427.03125,154.4
33,218.94432735443115,333.465956,427.0625,139.8
34,220.15896224975586,335.3269110000001,427.09375,153.1
35,221.76274037361145,337.71135499999946,427.09375,148.8
36,222.9907581806183,339.5606399999997,427.140625,150.5
37,224.1317822933197,341.27152099999876,427.15625,150.0
38,227.23861408233643,345.94650999999794,427.1875,150.5
39,228.8387622833252,348.23707699999795,427.21875,143.2
40,230.57909512519836,350.7506859999994,427.21875,144.4
41,232.09921717643738,353.2368949999982,427.28125,163.6
42,233.21208429336548,354.94288799999777,427.28125,153.3
43,234.54996132850647,356.9491769999986,427.28125,150.0
44,236.05950117111206,359.2507650000007,427.3125,152.3
45,239.4146432876587,364.3467920000003,427.375,151.9
46,240.6561803817749,366.13453599999775,427.375,144.0
47,242.13973712921143,368.3723260000006,427.421875,150.8
48,243.0622682571411,369.7716139999975,427.421875,151.6
49,244.36386513710022,371.75712999999814,427.4375,152.7
50,247.0152292251587,375.7475029999987,427.46875,150.5
51,250.44263911247253,380.8615299999983,427.5,149.2
52,252.68531131744385,384.2428899999977,427.546875,150.7
53,254.59900331497192,387.1225569999988,427.59375,150.6
54,256.6157591342926,390.150999999998,427.59375,150.1
55,260.1428732872009,395.63222699999824,427.671875,155.4
