episode,timestep,reward,length
1,82,-100.89976,82
2,202,-108.68522,120
3,270,-118.05489,68
4,341,-118.26639,71
5,409,-118.22304,68
6,490,-119.551926,81
7,593,-131.36568,103
8,728,-116.472855,135
9,822,-113.376366,94
10,907,-114.87696,85
11,963,-119.41509,56
12,1047,-123.00786,84
13,3047,-221.16422,2000
14,5047,-221.03455,2000
15,5232,-120.18991,185
16,7232,-203.6227,2000
17,7320,-109.30033,88
18,7397,-110.993126,77
19,7551,-115.53796,154
20,7654,-106.36024,103
21,7813,-114.91828,159
22,7884,-116.41596,71
23,7980,-121.56247,96
24,8056,-113.35102,76
25,8141,-118.77669,85
26,8207,-115.93723,66
27,8315,-110.21156,108
28,8423,-131.46518,108
29,10423,-199.35176,2000
30,12423,-203.09348,2000
31,14423,-147.70457,2000
32,16423,-172.80956,2000
33,18423,-95.09731,2000
34,18481,-104.581314,58
35,18548,-103.28986,67
36,18608,-102.67408,60
37,18680,-103.453476,72
38,18744,-100.05306,64
39,18798,-106.99868,54
40,20798,-174.76346,2000
41,20899,-103.70016,101
42,20985,-108.367805,86
43,21078,-104.803764,93
44,22140,-208.70009,1062
45,22216,-123.58864,76
46,22287,-108.05278,71
47,22359,-108.36012,72
48,22863,-162.83887,504
49,22935,-103.45689,72
50,22999,-104.0314,64
51,23069,-112.05473,70
52,23105,-108.54177,36
53,23265,-109.59846,160
54,23369,-118.799835,104
55,23422,-108.7068,53
56,23494,-101.5799,72
57,23761,-114.83738,267
58,23844,-109.50093,83
59,23948,-99.6021,104
60,24002,-109.24826,54
61,24075,-117.27456,73
62,24140,-109.8465,65
63,24339,-113.12764,199
64,26339,-138.38605,2000
65,26415,-108.19881,76
66,26481,-120.88295,66
67,26926,-135.73428,445
68,27087,-108.03124,161
69,27165,-108.738815,78
70,27288,-118.28889,123
71,27387,-104.016815,99
72,28774,-211.79202,1387
73,30774,-127.621956,2000
74,32774,-153.17583,2000
75,34774,-136.99838,2000
76,36774,-135.00154,2000
77,36985,-142.35693,211
78,37076,-122.306595,91
79,37130,-110.93912,54
80,37190,-112.636696,60
81,37241,-108.15551,51
82,37346,-124.741776,105
83,37496,-108.26587,150
84,37556,-112.70843,60
85,37635,-99.67759,79
86,37724,-106.98807,89
87,37808,-104.70705,84
88,38291,-157.634,483
89,38368,-96.80982,77
90,38409,-108.523026,41
91,40409,-157.68858,2000
92,40581,-132.78183,172
93,40695,-98.86646,114
94,40788,-125.65283,93
95,41036,-119.91234,248
96,41117,-126.834595,81
97,41205,-123.803406,88
98,41336,-127.49799,131
99,41443,-101.00949,107
100,43443,-156.31122,2000
101,43509,-108.151184,66
102,43580,-110.623375,71
103,45580,-147.22552,2000
104,47580,-148.48116,2000
105,49580,-143.99817,2000
106,49636,-102.96222,56
107,49737,-123.27153,101
108,51737,-155.80339,2000
109,51847,-109.88958,110
110,51925,-113.120255,78
111,53925,-183.62848,2000
112,54009,-105.38126,84
113,56009,-116.24775,2000
114,58009,-114.575195,2000
115,60009,-130.76253,2000
116,60089,-103.67938,80
117,62089,-153.83005,2000
118,64089,-152.76935,2000
119,66089,-156.7815,2000
120,68089,-160.55048,2000
121,70089,-161.91893,2000
122,72089,-124.02541,2000
123,74089,-140.76456,2000
124,76089,-151.7487,2000
125,78089,-121.384094,2000
126,80089,-127.82514,2000
127,80215,-116.04158,126
128,82215,-133.19872,2000
129,84215,-132.32208,2000
130,86215,-127.00352,2000
131,88215,-151.51534,2000
132,88301,-116.40404,86
133,90301,-128.15646,2000
134,92301,-105.50112,2000
135,94301,-140.39893,2000
136,95910,-218.24481,1609
137,96557,-167.72269,647
138,98557,-118.63831,2000
139,100557,-74.49416,2000
140,102557,-140.58093,2000
141,104557,-92.309105,2000
142,106557,-78.46256,2000
143,108557,-109.27843,2000
144,110557,-76.95169,2000
145,110697,-110.99394,140
146,112697,-135.99973,2000
147,113573,-170.88846,876
148,113991,-132.83336,418
149,114921,-183.89517,930
150,115140,-117.00033,219
151,115254,-107.44523,114
152,115996,-154.71002,742
153,116137,-118.414536,141
154,116304,-115.44474,167
155,118304,-170.70554,2000
156,118808,-164.89758,504
157,120808,-179.3934,2000
158,122506,-278.00104,1698
159,122759,-128.2164,253
160,122803,-125.70758,44
161,122957,-120.25185,154
162,123001,-127.12171,44
163,123046,-127.0398,45
164,123090,-126.87971,44
165,123135,-127.02264,45
