episode,timestep,reward,length
1,2000,-108.54589,2000
2,4000,-104.01918,2000
3,4086,-120.82301,86
4,5912,-183.70648,1826
5,7912,-98.922134,2000
6,9912,-107.80902,2000
7,10004,-96.235954,92
8,10348,-100.661644,344
9,10521,-113.21297,173
10,11603,-121.21077,1082
11,11637,-109.35978,34
12,11703,-122.01113,66
13,11807,-102.99097,104
14,11908,-109.051796,101
15,12237,-102.86169,329
16,12566,-101.85618,329
17,12649,-107.00082,83
18,12707,-108.01303,58
19,12977,-95.29868,270
20,13176,-97.15948,199
21,13366,-104.599365,190
22,13452,-124.68628,86
23,13601,-124.608215,149
24,13710,-97.5458,109
25,13808,-93.264755,98
26,13885,-116.23823,77
27,13939,-110.0448,54
28,13992,-111.4003,53
29,14106,-92.22927,114
30,14177,-114.66722,71
31,14215,-107.65846,38
32,14272,-110.84606,57
33,14321,-108.7236,49
34,14357,-107.40996,36
35,14393,-108.30679,36
36,14437,-106.11936,44
37,14500,-114.41122,63
38,14553,-108.80655,53
39,14587,-106.47539,34
40,14634,-110.05684,47
41,14706,-110.46218,72
42,14866,-116.23688,160
43,14911,-105.5028,45
44,15295,-123.25988,384
45,15333,-106.989845,38
46,15600,-138.85152,267
47,15886,-125.97287,286
48,15944,-114.20336,58
49,16009,-121.78647,65
50,16064,-114.38943,55
51,16169,-125.82002,105
52,16416,-99.86374,247
53,16481,-115.43086,65
54,16526,-107.92693,45
55,16610,-118.73104,84
56,16678,-116.510895,68
57,16724,-109.38185,46
58,16772,-109.17086,48
59,16821,-106.81124,49
60,17103,-97.39842,282
61,17151,-108.69267,48
62,17206,-113.8854,55
63,17250,-105.95976,44
64,17295,-107.52489,45
65,17351,-110.31346,56
66,17395,-107.27862,44
67,17441,-106.26987,46
68,17486,-106.655525,45
69,17533,-108.86732,47
70,17595,-115.692795,62
71,17653,-115.31779,58
72,17774,-96.94972,121
73,17820,-106.57834,46
74,17865,-106.50184,45
75,18463,-156.70113,598
76,18623,-109.616264,160
77,18744,-130.5575,121
78,18858,-129.36613,114
79,18985,-90.94444,127
80,19086,-103.748405,101
81,19189,-105.165085,103
82,19296,-102.60609,107
83,19414,-94.18807,118
84,19602,-95.2388,188
85,19668,-102.79193,66
86,19754,-95.109695,86
87,19856,-95.35942,102
88,20126,-76.157974,270
89,20225,-102.75118,99
90,20375,-77.50156,150
91,20480,-84.69869,105
92,20580,-96.21281,100
93,20657,-95.91403,77
94,20783,-101.54749,126
95,20884,-96.470314,101
96,21141,-94.43755,257
97,21406,-98.99316,265
98,21546,-94.86708,140
99,22351,-106.188866,805
100,22393,-110.65249,42
101,22466,-103.08367,73
102,22533,-107.7586,67
103,22748,-89.117714,215
104,22788,-110.56788,40
105,22893,-121.0056,105
106,22964,-106.42856,71
107,23017,-114.78357,53
108,23166,-103.71521,149
109,23514,-97.0062,348
110,23708,-99.34662,194
111,23819,-102.6406,111
112,24262,-112.82478,443
113,25395,-66.19947,1133
114,25981,-115.27461,586
115,26183,-96.9895,202
116,26877,-93.91458,694
117,27874,-106.12445,997
118,28181,-91.9654,307
119,28416,-91.55023,235
120,29155,-112.78091,739
121,30325,-141.36241,1170
122,30864,-106.45853,539
123,32786,-118.71303,1922
124,32930,-108.71234,144
125,34930,-114.33535,2000
126,35042,-96.151474,112
127,35421,-89.90063,379
128,35512,-100.1509,91
129,36014,-67.13495,502
130,36282,-92.20218,268
131,36575,-98.35416,293
132,38575,-71.63745,2000
133,38755,-86.45135,180
134,38874,-107.14325,119
135,39179,-95.02417,305
136,39334,-113.003944,155
137,39614,-97.55364,280
138,39759,-84.37405,145
139,39844,-102.29593,85
140,40467,-92.33126,623
141,40776,-90.556335,309
142,40859,-91.51643,83
143,41538,-55.290333,679
144,41784,-94.29354,246
145,42473,-32.77671,689
146,42727,-98.7136,254
147,42933,-91.24371,206
148,43128,-93.133415,195
149,43325,-93.154076,197
150,43779,-74.76216,454
151,44103,-73.80345,324
152,44659,-121.833595,556
153,44823,-89.85249,164
154,45636,-47.18126,813
155,45794,-87.80859,158
156,46142,-67.16495,348
157,48142,-135.174,2000
158,48468,-76.74901,326
159,48788,-95.48536,320
160,50788,-59.28934,2000
161,52788,-32.64534,2000
162,53343,-97.82986,555
163,55343,-99.042435,2000
164,55429,-96.353836,86
165,56087,-76.077736,658
166,56238,-94.26573,151
167,56910,-62.00437,672
168,58910,-94.284134,2000
169,59179,-98.95485,269
170,59408,-96.18125,229
171,59707,-99.72366,299
172,61707,-101.90398,2000
173,62469,-41.59153,762
174,63226,-46.728607,757
175,63664,-36.743267,438
176,65664,20.079536,2000
177,65870,-83.470505,206
178,67870,-94.33725,2000
179,68182,-101.75063,312
180,68313,-85.18113,131
181,68523,-92.58003,210
182,68703,-89.86529,180
183,69056,-61.60666,353
184,69491,-62.21351,435
185,69726,-82.275406,235
186,69972,-95.79519,246
187,70383,-52.348743,411
188,70604,-106.78406,221
189,70837,-101.03688,233
190,71350,-46.860897,513
191,71727,-68.534,377
192,72402,-64.19909,675
193,73060,-124.28688,658
194,73452,-107.44667,392
195,73998,-73.19277,546
196,74198,-91.45444,200
197,74821,-9.636139,623
198,74988,-81.22186,167
199,75202,-83.134384,214
200,75437,-95.78289,235
201,76407,26.485092,970
202,76667,-66.02402,260
203,77016,-85.314705,349
204,77367,-56.654575,351
205,77766,-93.63835,399
206,78237,-83.445816,471
207,79752,-18.144737,1515
208,79916,-83.83847,164
209,80189,-105.22332,273
210,80732,-15.912918,543
211,81112,-67.65848,380
212,81665,-39.474213,553
213,82220,-85.05107,555
214,82641,-75.18488,421
215,83113,-56.146572,472
216,84024,-98.95041,911
217,84181,-93.679375,157
218,86181,-75.04217,2000
219,86500,-100.865685,319
220,87203,-83.36688,703
221,87501,-102.34684,298
222,89501,-101.31413,2000
223,89577,-115.16707,76
224,89944,-100.170494,367
225,91262,-73.26762,1318
226,91731,-74.33362,469
227,93731,-101.086174,2000
228,95731,-98.29001,2000
229,95937,-93.56052,206
230,97937,-35.203163,2000
231,99937,-58.311043,2000
232,100342,-63.5002,405
233,100786,-101.056335,444
234,101436,-2.1228027,650
235,101666,-92.62646,230
236,102392,-16.702278,726
237,103151,-43.503387,759
238,103307,-85.34182,156
239,103480,-87.94743,173
240,104212,-54.94819,732
241,104959,-9.966995,747
242,105193,-97.55097,234
243,105526,-68.96261,333
244,106036,-19.374542,510
245,106894,-44.41854,858
246,107930,-41.810772,1036
247,108521,-36.58971,591
248,108775,-83.590546,254
