episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.008661985397338867,0.008660999999847263,493.515625,98.4
2,25.064346075057983,58.467875000002095,504.890625,233.3
3,25.896422147750854,60.40519200000563,504.90625,233.4
4,26.961656093597412,62.89437300001737,504.921875,233.1
5,27.652905225753784,64.50793400002294,504.953125,234.2
6,28.549290895462036,66.59326000002329,504.96875,232.1
7,54.18946719169617,126.44028599999729,505.390625,233.4
8,79.85378503799438,186.28025900002103,505.796875,233.2
9,105.46017289161682,245.99686000001384,506.3125,233.2
10,121.62209820747375,283.65445400000317,506.578125,233.0
11,137.70366311073303,321.10129300001427,506.859375,232.9
12,138.48510098457336,322.92713399999775,506.859375,233.5
13,139.2875051498413,324.800098000007,506.890625,234.2
14,140.0594699382782,326.5961530000204,506.890625,232.0
15,143.9498269557953,335.67368000000715,506.96875,233.5
16,144.68206405639648,337.3767210000078,506.96875,232.0
17,145.25070810317993,338.7008190000197,506.96875,233.8
18,145.78277707099915,339.94780600001104,507.0,234.1
19,146.3426558971405,341.254173000023,507.09375,232.2
20,146.91012406349182,342.5723670000152,507.09375,232.8
21,147.4605851173401,343.8531930000172,507.09375,231.6
22,148.0265839099884,345.1735370000242,507.125,234.9
23,148.5783829689026,346.4582710000104,507.125,232.6
24,149.15713000297546,347.8067500000179,507.125,231.9
25,149.73122096061707,349.14400900001056,507.1875,233.1
26,150.66265201568604,351.3201479999989,507.1875,233.7
27,151.21364903450012,352.6045770000201,507.1875,232.9
28,151.78751921653748,353.92691999999806,507.1875,231.0
29,152.40389108657837,355.3666300000041,507.21875,232.7
30,153.32610702514648,357.5175460000173,507.21875,233.3
31,153.86120891571045,358.7703980000224,507.21875,235.2
32,155.16013407707214,361.80260100000305,507.25,233.5
33,157.30921411514282,366.8241150000249,507.328125,233.8
34,158.49616408348083,369.57881900001667,507.359375,231.5
35,159.763032913208,372.53059500001837,507.359375,233.4
36,162.0783920288086,377.92313800001284,507.390625,232.6
37,163.6652820110321,381.6054910000239,507.453125,232.3
38,165.1967899799347,385.1806579999975,507.484375,233.3
39,166.5255160331726,388.28641200001584,507.484375,233.9
40,167.54947805404663,390.6698050000123,507.515625,233.1
41,168.60521602630615,393.1362369999988,507.5625,233.2
42,169.77798223495483,395.8782890000148,507.609375,234.3
43,170.3891339302063,397.3057039999985,507.609375,233.3
44,171.06138110160828,398.8758880000096,507.609375,233.3
45,171.71842193603516,400.4037020000105,507.640625,233.0
46,172.3245449066162,401.81722399999853,507.640625,232.5
47,173.0317349433899,403.4657860000152,507.640625,233.1
48,173.64482617378235,404.8927750000148,507.640625,232.6
49,174.41167497634888,406.68777099999716,507.671875,234.6
50,175.0166518688202,408.09660800002166,507.671875,231.6
51,175.87221598625183,410.0918900000106,507.671875,233.4
52,176.4982190132141,411.5575320000062,507.703125,233.8
53,177.16369009017944,413.11100299999816,507.703125,233.8
54,177.8653039932251,414.74928600000567,507.703125,234.3
55,178.53071308135986,416.3038510000042,507.734375,233.2
56,179.11805820465088,417.67523600001005,507.75,233.5
57,179.72916388511658,419.09093700000085,507.75,232.0
58,180.46536302566528,420.8023010000179,507.78125,231.9
59,181.18137526512146,422.4767400000128,507.78125,233.7
60,181.85156226158142,424.04276400001254,507.78125,234.7
61,182.57785892486572,425.725569000002,507.84375,230.4
62,183.43637108802795,427.7344640000083,507.84375,234.5
63,184.47521924972534,430.1721260000195,507.84375,234.6
64,185.0273780822754,431.45930300001055,507.875,232.4
65,185.88056421279907,433.4468170000182,507.875,233.0
66,186.58674097061157,435.09096000000136,507.875,232.8
67,187.2510929107666,436.6451550000056,507.90625,234.2
68,187.90408897399902,438.1576280000154,507.90625,232.5
69,188.76145100593567,440.1473120000155,507.921875,231.4
70,189.90848922729492,442.80316500001936,507.96875,231.8
71,190.61927700042725,444.46880500001134,507.96875,233.7
72,191.24776601791382,445.9366120000195,507.96875,233.6
73,191.8985321521759,447.4524060000258,508.0,233.3
74,192.9461019039154,449.8822330000112,508.0,232.2
75,193.76586508750916,451.7960820000153,508.03125,233.8
76,194.58085107803345,453.6979490000231,508.03125,232.6
77,195.7860369682312,456.50284200001624,508.078125,233.2
78,196.83747124671936,458.9550910000107,508.078125,232.6
79,197.98982691764832,461.6488620000018,508.109375,234.0
80,199.12756490707397,464.3065540000098,508.109375,233.4
81,200.1766209602356,466.7479630000016,508.140625,233.1
82,201.09854817390442,468.90469100000337,508.140625,233.4
83,202.37285494804382,471.87988700001733,508.171875,233.7
84,203.65228509902954,474.84209300001385,508.171875,231.4
85,204.60725498199463,477.0624050000042,508.203125,232.8
86,205.6166181564331,479.41281200002413,508.21875,232.7
87,206.604168176651,481.7098410000035,508.25,232.7
88,208.35917782783508,485.7954830000235,508.25,232.8
89,209.27995800971985,487.94306900000083,508.296875,233.7
90,210.20027613639832,490.09182800000417,508.296875,233.3
91,212.13655805587769,494.60607400001027,508.328125,232.9
92,213.86508417129517,498.63253500001156,508.359375,232.9
93,215.58920121192932,502.66045600001235,508.390625,233.5
94,216.39791297912598,504.5476680000138,508.390625,233.9
95,218.56510519981384,509.601805000013,508.421875,233.2
96,219.39517903327942,511.537187000009,508.421875,232.9
97,220.65917825698853,514.4807030000084,508.453125,232.9
98,227.43027806282043,530.2502890000178,508.5625,232.9
99,228.9013819694519,533.6895680000016,508.59375,233.8
100,232.54958820343018,542.172115000023,508.625,232.5
101,233.944806098938,545.4224240000185,508.65625,232.7
102,235.54295206069946,549.1463410000142,508.703125,233.3
103,238.67619800567627,556.4586360000249,508.734375,233.5
104,240.13263607025146,559.8622220000252,508.765625,233.6
105,243.13981986045837,566.8936920000124,508.796875,233.8
106,244.7518801689148,570.6459759999998,508.828125,232.9
107,245.73974108695984,572.9541010000103,508.828125,233.5
108,247.05951499938965,576.0317290000094,508.859375,233.3
109,248.2514100074768,578.8110010000237,508.90625,233.3
110,250.47576212882996,583.9911040000152,509.015625,232.7
111,251.33203196525574,585.9928330000257,509.015625,234.1
112,252.70744705200195,589.2051300000167,509.046875,233.3
113,254.0316572189331,592.2993000000133,509.0625,233.8
114,255.95517110824585,596.7827230000112,509.09375,233.1
115,256.8201608657837,598.8073760000116,509.09375,233.7
116,259.6838219165802,605.4839030000148,509.15625,233.3
117,260.5595512390137,607.5251839999983,509.15625,233.2
118,263.07857513427734,613.3886679999996,509.203125,232.8
119,264.7365140914917,617.2438879999972,509.234375,232.2
120,265.52198219299316,619.0705949999974,509.234375,232.8
121,266.34940791130066,620.9964270000055,509.265625,232.7
122,267.0997631549835,622.7487120000005,509.265625,233.1
123,268.1032061576843,625.0935350000218,509.296875,234.1
124,268.6900131702423,626.4677290000254,509.296875,234.4
125,269.6369950771332,628.6809450000001,509.296875,233.9
126,270.6148121356964,630.9499480000231,509.328125,232.1
127,271.39625215530396,632.7771230000071,509.328125,233.5
128,274.34911918640137,639.6433470000047,509.359375,232.4
129,275.44572401046753,642.2001620000228,511.65625,233.7
130,277.5679430961609,647.1461120000167,511.6875,232.8
131,278.8938150405884,650.2475380000251,511.71875,234.1
132,280.46784710884094,653.9028690000123,511.71875,232.4
133,289.92494201660156,675.9457830000028,511.890625,233.1
134,315.5848469734192,735.7398059999978,512.4375,233.0
135,339.8697919845581,792.3475120000076,512.796875,233.1
136,365.55514907836914,852.1082319999987,513.203125,232.6
137,380.90503120422363,887.8547930000059,513.796875,232.8
138,386.15216088294983,900.0568389999971,513.921875,232.4
139,387.9030969142914,904.1301700000186,513.921875,233.1
140,390.0104420185089,909.0031440000166,513.953125,231.1
141,391.84308910369873,913.2740970000159,513.984375,233.2
142,393.9008889198303,918.0787560000026,514.03125,233.4
143,395.24925994873047,921.2396590000135,514.0625,234.2
144,397.57680916786194,926.6641270000255,514.09375,233.0
145,398.549644947052,928.9370790000248,514.09375,233.7
146,402.9348089694977,939.1336520000186,514.15625,232.6
147,404.0631651878357,941.7680800000089,514.1875,233.1
148,418.7977900505066,976.0686620000051,514.390625,232.8
149,423.48715686798096,987.012910999998,514.5,233.4
150,426.67734694480896,994.4322220000031,514.53125,232.6
151,428.203476190567,997.988422000024,514.5625,233.1
152,429.8060441017151,1001.7068420000141,514.5625,231.9
153,432.6373951435089,1008.3037080000213,514.640625,233.0
154,436.27550315856934,1016.7638080000179,514.671875,232.5
155,456.98654985427856,1064.9947400000237,515.015625,232.9
156,482.6873869895935,1124.858842000016,515.46875,232.9
157,483.57488918304443,1126.9191790000186,515.5,232.0
158,498.5609209537506,1161.783281000011,515.75,232.6
159,516.9319860935211,1204.587949000008,516.015625,233.0
160,542.6170332431793,1264.430269000004,516.421875,233.0
161,564.1411139965057,1314.5719430000172,516.765625,232.9
162,589.7957751750946,1374.3914940000104,517.125,233.2
163,615.5260851383209,1434.2862680000253,517.53125,232.8
164,641.2498788833618,1494.2011080000084,517.9375,232.9
165,666.209724187851,1552.30075200001,518.3125,232.8
166,691.9131469726562,1612.176123000012,518.71875,233.0
167,699.3051080703735,1629.4129390000016,518.828125,233.2
168,704.6684350967407,1641.8865720000176,518.921875,232.5
169,730.2996079921722,1701.4902770000044,519.3125,232.5
170,756.0004110336304,1761.33314100001,519.75,232.9
171,758.7208712100983,1767.6668160000117,519.78125,232.8
172,784.4293401241302,1827.5232650000253,520.1875,232.8
173,785.2867679595947,1829.5112090000184,520.1875,231.9
174,790.7501990795135,1842.230687000003,520.296875,232.8
175,792.2311642169952,1845.6701380000159,520.328125,232.2
176,806.7869999408722,1879.6011780000117,520.53125,233.1
177,832.8039729595184,1939.653890000016,518.703125,230.8
178,841.7977340221405,1960.351260000025,517.078125,230.1
179,845.9323098659515,1969.990748000011,517.703125,233.2
180,871.6032009124756,2029.8273750000226,518.109375,233.1
181,876.9002349376678,2042.2001340000133,518.171875,233.6
182,881.3917920589447,2052.6723070000007,518.25,233.2
183,907.3191661834717,2112.5752070000162,516.515625,231.1
184,913.0118761062622,2125.725009000016,518.25,231.0
185,938.6944968700409,2185.619019000005,518.671875,233.2
186,964.3319909572601,2245.4244670000044,520.28125,233.3
187,979.4716041088104,2280.4204000000027,520.515625,231.1
188,984.8185410499573,2292.5171649999975,488.0,226.2
189,1000.4812841415405,2328.5489890000026,493.96875,230.1
190,1010.0818200111389,2350.866630000004,505.25,232.4
191,1035.5944821834564,2410.6547880000144,507.96875,234.4
192,1039.847501039505,2420.585589000024,508.109375,233.4
193,1051.0216109752655,2446.772100000002,509.203125,234.4
194,1065.2222151756287,2479.59692500002,512.1875,231.1
195,1068.871719121933,2488.089858000021,512.21875,232.8
196,1070.8895990848541,2492.7849520000163,511.390625,232.6
197,1087.569946050644,2531.1328500000236,505.78125,229.9
198,1113.0882301330566,2590.4924480000045,501.3125,232.6
199,1118.5167531967163,2602.892774000007,502.53125,228.5
200,1127.5182099342346,2624.019522000017,505.21875,234.7
201,1131.63751912117,2633.626558000018,505.71875,233.2
202,1157.57497215271,2694.039850000001,509.109375,232.9
203,1168.418781042099,2719.3376060000155,509.390625,233.3
204,1180.985377073288,2748.4592859999975,505.28125,231.7
205,1206.9784631729126,2808.7351130000025,507.71875,231.9
206,1210.7928202152252,2817.6884120000177,507.828125,234.9
207,1216.9395401477814,2832.1250620000064,508.28125,234.8
208,1242.486330986023,2892.0069900000235,512.0625,234.4
209,1247.682028055191,2904.1323410000186,512.421875,233.4
210,1257.4613642692566,2927.001398000022,515.671875,233.8
211,1260.5264348983765,2934.1491780000215,515.734375,233.3
212,1278.732959985733,2976.6971900000062,517.5,233.7
213,1288.924299955368,3000.524075000023,517.671875,233.8
214,1299.0141868591309,3024.0334100000036,517.796875,233.0
215,1302.2138600349426,3031.5197270000062,517.875,234.1
216,1305.9543671607971,3040.263885000022,517.90625,233.7
217,1309.919604063034,3049.5441450000217,517.96875,234.1
218,1317.1444299221039,3066.4188010000216,518.109375,233.6
219,1325.6948719024658,3086.250541000016,512.546875,231.9
220,1351.7671790122986,3146.439107000013,517.765625,230.9
221,1377.5398712158203,3206.293894000002,518.578125,232.2
222,1380.7977719306946,3213.877171,519.0625,232.8
223,1385.3030149936676,3224.435722000024,519.140625,234.3
224,1388.0460720062256,3230.8426780000154,519.203125,233.6
225,1401.7833890914917,3262.965665000025,519.40625,233.8
