episode,timestep,reward,length
1,765,-176.92044,765
2,901,-119.47801,136
3,973,-108.96483,72
4,1044,-101.238815,71
5,3044,-130.93092,2000
6,5044,-156.09511,2000
7,5103,-103.99741,59
8,7103,-144.88266,2000
9,7222,-122.07714,119
10,9222,-153.69176,2000
11,9300,-110.17043,78
12,11300,-143.50401,2000
13,13300,-142.55583,2000
14,13409,-106.24843,109
15,15409,-139.38882,2000
16,15534,-111.43966,125
17,17534,-137.57912,2000
18,17609,-119.87834,75
19,17717,-123.222336,108
20,17785,-112.69787,68
21,17836,-114.89808,51
22,17929,-116.78075,93
23,19929,-137.01517,2000
24,20029,-118.6346,100
25,22029,-141.49559,2000
26,23202,-163.91034,1173
27,23255,-108.02999,53
28,25255,-133.32208,2000
29,26348,-159.25443,1093
30,28348,-120.40487,2000
31,30348,-137.76913,2000
32,30429,-118.96951,81
33,31531,-161.71878,1102
34,33531,-119.315,2000
35,35531,-138.47542,2000
36,37531,-136.58174,2000
37,39287,-207.88818,1756
38,41287,-128.88446,2000
39,43287,-131.86682,2000
40,44494,-171.51146,1207
41,46494,-133.56819,2000
42,46550,-116.05788,56
43,48550,-136.47244,2000
44,49502,-150.2604,952
45,51502,-131.74376,2000
46,53502,-132.10742,2000
47,55502,-140.62683,2000
48,56752,-173.40158,1250
49,58752,-127.88942,2000
50,60195,-190.78754,1443
51,61108,-150.15195,913
52,61184,-114.646965,76
53,63184,-119.48187,2000
54,64019,-143.13031,835
55,66019,-144.81325,2000
56,68019,-143.1669,2000
57,68978,-152.00766,959
58,69700,-135.38821,722
59,71700,-140.79498,2000
60,73700,-133.51772,2000
61,73764,-117.23242,64
62,75764,-140.7097,2000
63,77764,-128.7406,2000
64,78647,-148.33682,883
65,79704,-160.18916,1057
66,81704,-140.61104,2000
67,83704,-120.850044,2000
68,84847,-166.15448,1143
69,85675,-142.59273,828
70,87675,-139.29778,2000
71,89675,-118.13845,2000
72,90810,-165.61594,1135
73,92810,-139.50653,2000
74,92913,-108.44914,103
75,93759,-143.68068,846
76,95759,-140.64313,2000
77,97759,-140.68396,2000
78,99759,-139.9648,2000
79,101295,-198.82755,1536
80,103295,-121.661354,2000
81,105295,-112.14414,2000
82,105343,-111.143616,48
83,107343,-125.70904,2000
84,108330,-154.45886,987
85,109146,-141.8565,816
86,110035,-148.36859,889
87,112035,-139.0031,2000
88,112757,-133.54562,722
89,114757,-141.17792,2000
90,116757,-138.04501,2000
91,117598,-141.84154,841
92,119598,-105.39963,2000
93,121598,-139.26656,2000
94,123598,-139.61734,2000
95,124393,-139.16281,795
96,126393,-138.51785,2000
97,128393,-103.664314,2000
98,130393,-140.53659,2000
99,131031,-127.78165,638
100,133031,-115.212,2000
101,135031,-111.53663,2000
102,137031,-125.23196,2000
103,139031,-141.04185,2000
104,141031,-118.687935,2000
105,143031,-141.96933,2000
106,143596,-123.28447,565
107,145596,-95.19602,2000
108,146172,-124.651505,576
109,148172,-123.926834,2000
110,150172,-141.54121,2000
111,150831,-129.08212,659
112,151723,-147.6305,892
113,152531,-140.56953,808
114,154531,-97.415535,2000
115,155258,-133.62317,727
116,157258,-122.674904,2000
117,159258,-140.43506,2000
118,159986,-134.81763,728
119,160775,-138.36755,789
120,161340,-120.6012,565
121,161998,-127.44639,658
122,162059,-109.80456,61
123,164059,-101.25602,2000
124,166059,-139.05069,2000
125,168059,-99.477325,2000
126,169048,-154.8156,989
127,169104,-118.98451,56
128,170078,-161.82237,974
129,170327,-116.63252,249
130,171235,-147.41357,908
131,171923,-131.55637,688
132,172580,-128.2504,657
133,174580,-139.62584,2000
134,175338,-135.22163,758
135,177338,-142.88797,2000
136,179338,-124.96319,2000
137,181338,-120.141075,2000
138,182115,-138.09227,777
139,184115,-104.27496,2000
140,186115,-100.291756,2000
141,187710,-209.81128,1595
142,187752,-114.59172,42
143,188486,-134.30356,734
144,190486,-109.20196,2000
145,191066,-123.753395,580
146,191749,-129.76854,683
147,193749,-140.06828,2000
148,194352,-124.49353,603
149,194403,-112.69452,51
150,194567,-109.11832,164
151,196005,-201.42026,1438
152,196073,-106.59058,68
153,198073,-146.97334,2000
154,200073,-136.88495,2000
155,200830,-135.495,757
156,202830,-140.80054,2000
157,203522,-130.8851,692
158,205522,-106.61456,2000
159,207522,-138.84354,2000
160,209522,-123.20151,2000
161,211522,-130.98753,2000
162,213522,-141.78677,2000
163,215522,-143.18483,2000
164,217522,-142.24805,2000
165,219522,-142.15927,2000
166,221522,-140.75597,2000
167,223522,-138.9509,2000
168,224203,-130.0612,681
169,224936,-135.82071,733
170,225538,-125.28231,602
171,226388,-144.01656,850
172,228388,-169.3016,2000
173,230388,-108.93879,2000
174,232388,-142.64893,2000
175,233139,-135.33064,751
176,235139,-119.924446,2000
