episode,timestep,reward,length
1,151,-99.73452234162669,151
2,337,-99.77410068270126,186
3,430,-93.81253380132263,93
4,537,-92.21408950897597,107
5,711,-99.73001912079032,174
6,772,-110.33889996445822,61
7,885,-92.34213578275173,113
8,2885,-18.11782208666988,2000
9,2987,-111.94098700658759,102
10,3055,-110.5922127303426,68
11,3190,-91.76175160053785,135
12,5190,-19.651725378961242,2000
13,5297,-92.65251566551215,107
14,5405,-100.40320801346535,108
15,5478,-111.30074214541845,73
16,5586,-92.10954252132115,108
17,5693,-93.49399277821226,107
18,5857,-91.63301394161336,164
19,5997,-120.36599431115415,140
20,6122,-92.03677530985861,125
21,8122,-27.544850870266377,2000
22,8217,-92.63194023244557,95
23,8319,-93.12909081932314,102
24,8421,-93.0594517685241,102
25,8526,-93.27327361618018,105
26,8598,-97.465823251483,72
27,8704,-92.80644599297248,106
28,8811,-92.70546880707066,107
29,8911,-94.10629865437969,100
30,8985,-117.7921569942261,74
31,9098,-93.01548169426165,113
32,9169,-110.94642626197545,71
33,9260,-94.81725053352841,91
34,9367,-93.26602900280349,107
35,9470,-93.02087365257334,103
36,9575,-92.87421638047059,105
37,9653,-95.4462257076202,78
38,9758,-92.96313822407238,105
39,9860,-94.2120289583359,102
40,9961,-93.00375957288092,101
41,10064,-93.63297462383937,103
42,10156,-118.09608458560115,92
43,12156,-13.465864968913527,2000
44,12259,-93.28140071393719,103
45,12349,-93.80318396863068,90
46,14349,-14.114949952501712,2000
47,14454,-93.62789140478866,105
48,16454,-22.032214292789497,2000
49,16560,-112.5249056568307,106
50,16660,-94.94380780384687,100
51,16777,-100.7279396149992,117
52,16846,-97.08130449217508,69
53,16938,-112.30202989843472,92
54,17024,-111.74281047027988,86
55,17170,-101.84761123306386,146
56,17239,-111.22332632156007,69
57,17322,-94.68389817763268,83
58,17411,-118.42661034795495,89
59,19411,-38.73902330984782,2000
60,21411,-24.128194328383078,2000
61,21508,-93.68936858718659,97
62,21619,-94.86422422027093,111
63,21790,-102.85308535821055,171
64,21853,-96.64704819769965,63
65,21925,-117.13642241096076,72
66,22066,-120.96220762679845,141
67,22164,-91.72590635515347,98
68,24164,-22.26287632365263,2000
69,26164,-20.32662080944191,2000
70,26295,-92.37884548203617,131
71,28295,-12.296275277139038,2000
72,28355,-99.2785423986332,60
73,28469,-92.88594901969918,114
74,28593,-100.13559672119347,124
75,28657,-95.14810071277734,64
76,28743,-113.59049594482022,86
77,28849,-93.52389587581688,106
78,28946,-98.76991346455027,97
79,30946,-23.34884820858976,2000
80,31070,-95.97219800545591,124
81,31210,-94.33027327366442,140
82,33210,-13.903519928832555,2000
83,33318,-118.82318649409383,108
84,33413,-99.49102884265618,95
85,33579,-117.07546949904754,166
86,33693,-93.06089272186547,114
87,33794,-93.99971136470575,101
88,33893,-92.91902062364031,99
89,35893,-34.265458437915385,2000
90,37893,-30.874010153267488,2000
91,37991,-92.58589078682267,98
92,39991,-8.337005284986967,2000
93,40093,-98.7052689744431,102
94,40224,-119.11323768592524,131
95,40339,-93.02695579113367,115
96,40433,-93.66761371760838,94
97,40535,-117.43252390320923,102
98,42535,-35.396740464039816,2000
99,42669,-99.03271243185715,134
100,44669,-13.765437048740607,2000
101,46669,-34.192893981501285,2000
102,46755,-118.2729635920751,86
103,46854,-116.0393365421402,99
104,46963,-101.68468820910584,109
105,48963,-27.612355728809263,2000
106,49069,-119.72700128206603,106
107,51069,-21.7749424101063,2000
108,53069,-21.433092346835664,2000
109,53166,-123.33990211934443,97
110,55166,-44.186787380343546,2000
111,55256,-95.45463807494927,90
112,57256,-14.965981223392685,2000
113,59256,-28.30939410950203,2000
114,61256,-38.19503104678301,2000
115,61364,-118.62782091688828,108
116,61469,-101.79597497754668,105
117,63469,-27.862818577954748,2000
118,65469,-11.247874224631383,2000
119,65542,-112.19452091787848,73
120,65651,-103.06318169565166,109
121,65817,-100.91667867558519,166
122,65942,-116.42106862502999,125
123,67942,-33.58100675002858,2000
124,69942,-28.215544391798865,2000
125,71942,-41.475602949214604,2000
126,73942,-47.97164201764303,2000
127,75942,-7.874534748860304,2000
128,76089,-86.51832756837896,147
129,78089,-29.129004264534437,2000
130,80089,-18.350490386157905,2000
131,82089,-37.35280579285379,2000
132,84089,-13.245265013529732,2000
133,86089,-9.60098613446822,2000
134,88089,-46.03853758410988,2000
135,88221,-93.80660812118725,132
136,90221,-34.25284896744684,2000
137,92221,-28.136538983029002,2000
138,94221,-20.21761048011402,2000
139,96221,-16.80620731265381,2000
140,98221,-12.623033257493821,2000
141,98387,-99.74370341725316,166
142,98507,-100.61417524918876,120
143,98628,-95.45191859902903,121
144,98696,-98.94065719028394,68
145,98864,-99.06311149698631,168
146,100864,-31.794128109505262,2000
147,100932,-114.49652751188536,68
148,102932,-27.892704014427125,2000
149,103002,-111.36598115992953,70
150,105002,-38.26927798496642,2000
151,107002,-43.449452201841964,2000
152,107111,-99.8715081575162,109
153,109111,-72.90534245720751,2000
154,111111,-37.845084399147844,2000
155,111177,-111.74236947633426,66
156,113177,-16.557956437835024,2000
157,115177,-42.03061007432327,2000
158,117177,-17.63745387539119,2000
