episode,timestep,reward,length
1,121,-119.18345242700983,121
2,239,-91.51614718950484,118
3,374,-100.36413440734951,135
4,476,-92.50595696877618,102
5,580,-111.54029133544029,104
6,680,-93.41014228373882,100
7,802,-92.2845374497727,122
8,895,-92.61373938987418,93
9,2895,-5.5107680572221085,2000
10,4895,-7.16952914898863,2000
11,5023,-99.88941326582925,128
12,5109,-111.65119490343257,86
13,5200,-93.44335490635953,91
14,5360,-112.48049139541436,160
15,5481,-91.94786175758047,121
16,5583,-92.90739062480598,102
17,5691,-92.8718171869989,108
18,5822,-92.59740179435013,131
19,5920,-92.59154259169338,98
20,6022,-92.68003348956275,102
21,6130,-91.77153485283775,108
22,8130,-13.244254911016675,2000
23,8238,-91.80364298734364,108
24,8353,-116.66836167953106,115
25,8459,-91.61954044602588,106
26,8557,-92.63031354152852,98
27,8663,-91.73687437120455,106
28,8766,-92.4380522253996,103
29,8868,-92.1448870372664,102
30,8989,-92.50759509499198,121
31,9080,-92.70130957147143,91
32,9208,-111.775625102771,128
33,9343,-117.70604123759352,135
34,9513,-112.3713221559498,170
35,9623,-92.09091842536756,110
36,11623,-9.602037737560606,2000
37,13623,-13.12168991188374,2000
38,13714,-94.96110118680471,91
39,13821,-92.37518134312869,107
40,13953,-99.84842552163677,132
41,14062,-91.89227813528342,109
42,14168,-118.47871354926983,106
43,14337,-90.97731955702316,169
44,14465,-92.3395705663641,128
45,16465,-14.55078921966689,2000
46,16605,-91.60163803637623,140
47,18605,-11.597664792839343,2000
48,20605,-19.251532594881166,2000
49,20756,-99.67126676140172,151
50,20867,-92.75775430980624,111
51,20962,-92.97086927547747,95
52,21058,-92.71497103136674,96
53,21207,-100.28927182589179,149
54,21316,-91.67955260257132,109
55,23316,-7.443978040276087,2000
56,23427,-91.91097301222446,111
57,23527,-92.77970565381027,100
58,23637,-92.87306919582426,110
59,25637,-16.069263987559335,2000
60,25744,-91.96291675027935,107
61,25862,-116.26088254544351,118
62,25970,-92.26796727119009,108
63,26080,-92.25172389535061,110
64,26162,-93.58612859253344,82
65,26305,-112.50608934953785,143
66,26445,-92.47756661223784,140
67,26550,-92.16758716034586,105
68,26654,-92.27416428701412,104
69,26769,-91.76546660191812,115
70,26882,-91.93526988825244,113
71,26973,-118.2406211033811,91
72,27077,-92.01525383372379,104
73,27188,-91.87738225740695,111
74,27259,-111.33303394471791,71
75,27359,-92.24893333313736,100
76,27471,-92.59309804261822,112
77,29471,-25.03940474945225,2000
78,29617,-100.14686416039142,146
79,31617,-10.185751760422143,2000
80,31711,-92.5748146934049,94
81,33711,-16.3217094149663,2000
82,33801,-93.22510263213586,90
83,33878,-111.62363773505801,77
84,33984,-111.38040148718693,106
85,34086,-119.916394570898,102
86,36086,-10.249350351512408,2000
87,38086,-9.500740759570224,2000
88,40086,-12.45564422384206,2000
89,40197,-92.34023153276449,111
90,40271,-94.73539064634704,74
91,42271,-23.51287576401568,2000
92,42378,-92.27512870421259,107
93,44378,-29.889816049768218,2000
94,44492,-111.69192373520642,114
95,44570,-111.71148944854323,78
96,46570,-5.71151404742947,2000
97,46680,-93.14989506683703,110
98,46850,-100.31525113035119,170
99,46950,-92.81953987409308,100
100,47055,-92.18538155597861,105
101,47157,-93.09484923291319,102
102,49157,-13.855776002603646,2000
103,49259,-92.70971736858091,102
104,49462,-112.7762814537444,203
105,49579,-92.45064799564035,117
106,49667,-93.00890506207222,88
107,49737,-111.22337580561816,70
108,51737,-20.796497731083196,2000
109,51810,-111.26186715399565,73
110,51927,-92.99623984765509,117
111,52039,-92.7469254027591,112
112,52120,-111.47849551203016,81
113,52256,-112.51004506600715,136
114,52348,-92.8108553346411,92
115,52499,-100.00065996539618,151
116,52606,-92.63601079964059,107
117,52681,-111.15866799966199,75
118,54681,-10.337630395998216,2000
119,56681,-24.77966790551499,2000
120,58681,-15.298335716342185,2000
121,58743,-111.05034741296367,62
122,60743,-9.51000840254964,2000
123,60823,-111.37105555510765,80
124,60942,-112.03065658928968,119
125,61073,-92.91913092914298,131
126,61177,-92.13423181822694,104
127,61338,-112.28464816569867,161
128,61520,-99.92492112132717,182
129,61623,-92.41612059257645,103
130,61696,-111.31027360271649,73
131,61951,-113.87770454120363,255
132,62013,-110.89014217253495,62
133,62102,-111.56050386538193,89
134,64102,-19.193905887556685,2000
135,66102,-10.001112172893023,2000
136,68102,-24.895895556457763,2000
137,68192,-93.04591081297082,90
138,68307,-91.77666961000533,115
139,68416,-91.86107127910108,109
140,68508,-111.77676725362338,92
141,68628,-91.91605626687073,120
142,68694,-110.98760132043117,66
143,68799,-119.3537248587117,105
144,70799,-19.370509155140333,2000
145,70900,-91.88534235233234,101
146,71005,-92.05926105767051,105
147,73005,-14.196401151988812,2000
148,75005,-12.403814756195214,2000
149,75103,-92.88603281638629,98
150,75239,-119.20364566486575,136
151,75374,-112.34278388461686,135
152,77374,-19.874008239599465,2000
153,77480,-92.42329013998271,106
154,79480,-6.269614568856142,2000
155,79595,-92.31065188243161,115
156,81595,-19.804535586998846,2000
157,83595,-11.581459740023476,2000
158,83698,-92.68464915374877,103
159,83831,-111.82831977062308,133
160,83917,-111.69468440118598,86
161,84049,-92.74746318089767,132
162,84156,-121.23811805789818,107
163,86156,-15.58958125600661,2000
164,86269,-112.2228781307366,113
165,86372,-92.0722861502058,103
166,86473,-92.50826987127866,101
167,86597,-92.29183458795079,124
168,88597,-10.663102265432816,2000
169,88702,-92.14994675285497,105
170,88805,-92.61323018056795,103
171,88974,-123.46751688441893,169
172,89096,-92.88363690486212,122
173,89224,-122.60155657131695,128
174,89370,-118.32938427491592,146
175,91370,-25.559482317657555,2000
176,91485,-91.97528110225122,115
177,91607,-99.63793012479826,122
178,93607,-14.59762233941106,2000
179,93704,-92.69628568425236,97
180,93802,-91.98675034293827,98
181,95802,-12.385533329895111,2000
182,95907,-92.16857897740297,105
183,97907,-13.823223480769842,2000
184,98013,-92.42389347558188,106
185,98123,-92.33903272269156,110
186,100123,-20.979735956080084,2000
187,102123,-23.96040438756804,2000
188,102204,-111.41227171485785,81
189,104204,-17.88570609571064,2000
190,106204,-20.03453426757148,2000
191,108204,-19.382415994060743,2000
192,110204,-9.78027903378852,2000
193,110354,-112.12798207798262,150
194,112354,-13.80178177281805,2000
195,112454,-92.3792130891832,100
196,114454,-30.244855412489716,2000
197,114535,-93.81645401884948,81
198,114593,-110.36773066807943,58
199,116593,-24.788292410274348,2000
200,116707,-111.89145280891789,114
201,116763,-110.10413195321317,56
202,118763,-23.045194804090745,2000
203,120763,-14.23729506377256,2000
204,120971,-112.9653497240009,208
205,121078,-91.91554538899678,107
206,123078,-1.413242295607153,2000
207,123216,-99.68548044695324,138
208,123310,-92.28399135449318,94
209,123422,-92.13834735328008,112
210,123523,-112.28313501410005,101
