episode,timestep,reward,length
1,1000,-358.54187,1000
2,2000,-524.4319,1000
3,3000,-363.2868,1000
4,4000,-444.8977,1000
5,5000,-351.70682,1000
6,6000,-429.4232,1000
7,7000,-543.9318,1000
8,8000,-432.21338,1000
9,9000,-498.90854,1000
10,10000,-260.98093,1000
11,11000,-345.63165,1000
12,12000,-257.0927,1000
13,13000,-252.66449,1000
14,14000,-322.42874,1000
15,15000,-446.8745,1000
16,16000,-439.3313,1000
17,17000,-295.307,1000
18,18000,-380.55304,1000
19,19000,-199.53268,1000
20,20000,-58.196854,1000
21,21000,-101.48386,1000
22,22000,-40.12545,1000
23,23000,-216.67215,1000
24,24000,-289.56577,1000
25,25000,-227.03163,1000
26,26000,-153.66383,1000
27,27000,-273.44556,1000
28,28000,-176.29704,1000
29,29000,-70.92539,1000
30,30000,-35.663975,1000
31,31000,-70.39488,1000
32,32000,30.009298,1000
33,33000,142.6862,1000
34,34000,11.543225,1000
35,35000,192.07883,1000
36,36000,77.539505,1000
37,37000,-105.890854,1000
38,38000,-6.251191,1000
39,39000,116.48753,1000
40,40000,112.92635,1000
41,41000,278.53143,1000
42,42000,296.9709,1000
43,43000,280.37207,1000
44,44000,-550.5403,1000
45,45000,353.2619,1000
46,46000,305.4208,1000
47,47000,42.415154,1000
48,48000,461.8193,1000
49,49000,150.19193,1000
50,50000,341.5676,1000
51,51000,457.80667,1000
52,52000,235.59276,1000
53,53000,414.6768,1000
54,54000,489.46887,1000
55,55000,493.89008,1000
56,56000,517.84155,1000
57,57000,638.9769,1000
58,58000,740.3611,1000
59,59000,708.3019,1000
60,60000,586.42456,1000
61,61000,429.57846,1000
62,62000,91.62149,1000
63,63000,664.8224,1000
64,64000,542.4068,1000
65,65000,235.59312,1000
66,66000,129.59583,1000
67,67000,404.23788,1000
68,68000,371.46033,1000
69,69000,798.8344,1000
70,70000,-28.924946,1000
71,71000,-112.20324,1000
72,72000,518.11945,1000
73,73000,571.7776,1000
74,74000,668.7292,1000
75,75000,-435.83966,1000
76,76000,80.69937,1000
77,77000,395.81732,1000
78,78000,-373.99066,1000
79,79000,-32.546658,1000
80,80000,300.74683,1000
81,81000,810.05237,1000
82,82000,-241.71924,1000
83,83000,653.95276,1000
84,84000,587.69965,1000
85,85000,337.2043,1000
86,86000,818.24194,1000
87,87000,591.3667,1000
88,88000,874.08344,1000
89,89000,-77.86696,1000
90,90000,-163.50723,1000
91,91000,303.62787,1000
92,92000,488.82504,1000
93,93000,-819.7098,1000
94,94000,492.2537,1000
95,95000,442.3846,1000
96,96000,189.34799,1000
97,97000,523.83655,1000
98,98000,134.82654,1000
99,99000,524.6004,1000
100,100000,516.83716,1000
101,101000,685.79346,1000
102,102000,297.01215,1000
103,103000,354.1968,1000
104,104000,663.3429,1000
105,105000,750.84607,1000
106,106000,216.31998,1000
107,107000,277.88202,1000
108,108000,824.43225,1000
109,109000,615.25507,1000
110,110000,487.9986,1000
111,111000,264.98196,1000
112,112000,550.0149,1000
113,113000,470.0586,1000
114,114000,492.1921,1000
115,115000,526.333,1000
116,116000,745.77057,1000
117,117000,285.978,1000
118,118000,519.29144,1000
119,119000,164.15137,1000
120,120000,-305.5273,1000
121,121000,488.79187,1000
122,122000,471.19763,1000
123,123000,55.52973,1000
124,124000,-218.75404,1000
125,125000,247.45314,1000
126,126000,62.183746,1000
127,127000,-145.79358,1000
128,128000,132.50998,1000
129,129000,237.85803,1000
130,130000,343.52676,1000
131,131000,118.64957,1000
132,132000,476.2977,1000
133,133000,857.77795,1000
134,134000,524.85016,1000
135,135000,-60.82141,1000
136,136000,-400.88275,1000
137,137000,-193.78105,1000
138,138000,16.28123,1000
139,139000,130.75685,1000
140,140000,400.12195,1000
141,141000,-604.8492,1000
142,142000,800.1591,1000
143,143000,787.8497,1000
144,144000,76.34549,1000
145,145000,738.6208,1000
146,146000,-387.95828,1000
147,147000,596.03564,1000
148,148000,-99.708176,1000
149,149000,167.1882,1000
150,150000,87.71476,1000
151,151000,-598.85406,1000
152,152000,-403.8924,1000
153,153000,-839.0758,1000
154,154000,-350.0903,1000
155,155000,202.2616,1000
156,156000,670.145,1000
157,157000,-640.56067,1000
158,158000,453.99506,1000
159,159000,520.4832,1000
160,160000,762.6737,1000
161,161000,177.39343,1000
162,162000,825.3497,1000
163,163000,697.5564,1000
164,164000,797.18463,1000
165,165000,34.84638,1000
166,166000,621.1706,1000
167,167000,261.94235,1000
168,168000,593.5248,1000
169,169000,834.55835,1000
170,170000,804.64954,1000
171,171000,310.92313,1000
172,172000,757.9368,1000
173,173000,815.11816,1000
174,174000,297.80045,1000
175,175000,879.2988,1000
176,176000,347.50055,1000
177,177000,916.6246,1000
178,178000,663.9093,1000
179,179000,721.95984,1000
180,180000,600.8242,1000
181,181000,725.0293,1000
182,182000,138.54855,1000
183,183000,529.4867,1000
184,184000,691.47296,1000
185,185000,266.42615,1000
186,186000,-507.97565,1000
187,187000,-397.32602,1000
188,188000,905.459,1000
189,189000,751.154,1000
190,190000,805.4215,1000
191,191000,551.4994,1000
192,192000,545.1513,1000
193,193000,396.10126,1000
194,194000,620.08734,1000
195,195000,507.55902,1000
196,196000,-40.21904,1000
197,197000,945.0777,1000
198,198000,53.910194,1000
199,199000,101.880684,1000
200,200000,598.18695,1000
201,201000,489.35056,1000
202,202000,596.78845,1000
203,203000,423.664,1000
204,204000,92.11164,1000
205,205000,218.69052,1000
206,206000,-7.7761035,1000
207,207000,459.3035,1000
208,208000,-106.93774,1000
209,209000,548.0553,1000
210,210000,258.60495,1000
211,211000,709.4419,1000
212,212000,840.9535,1000
213,213000,899.14874,1000
214,214000,-493.83868,1000
215,215000,-886.4929,1000
216,216000,926.54114,1000
217,217000,274.7821,1000
218,218000,-472.6323,1000
219,219000,323.10147,1000
220,220000,909.14716,1000
221,221000,516.0368,1000
222,222000,450.92758,1000
223,223000,796.7521,1000
224,224000,279.74042,1000
225,225000,745.5136,1000
226,226000,964.02496,1000
227,227000,705.5633,1000
228,228000,397.7912,1000
229,229000,155.89342,1000
230,230000,704.0493,1000
231,231000,593.7298,1000
232,232000,534.20276,1000
233,233000,799.033,1000
234,234000,517.85455,1000
235,235000,1219.4738,1000
236,236000,789.9923,1000
237,237000,711.0756,1000
238,238000,518.61694,1000
239,239000,-578.824,1000
240,240000,804.07227,1000
241,241000,410.26825,1000
242,242000,20.569752,1000
243,243000,119.315475,1000
244,244000,-151.8157,1000
245,245000,-762.179,1000
246,246000,550.8652,1000
247,247000,330.7226,1000
248,248000,-420.11124,1000
249,249000,402.36337,1000
250,250000,781.65967,1000
251,251000,649.1141,1000
252,252000,732.8991,1000
253,253000,531.1519,1000
254,254000,-192.31053,1000
255,255000,408.3898,1000
256,256000,820.82446,1000
257,257000,84.303024,1000
258,258000,-33.225166,1000
259,259000,148.51057,1000
260,260000,335.5903,1000
261,261000,665.64124,1000
262,262000,1115.5258,1000
263,263000,731.7355,1000
264,264000,1332.6139,1000
265,265000,1331.4844,1000
266,266000,1200.88,1000
267,267000,622.0152,1000
268,268000,599.2729,1000
