episode,timestep,reward,length
1,1000,-277.53442,1000
2,2000,-377.99774,1000
3,3000,-333.28232,1000
4,4000,-393.93707,1000
5,5000,-390.3109,1000
6,6000,-425.08582,1000
7,7000,-381.55258,1000
8,8000,-171.13905,1000
9,9000,-393.1612,1000
10,10000,-329.288,1000
11,11000,-266.68524,1000
12,12000,-374.4463,1000
13,13000,-157.05966,1000
14,14000,-198.737,1000
15,15000,-114.236824,1000
16,16000,-313.1731,1000
17,17000,-218.69896,1000
18,18000,-264.46603,1000
19,19000,-298.03442,1000
20,20000,-190.11055,1000
21,21000,-173.3077,1000
22,22000,-357.5253,1000
23,23000,-377.36752,1000
24,24000,-278.15448,1000
25,25000,-217.40688,1000
26,26000,-204.11708,1000
27,27000,-239.94371,1000
28,28000,-191.40439,1000
29,29000,-23.34742,1000
30,30000,-32.98809,1000
31,31000,46.040466,1000
32,32000,97.782135,1000
33,33000,217.90915,1000
34,34000,223.24835,1000
35,35000,379.34882,1000
36,36000,39.786224,1000
37,37000,-207.15274,1000
38,38000,-276.76785,1000
39,39000,29.325768,1000
40,40000,40.92795,1000
41,41000,-125.22532,1000
42,42000,-24.991383,1000
43,43000,106.146576,1000
44,44000,-91.69072,1000
45,45000,106.12659,1000
46,46000,201.7427,1000
47,47000,132.53046,1000
48,48000,185.18472,1000
49,49000,166.11075,1000
50,50000,143.56227,1000
51,51000,205.02515,1000
52,52000,24.73508,1000
53,53000,209.0908,1000
54,54000,254.05005,1000
55,55000,513.1365,1000
56,56000,532.4108,1000
57,57000,817.5867,1000
58,58000,377.74884,1000
59,59000,514.3281,1000
60,60000,518.75507,1000
61,61000,360.23862,1000
62,62000,285.85077,1000
63,63000,556.40784,1000
64,64000,499.51474,1000
65,65000,608.1696,1000
66,66000,412.80865,1000
67,67000,720.5996,1000
68,68000,469.455,1000
69,69000,678.7402,1000
70,70000,240.30048,1000
71,71000,371.55292,1000
72,72000,185.87057,1000
73,73000,145.54007,1000
74,74000,276.79913,1000
75,75000,87.650986,1000
76,76000,21.294863,1000
77,77000,-93.17469,1000
78,78000,-100.61132,1000
79,79000,191.88849,1000
80,80000,-54.761875,1000
81,81000,260.52213,1000
82,82000,413.31177,1000
83,83000,320.32617,1000
84,84000,233.32318,1000
85,85000,-284.8089,1000
86,86000,464.08295,1000
87,87000,-30.22072,1000
88,88000,81.56075,1000
89,89000,377.49008,1000
90,90000,378.52127,1000
91,91000,642.29175,1000
92,92000,533.4065,1000
93,93000,297.25253,1000
94,94000,-35.79105,1000
95,95000,470.54367,1000
96,96000,569.43066,1000
97,97000,292.70856,1000
98,98000,667.1067,1000
99,99000,211.5117,1000
100,100000,213.58075,1000
101,101000,591.2181,1000
102,102000,636.13214,1000
103,103000,692.59796,1000
104,104000,511.93628,1000
105,105000,-211.5916,1000
106,106000,432.88132,1000
107,107000,550.3098,1000
108,108000,331.2015,1000
109,109000,277.0986,1000
110,110000,546.61066,1000
111,111000,117.39912,1000
112,112000,664.57935,1000
113,113000,470.07797,1000
114,114000,151.78163,1000
115,115000,682.72614,1000
116,116000,714.2968,1000
117,117000,573.52136,1000
118,118000,367.18103,1000
119,119000,206.58968,1000
120,120000,-543.5761,1000
121,121000,642.60925,1000
122,122000,628.63934,1000
123,123000,746.20166,1000
124,124000,-89.88475,1000
125,125000,187.57608,1000
126,126000,379.1602,1000
127,127000,684.6998,1000
128,128000,740.9556,1000
129,129000,557.15045,1000
130,130000,825.4072,1000
131,131000,494.05295,1000
132,132000,-0.42892912,1000
133,133000,101.75622,1000
134,134000,745.17316,1000
135,135000,105.14124,1000
136,136000,511.86032,1000
137,137000,610.71533,1000
138,138000,860.94745,1000
139,139000,87.48059,1000
140,140000,809.9322,1000
141,141000,818.73016,1000
142,142000,847.2333,1000
143,143000,847.0116,1000
144,144000,-230.73473,1000
145,145000,-87.16212,1000
146,146000,322.5098,1000
147,147000,754.05914,1000
148,148000,517.6595,1000
149,149000,680.15643,1000
150,150000,369.64127,1000
151,151000,582.8401,1000
152,152000,765.05237,1000
153,153000,637.2877,1000
154,154000,566.0157,1000
155,155000,435.26166,1000
156,156000,584.2539,1000
157,157000,733.45435,1000
158,158000,811.3334,1000
159,159000,1015.25696,1000
160,160000,849.44855,1000
161,161000,744.17773,1000
162,162000,444.15378,1000
163,163000,742.60785,1000
164,164000,862.3267,1000
165,165000,102.715904,1000
166,166000,535.8401,1000
167,167000,642.0192,1000
168,168000,738.47577,1000
169,169000,495.10986,1000
170,170000,882.36255,1000
171,171000,908.05304,1000
172,172000,733.00275,1000
173,173000,778.5208,1000
174,174000,274.3359,1000
175,175000,480.8737,1000
176,176000,608.19635,1000
177,177000,-811.93976,1000
178,178000,678.3229,1000
179,179000,515.2876,1000
180,180000,-275.89883,1000
181,181000,308.08853,1000
182,182000,171.50858,1000
183,183000,725.4056,1000
184,184000,-584.9575,1000
185,185000,-214.5004,1000
186,186000,-796.5808,1000
187,187000,-488.50702,1000
188,188000,204.73685,1000
189,189000,373.6823,1000
