episode,timestep,reward,length
1,1000,-1.8433621589961555,1000
2,2000,-2.1713360155712556,1000
3,3000,-2.7310883324733872,1000
4,4000,-0.4698568382016263,1000
5,5000,-1.0785040483273007,1000
6,6000,-3.372210576332889,1000
7,7000,-6.524700163684044,1000
8,8000,-2.1408780990174696,1000
9,9000,-1.051008764996112,1000
10,10000,-1.6952032696167256,1000
11,11000,-1.4787700292197772,1000
12,12000,-0.6552237729315182,1000
13,13000,-2.0594553328790806,1000
14,14000,-1.9720339876957889,1000
15,15000,0.18190038714941803,1000
16,16000,-2.3741255737482625,1000
17,17000,-2.1158096136095184,1000
18,18000,-0.7542251057991999,1000
19,19000,-1.4241414796933178,1000
20,20000,-1.6082657653132588,1000
21,21000,-3.293740292941026,1000
22,22000,-1.7677023277112793,1000
23,23000,-2.2544174504454384,1000
24,24000,-4.564210207919364,1000
25,25000,-2.955354617580821,1000
26,26000,-1.8816821534972887,1000
27,27000,-2.257697347768448,1000
28,28000,-3.167392599344224,1000
29,29000,-2.01377981533931,1000
30,30000,-4.564024573907252,1000
31,31000,-3.4310888784734295,1000
32,32000,-5.498172085586638,1000
33,33000,-3.0059377384248687,1000
34,34000,-2.2501238256258285,1000
35,35000,-2.221835871007968,1000
36,36000,-4.823461894383269,1000
37,37000,-8.149360765226454,1000
38,38000,-9.215667094592837,1000
39,39000,-11.65104130639785,1000
40,40000,-5.226457015720736,1000
41,41000,-3.697514963587641,1000
42,42000,-6.873960146877001,1000
43,43000,-144.77952703078083,1000
44,44000,-8.545385780239833,1000
45,45000,-6.342257629057541,1000
46,46000,-3.5553972550228794,1000
47,47000,-4.576420578991774,1000
48,48000,-2.358414617781829,1000
49,49000,-4.702632771253408,1000
50,50000,-15.483054032237016,1000
51,51000,-6.084597261811177,1000
52,52000,-8.1331618174152,1000
53,53000,46.651935421402975,1000
54,54000,-11.629756950904648,1000
55,55000,-10.318120124770843,1000
56,56000,15.444259913697342,1000
57,57000,213.12615059542955,1000
58,58000,-104.82128207425914,1000
59,59000,63.43415287167032,1000
60,60000,-54.77404733650412,1000
61,61000,-40.50543220039245,1000
62,62000,276.93001411983846,1000
63,63000,-5.4894088314149805,1000
64,64000,-104.57267360847766,1000
65,65000,118.36958213979335,1000
66,66000,144.28615649838943,1000
67,67000,-702.9463485997238,1000
68,68000,26.864596547537644,1000
69,69000,392.6018729922068,1000
70,70000,-4.56747899126246,1000
71,71000,-5.913058601334151,1000
72,72000,-4.380011580301573,1000
73,73000,-244.6133493538732,1000
74,74000,-33.597816739133194,1000
75,75000,758.4579172877255,1000
76,76000,-71.16167776357327,1000
77,77000,624.0369196159559,1000
78,78000,-188.62501185605421,1000
79,79000,749.7195691043879,1000
80,80000,-260.5038998881584,1000
81,81000,-160.04797519647406,1000
82,82000,-314.9833672143285,1000
83,83000,1079.5558068405992,1000
84,84000,404.1519362780898,1000
85,85000,21.66234343808554,1000
86,86000,-53.25016976402043,1000
87,87000,395.1116208199888,1000
88,88000,89.5629797316404,1000
89,89000,758.9523638148646,1000
90,90000,286.0606439716386,1000
91,91000,811.6784715601328,1000
92,92000,-145.51567227656003,1000
93,93000,-37.8242731823738,1000
94,94000,877.4294103103863,1000
