episode,timestep,reward,length
1,1000,-503.4888,1000
2,2000,-558.2699,1000
3,3000,-482.61563,1000
4,4000,-483.92877,1000
5,5000,-253.74036,1000
6,6000,-327.88116,1000
7,7000,-518.86725,1000
8,8000,-745.4306,1000
9,9000,-418.98007,1000
10,10000,-366.18903,1000
11,11000,-402.9047,1000
12,12000,-189.6655,1000
13,13000,-411.38757,1000
14,14000,-279.10458,1000
15,15000,10.911705,1000
16,16000,-349.12427,1000
17,17000,-17.146513,1000
18,18000,97.706314,1000
19,19000,-103.223885,1000
20,20000,-297.4802,1000
21,21000,-355.37534,1000
22,22000,23.95421,1000
23,23000,5.6174364,1000
24,24000,122.36041,1000
25,25000,-305.95502,1000
26,26000,-495.22754,1000
27,27000,642.53973,1000
28,28000,313.99902,1000
29,29000,-438.73587,1000
30,30000,346.40668,1000
31,31000,328.6668,1000
32,32000,602.6875,1000
33,33000,403.38727,1000
34,34000,746.69617,1000
35,35000,981.7005,1000
36,36000,699.88495,1000
37,37000,644.08527,1000
38,38000,680.9294,1000
39,39000,1108.9943,1000
40,40000,1085.1594,1000
41,41000,743.01526,1000
42,42000,379.40973,1000
43,43000,1255.4038,1000
44,44000,746.42303,1000
45,45000,1687.0654,1000
46,46000,1843.8032,1000
47,47000,1590.3323,1000
48,48000,1738.7327,1000
49,49000,1921.5997,1000
50,50000,1952.3445,1000
51,51000,1826.4393,1000
52,52000,2253.5198,1000
53,53000,2816.1204,1000
54,54000,1143.6075,1000
55,55000,2232.5833,1000
56,56000,3515.4463,1000
57,57000,2796.165,1000
58,58000,245.99405,1000
59,59000,242.9574,1000
60,60000,3102.6772,1000
61,61000,433.43872,1000
62,62000,3164.491,1000
63,63000,3526.3665,1000
64,64000,2249.4321,1000
65,65000,3373.027,1000
66,66000,1050.954,1000
67,67000,469.6259,1000
68,68000,1048.0342,1000
69,69000,3305.4329,1000
70,70000,3567.2405,1000
71,71000,3209.1174,1000
72,72000,3528.358,1000
73,73000,3612.4673,1000
74,74000,3674.05,1000
75,75000,3281.5122,1000
76,76000,3719.4934,1000
77,77000,3736.2456,1000
78,78000,3452.7632,1000
79,79000,3773.518,1000
80,80000,3701.2368,1000
81,81000,3754.8188,1000
82,82000,3814.0012,1000
83,83000,3417.7788,1000
84,84000,3824.529,1000
85,85000,3788.3035,1000
86,86000,3666.1042,1000
87,87000,3949.754,1000
88,88000,3740.44,1000
89,89000,3996.78,1000
90,90000,1504.4326,1000
91,91000,3755.7134,1000
92,92000,3945.1897,1000
93,93000,3962.2905,1000
94,94000,4028.8103,1000
95,95000,3948.4658,1000
96,96000,3687.037,1000
97,97000,3977.1228,1000
98,98000,4171.8535,1000
99,99000,4100.7417,1000
100,100000,3472.4932,1000
101,101000,3852.0164,1000
102,102000,4060.4414,1000
103,103000,4187.2324,1000
104,104000,4357.127,1000
105,105000,4320.4746,1000
106,106000,3479.7688,1000
107,107000,4126.0044,1000
108,108000,4085.3728,1000
109,109000,4035.8965,1000
110,110000,4365.7285,1000
111,111000,4149.265,1000
112,112000,4315.017,1000
113,113000,4144.3203,1000
114,114000,4416.279,1000
115,115000,4243.65,1000
116,116000,4476.7007,1000
117,117000,4517.494,1000
118,118000,4522.2295,1000
119,119000,4329.388,1000
120,120000,4307.9478,1000
121,121000,4502.877,1000
122,122000,4398.0728,1000
123,123000,4464.5474,1000
124,124000,4194.6562,1000
125,125000,4440.1587,1000
126,126000,4500.684,1000
127,127000,4367.693,1000
128,128000,2193.5383,1000
129,129000,4497.9067,1000
130,130000,4199.5664,1000
131,131000,87.203926,1000
132,132000,4234.22,1000
133,133000,4416.9233,1000
134,134000,4288.753,1000
135,135000,2870.2947,1000
136,136000,4479.2354,1000
137,137000,4473.84,1000
138,138000,4545.2246,1000
139,139000,4740.7266,1000
140,140000,4415.592,1000
141,141000,4581.3145,1000
142,142000,4497.743,1000
143,143000,4563.219,1000
144,144000,4319.3374,1000
145,145000,4437.4917,1000
146,146000,4441.5674,1000
147,147000,4069.859,1000
148,148000,4672.4727,1000
149,149000,4629.342,1000
150,150000,4533.148,1000
151,151000,4548.2046,1000
152,152000,4824.393,1000
153,153000,4627.7705,1000
154,154000,4733.875,1000
155,155000,3911.44,1000
156,156000,4769.336,1000
157,157000,4363.7646,1000
158,158000,4574.6646,1000
159,159000,4635.9463,1000
160,160000,4736.87,1000
161,161000,4582.3765,1000
162,162000,4604.552,1000
163,163000,4733.747,1000
164,164000,4842.0127,1000
165,165000,5006.474,1000
166,166000,4629.464,1000
167,167000,4715.6504,1000
168,168000,4688.294,1000
169,169000,4975.577,1000
170,170000,5012.49,1000
171,171000,4900.487,1000
172,172000,4238.399,1000
173,173000,4929.592,1000
174,174000,4968.2827,1000
175,175000,4940.164,1000
176,176000,4283.69,1000
177,177000,4985.6455,1000
178,178000,4996.9434,1000
179,179000,5117.508,1000
180,180000,4808.2495,1000
181,181000,4873.198,1000
182,182000,4697.6895,1000
183,183000,4852.078,1000
184,184000,4577.8984,1000
185,185000,4967.81,1000
186,186000,3669.4458,1000
187,187000,4731.4307,1000
188,188000,5081.1187,1000
189,189000,4916.984,1000
190,190000,5010.839,1000
191,191000,4642.357,1000
192,192000,4733.31,1000
193,193000,4857.0264,1000
194,194000,4943.4854,1000
195,195000,4963.9556,1000
196,196000,4906.7095,1000
197,197000,4832.0146,1000
198,198000,5116.0938,1000
199,199000,4932.689,1000
200,200000,4791.002,1000
201,201000,4843.425,1000
202,202000,4690.759,1000
203,203000,4851.0854,1000
204,204000,4950.762,1000
205,205000,5044.8755,1000
206,206000,4833.8296,1000
207,207000,5168.026,1000
208,208000,4869.4155,1000
209,209000,4677.484,1000
210,210000,4594.7207,1000
211,211000,4896.287,1000
212,212000,5044.681,1000
213,213000,5089.847,1000
214,214000,4909.6396,1000
215,215000,5069.7,1000
216,216000,4478.286,1000
217,217000,5087.498,1000
218,218000,5006.2534,1000
219,219000,5125.218,1000
220,220000,5096.791,1000
221,221000,5047.4443,1000
222,222000,4754.9565,1000
223,223000,5063.5493,1000
224,224000,4699.8804,1000
225,225000,5131.631,1000
226,226000,5223.5024,1000
227,227000,4970.626,1000
228,228000,5040.949,1000
229,229000,5038.326,1000
230,230000,5197.941,1000
231,231000,5131.5425,1000
232,232000,5066.802,1000
233,233000,5048.464,1000
234,234000,5009.842,1000
235,235000,4970.0596,1000
236,236000,5084.7744,1000
237,237000,4869.5474,1000
238,238000,4989.3335,1000
239,239000,5030.364,1000
240,240000,4998.129,1000
241,241000,5099.8745,1000
242,242000,5057.5786,1000
243,243000,5163.152,1000
244,244000,5143.4375,1000
245,245000,4718.059,1000
246,246000,5120.304,1000
247,247000,4993.9814,1000
248,248000,4922.227,1000
249,249000,5149.7734,1000
250,250000,5124.3604,1000
251,251000,5181.5117,1000
252,252000,5160.013,1000
253,253000,5184.9556,1000
254,254000,5026.825,1000
255,255000,5202.566,1000
256,256000,5110.6978,1000
257,257000,5149.171,1000
258,258000,4992.6,1000
259,259000,5194.9473,1000
260,260000,5110.6177,1000
261,261000,5047.073,1000
262,262000,5073.063,1000
263,263000,5109.1157,1000
264,264000,5120.6846,1000
265,265000,4899.2915,1000
266,266000,5320.551,1000
267,267000,4828.446,1000
268,268000,4958.599,1000
269,269000,5193.549,1000
270,270000,5274.708,1000
271,271000,4961.3696,1000
272,272000,4986.31,1000
273,273000,5277.1753,1000
274,274000,5218.6436,1000
275,275000,5297.158,1000
276,276000,5097.0864,1000
277,277000,4949.4707,1000
278,278000,5141.9106,1000
279,279000,5228.0664,1000
280,280000,5121.0376,1000
281,281000,5258.7725,1000
282,282000,5158.9414,1000
283,283000,5159.654,1000
284,284000,5002.471,1000
285,285000,5189.512,1000
286,286000,5186.772,1000
287,287000,5124.7427,1000
288,288000,4968.2446,1000
289,289000,5319.175,1000
290,290000,5271.695,1000
291,291000,5276.296,1000
292,292000,5152.1694,1000
293,293000,5331.038,1000
294,294000,5378.8877,1000
295,295000,5326.6074,1000
296,296000,5300.023,1000
297,297000,5260.836,1000
298,298000,5269.036,1000
299,299000,5177.449,1000
300,300000,5020.9946,1000
301,301000,5224.4194,1000
302,302000,5190.7847,1000
303,303000,5262.301,1000
304,304000,5286.4023,1000
