episode,timestep,reward,length
1,1000,-2.7109795540627655,1000
2,2000,-0.881166599645413,1000
3,3000,-1.1961857355096561,1000
4,4000,-6.8923517000438395,1000
5,5000,-1.189856491541127,1000
6,6000,-2.2437422173446806,1000
7,7000,-6.699331234869719,1000
8,8000,-3.419149464484436,1000
9,9000,-2.2873182404862957,1000
10,10000,-11.131460958757344,1000
11,11000,-1.324080724307619,1000
12,12000,-312.58073354305066,1000
13,13000,-2.1524708866051,1000
14,14000,-16.41410735629376,1000
15,15000,-588.4878701135652,1000
16,16000,-7.314072687145683,1000
17,17000,-1016.9102104970667,1000
18,18000,662.811671821823,1000
19,19000,-276.1374321574433,1000
20,20000,681.3642563278621,1000
21,21000,-274.42978339089234,1000
22,22000,16.43270171099068,1000
23,23000,-373.5359746299798,1000
24,24000,-888.3771345114776,1000
25,25000,-167.70670857550203,1000
26,26000,90.78123155008136,1000
27,27000,49.090212544556884,1000
28,28000,322.3122596325085,1000
29,29000,-39.0416704305383,1000
30,30000,115.60205782765716,1000
31,31000,-65.56261661064202,1000
32,32000,-63.97793765092029,1000
33,33000,-998.1348687278804,1000
34,34000,260.74987576060477,1000
35,35000,-29.319633943287677,1000
36,36000,-109.49970537988105,1000
37,37000,1176.4570158590923,1000
38,38000,325.45314807289486,1000
39,39000,-446.26367459577284,1000
40,40000,264.7766900311924,1000
41,41000,116.21213877937775,1000
42,42000,-817.27714910338,1000
43,43000,662.6284267864982,1000
44,44000,167.6403903472965,1000
45,45000,158.55550328023352,1000
46,46000,135.2837489691953,1000
47,47000,-594.4402851090879,1000
48,48000,-426.1634958949382,1000
49,49000,-418.9728592699809,1000
50,50000,-383.1815036316091,1000
51,51000,-26.713096559284075,1000
52,52000,-168.7934414280468,1000
53,53000,-532.4418166250207,1000
54,54000,-3.0746078079946235,1000
55,55000,70.09515030629441,1000
56,56000,-590.4644094495159,1000
57,57000,17.77682990762162,1000
58,58000,179.57493523906848,1000
59,59000,62.590083983762206,1000
60,60000,-102.43418441043204,1000
61,61000,-366.75389334861126,1000
62,62000,-45.30765676527194,1000
63,63000,-185.76805294554106,1000
64,64000,190.30377211236353,1000
65,65000,-420.5078615683501,1000
66,66000,9.446544425066909,1000
67,67000,123.57618516081777,1000
68,68000,-273.7538059319108,1000
69,69000,311.1422611711463,1000
70,70000,67.23794398512194,1000
71,71000,3.32586218895106,1000
72,72000,-463.49801843124004,1000
73,73000,-87.00803887444502,1000
74,74000,125.66399454532797,1000
75,75000,-186.68084936544298,1000
76,76000,286.0553404316121,1000
77,77000,238.498356164226,1000
78,78000,-125.27748842700137,1000
79,79000,28.839318690523704,1000
80,80000,-94.46298300431582,1000
81,81000,-134.08577014236283,1000
82,82000,-56.53248200711743,1000
83,83000,26.19104855535191,1000
84,84000,-135.4174871016284,1000
85,85000,64.75218526926164,1000
86,86000,-118.17124953422754,1000
87,87000,-63.055877813604916,1000
88,88000,53.57587675036382,1000
89,89000,-32.07585476766116,1000
90,90000,-112.38177188962467,1000
91,91000,-125.57949236702207,1000
92,92000,-102.66955692011629,1000
93,93000,-209.4946100124906,1000
94,94000,88.2669825616067,1000
95,95000,-183.02406625035593,1000
96,96000,-170.2769475374894,1000
97,97000,-213.18150037243336,1000
98,98000,10.490682963074294,1000
99,99000,-132.34696493669085,1000
100,100000,-200.99354448380186,1000
101,101000,-247.78515909566144,1000
102,102000,-190.88267769724138,1000
103,103000,149.58138923204038,1000
104,104000,-149.30005261520512,1000
105,105000,34.216923533412164,1000
106,106000,-241.08649452484914,1000
107,107000,-153.4905085404233,1000
108,108000,74.49698012268765,1000
109,109000,87.47695111588207,1000
110,110000,-26.17031451538985,1000
111,111000,156.9480056426414,1000
112,112000,91.44729072037089,1000
113,113000,-171.12679408307642,1000
114,114000,-162.95705922162398,1000
115,115000,39.921366122838876,1000
116,116000,-134.03906980345164,1000
117,117000,-69.00504191986175,1000
118,118000,-25.213576728738854,1000
119,119000,-117.41719624272346,1000
120,120000,85.93827179985423,1000
121,121000,136.35100659866788,1000
122,122000,-42.23221862171145,1000
123,123000,-165.6958566529012,1000
124,124000,-47.52421473840356,1000
125,125000,17.0181584822073,1000
126,126000,-24.86669357886356,1000
127,127000,-69.78595467800167,1000
128,128000,-139.51090945846877,1000
129,129000,-13.15011449258464,1000
130,130000,-269.88196529483577,1000
131,131000,-320.37378098080114,1000
132,132000,-204.28665254674965,1000
133,133000,-335.2346505371818,1000
134,134000,-169.62698014719234,1000
135,135000,-137.94710768020138,1000
136,136000,-281.8093281561391,1000
137,137000,-360.2608118226462,1000
138,138000,-201.76137157983206,1000
139,139000,-197.02299617649572,1000
140,140000,6.571445207316455,1000
141,141000,-95.78929887882347,1000
142,142000,-279.43334015998,1000
143,143000,-20.135488586256766,1000
144,144000,-73.06013058604944,1000
145,145000,-190.31516672360146,1000
146,146000,120.20173699601708,1000
147,147000,-209.4923052639292,1000
148,148000,-158.183042061513,1000
149,149000,-296.31540706145086,1000
150,150000,-215.28191147683327,1000
151,151000,-353.09062263394804,1000
152,152000,72.94241292885016,1000
153,153000,-54.45176899146023,1000
154,154000,93.16905482108275,1000
155,155000,37.91095327134762,1000
156,156000,-89.74942519247533,1000
157,157000,23.443974670627565,1000
158,158000,23.744831860187116,1000
159,159000,15.372906051264597,1000
160,160000,139.4158364269099,1000
161,161000,-17.994286966065076,1000
162,162000,-210.35351188879332,1000
163,163000,-122.65236407622761,1000
164,164000,-32.903032975884976,1000
165,165000,-59.43707561085219,1000
166,166000,48.36524793362467,1000
167,167000,-45.99914944007762,1000
168,168000,-163.0149162915175,1000
169,169000,-85.42790598431657,1000
170,170000,-268.75432987673577,1000
171,171000,113.69545628652241,1000
172,172000,-107.50497564030563,1000
173,173000,-119.53471447841719,1000
174,174000,2.669423466514162,1000
175,175000,-219.54436320425432,1000
176,176000,-39.764080426103625,1000
177,177000,-92.83666433567508,1000
178,178000,13.591894736047458,1000
179,179000,-348.43617751820375,1000
180,180000,-185.66764382039986,1000
181,181000,37.31618749610062,1000
182,182000,-101.93139382898934,1000
183,183000,-239.44842635046305,1000
184,184000,-125.667294897924,1000
185,185000,-97.37645625164441,1000
186,186000,-143.57250092897138,1000
187,187000,-80.13490924726197,1000
188,188000,86.02247388898218,1000
189,189000,84.36374972334544,1000
190,190000,79.20505467234157,1000
191,191000,-176.55801585192756,1000
192,192000,56.420026831828025,1000
193,193000,-84.04539350920383,1000
194,194000,-404.76457675422324,1000
195,195000,-149.06012335233294,1000
196,196000,-108.22329651733948,1000
197,197000,-304.86159262604167,1000
198,198000,-35.97853615163095,1000
199,199000,-50.77670467548509,1000
200,200000,64.09770153158028,1000
201,201000,-112.81141432921687,1000
202,202000,60.18015257471524,1000
203,203000,-147.3278857156425,1000
204,204000,-105.87400777638169,1000
205,205000,35.22108494557358,1000
206,206000,121.36217994508306,1000
207,207000,70.64200559860257,1000
208,208000,-23.158971534031803,1000
209,209000,-219.87684864198857,1000
210,210000,8.656023929286862,1000
211,211000,-77.4554559411662,1000
212,212000,-53.08758018696346,1000
213,213000,-264.84104351554595,1000
214,214000,-22.20574913689475,1000
215,215000,39.63573683585727,1000
216,216000,24.620928850563153,1000
217,217000,-2.782843042843946,1000
218,218000,-10.673245390429633,1000
219,219000,197.47115487111594,1000
220,220000,-162.3541899528022,1000
221,221000,2.621368624823089,1000
222,222000,-76.59666120398416,1000
223,223000,18.726266641567435,1000
224,224000,132.5886600942041,1000
225,225000,32.16252305520145,1000
226,226000,23.84434894640699,1000
227,227000,-0.8534597414481524,1000
228,228000,58.071655757319746,1000
229,229000,-207.46925098326474,1000
230,230000,-96.47073117492107,1000
231,231000,-80.08294567620106,1000
232,232000,0.058048738584494775,1000
233,233000,-65.26416896835221,1000
234,234000,-45.05180017704799,1000
235,235000,33.97508573749259,1000
236,236000,131.95494073832052,1000
237,237000,17.678105503869173,1000
238,238000,-78.44863260126594,1000
239,239000,-41.38363392856404,1000
240,240000,32.26225612529453,1000
241,241000,-31.854537892842174,1000
242,242000,-67.30649116160352,1000
243,243000,-64.30780608289002,1000
244,244000,-53.2825424378679,1000
245,245000,79.29778983906168,1000
246,246000,-37.878313153990995,1000
247,247000,-194.36217534430466,1000
248,248000,-0.7311434840338543,1000
249,249000,-58.836909734008515,1000
250,250000,-60.264920344558746,1000
251,251000,70.24498316040871,1000
252,252000,-147.5102394567442,1000
253,253000,39.353382658973636,1000
254,254000,-54.19903690251738,1000
255,255000,-43.26213982063779,1000
256,256000,-14.635443061153113,1000
257,257000,-37.37578390618936,1000
258,258000,-137.10196436464219,1000
259,259000,-10.912199918596018,1000
260,260000,-7.052899699227792,1000
261,261000,8.93991036243524,1000
262,262000,7.941241316819733,1000
263,263000,-46.02586809494048,1000
264,264000,-58.91376582712715,1000
265,265000,-138.87813452992722,1000
266,266000,-28.673551049503594,1000
267,267000,-116.17203577254331,1000
268,268000,-170.7697995781363,1000
269,269000,112.48134335346336,1000
270,270000,-55.823572811230456,1000
271,271000,-127.74265598272784,1000
272,272000,-46.225276283692054,1000
273,273000,-29.640090740923426,1000
274,274000,-26.32441010261719,1000
275,275000,9.41637100089028,1000
276,276000,-90.67788198237591,1000
277,277000,-99.2779263085628,1000
278,278000,-43.048198535400715,1000
279,279000,-49.64338314754788,1000
280,280000,-101.78119978152903,1000
281,281000,-204.90987612372768,1000
282,282000,-453.43943607239544,1000
283,283000,-181.73224482604874,1000
284,284000,-137.91115659075984,1000
285,285000,-201.1594954196927,1000
286,286000,-211.50622709386647,1000
287,287000,-252.50990040265864,1000
288,288000,-153.2163338964243,1000
289,289000,-205.13965034937553,1000
290,290000,-267.07219219749663,1000
291,291000,-51.55685891705404,1000
292,292000,-64.2096493969498,1000
293,293000,-164.8809010545997,1000
294,294000,-136.42364536134653,1000
295,295000,-172.92443783821034,1000
296,296000,-107.074154934301,1000
297,297000,-153.86289749140505,1000
298,298000,-148.1722887716652,1000
299,299000,-62.516194861579265,1000
300,300000,-209.5830708656675,1000
301,301000,-87.1959020332563,1000
302,302000,-101.87238318499857,1000
303,303000,-128.3507114679509,1000
304,304000,-209.30524191723293,1000
305,305000,-180.38295106043236,1000
306,306000,-93.17804952248983,1000
307,307000,-188.56312888984965,1000
308,308000,-104.73686062568744,1000
309,309000,-111.68768391725467,1000
310,310000,-157.18441227448028,1000
311,311000,-130.36269155027372,1000
312,312000,-164.20619102188624,1000
313,313000,-42.812571691224115,1000
314,314000,-182.1107206352737,1000
315,315000,-330.4616026863074,1000
316,316000,-146.10954563334874,1000
317,317000,-100.55095176783847,1000
318,318000,-224.9062807473246,1000
319,319000,-189.34524540682116,1000
320,320000,-53.26273675756629,1000
321,321000,-49.48463503689958,1000
322,322000,-16.33178000364517,1000
323,323000,-44.58154681456472,1000
324,324000,-113.06966053541896,1000
325,325000,-135.02177212851942,1000
326,326000,27.875982315375204,1000
327,327000,-31.154394761590762,1000
328,328000,-52.41638587061688,1000
329,329000,2.429542451562304,1000
330,330000,-75.3470216531894,1000
331,331000,-57.03809433665544,1000
332,332000,-183.35435095914804,1000
333,333000,-115.52973284016477,1000
334,334000,6.453691744430604,1000
335,335000,-181.32990855071162,1000
336,336000,-98.817326283018,1000
337,337000,-162.2136889981646,1000
338,338000,-120.93918271485046,1000
339,339000,-125.75758638889893,1000
340,340000,-116.77952659082679,1000
341,341000,-28.94522530674121,1000
342,342000,-109.74909497397513,1000
343,343000,-7.671997602027913,1000
344,344000,-34.42694433427927,1000
345,345000,-99.57507589131525,1000
346,346000,-115.88714072227988,1000
347,347000,-105.46722014883804,1000
348,348000,-80.1603213106102,1000
349,349000,-170.22222390384658,1000
350,350000,-25.28956988965499,1000
351,351000,-61.177993829283466,1000
352,352000,-127.20075395263451,1000
353,353000,-146.90629779325187,1000
354,354000,-190.75385373791235,1000
355,355000,-104.49135302001174,1000
356,356000,-99.57618343759266,1000
357,357000,-192.08805243827337,1000
358,358000,-346.42791451304873,1000
359,359000,-118.44786874933078,1000
360,360000,-177.98671264082515,1000
361,361000,-61.25503188197506,1000
362,362000,-168.5265540636047,1000
363,363000,-162.90423102215155,1000
364,364000,14.489792722672838,1000
365,365000,-42.501600184300436,1000
366,366000,-142.8490750026001,1000
367,367000,-45.88870528701075,1000
368,368000,-70.60196851151827,1000
369,369000,-268.3648888232735,1000
370,370000,-136.26372501318235,1000
371,371000,-24.92532847835265,1000
372,372000,19.152067842799745,1000
373,373000,-113.89213470604882,1000
374,374000,-184.03945462338461,1000
375,375000,-240.9273983048827,1000
376,376000,-173.7401032651561,1000
377,377000,-113.68441257694124,1000
378,378000,-171.16640985110223,1000
379,379000,-102.83491462391541,1000
380,380000,-110.58714199122095,1000
381,381000,-40.94774706073026,1000
382,382000,-170.79729131085878,1000
383,383000,-247.03338058927147,1000
384,384000,-108.92797049039966,1000
385,385000,-93.82685129761147,1000
386,386000,-271.70754556804934,1000
387,387000,-266.8074237913057,1000
388,388000,-124.45352491173125,1000
389,389000,-144.884080067133,1000
390,390000,-302.9329553688796,1000
391,391000,-136.6654058536146,1000
392,392000,-205.8783904206549,1000
393,393000,-111.21219738754644,1000
394,394000,-57.702754247513006,1000
395,395000,-116.63112484341961,1000
396,396000,-159.6145331188218,1000
397,397000,-162.44345119424352,1000
