episode,timestep,reward,length
1,1000,-339.2139,1000
2,2000,-442.14438,1000
3,3000,-399.83804,1000
4,4000,-470.27682,1000
5,5000,-441.23206,1000
6,6000,-346.89905,1000
7,7000,-591.9182,1000
8,8000,-289.15295,1000
9,9000,-308.6732,1000
10,10000,-312.42627,1000
11,11000,-234.27646,1000
12,12000,-438.5753,1000
13,13000,-317.60092,1000
14,14000,-360.45795,1000
15,15000,-554.5537,1000
16,16000,-222.6576,1000
17,17000,-304.0744,1000
18,18000,-386.8076,1000
19,19000,-329.7427,1000
20,20000,-367.67288,1000
21,21000,-362.42636,1000
22,22000,-329.421,1000
23,23000,-326.71484,1000
24,24000,-326.5788,1000
25,25000,-220.73447,1000
26,26000,-202.40807,1000
27,27000,-348.096,1000
28,28000,-320.32013,1000
29,29000,-354.83264,1000
30,30000,-267.5785,1000
31,31000,-282.8354,1000
32,32000,-226.05733,1000
33,33000,-313.03668,1000
34,34000,-319.25345,1000
35,35000,-260.43512,1000
36,36000,-266.22476,1000
37,37000,-267.76865,1000
38,38000,-231.83505,1000
39,39000,-322.22046,1000
40,40000,-301.8359,1000
41,41000,-320.81494,1000
42,42000,-288.01813,1000
43,43000,-321.24347,1000
44,44000,-289.4259,1000
45,45000,-401.55093,1000
46,46000,-351.46802,1000
47,47000,-279.11115,1000
48,48000,-293.76117,1000
49,49000,-201.52298,1000
50,50000,-220.96094,1000
51,51000,-244.40613,1000
52,52000,-206.1428,1000
53,53000,-256.27188,1000
54,54000,-321.28534,1000
55,55000,-286.87,1000
56,56000,-260.6487,1000
57,57000,-210.22495,1000
58,58000,-243.65718,1000
59,59000,-61.804234,1000
60,60000,-236.10791,1000
61,61000,-274.77832,1000
62,62000,-227.26328,1000
63,63000,-303.49316,1000
64,64000,-289.73892,1000
65,65000,-199.60074,1000
66,66000,-254.71272,1000
67,67000,-248.0596,1000
68,68000,-232.50336,1000
69,69000,-231.51553,1000
70,70000,-234.8527,1000
71,71000,-216.34276,1000
72,72000,-282.02475,1000
73,73000,-276.28397,1000
74,74000,-234.6108,1000
75,75000,-195.65051,1000
76,76000,-259.39307,1000
77,77000,-384.78232,1000
78,78000,-159.53494,1000
79,79000,-172.07336,1000
80,80000,-184.2704,1000
81,81000,-235.9311,1000
82,82000,-198.67792,1000
83,83000,-250.92567,1000
84,84000,-305.7747,1000
85,85000,-204.0551,1000
86,86000,-222.37048,1000
87,87000,-112.341354,1000
88,88000,-210.39642,1000
89,89000,-127.45976,1000
90,90000,-181.61801,1000
91,91000,-152.1714,1000
92,92000,-88.976456,1000
93,93000,-237.19379,1000
94,94000,-108.98348,1000
95,95000,-140.7483,1000
96,96000,-79.27965,1000
97,97000,-337.66934,1000
98,98000,-112.77825,1000
99,99000,-131.03625,1000
100,100000,-95.8949,1000
101,101000,-159.38443,1000
102,102000,-98.3523,1000
103,103000,-31.449404,1000
104,104000,-25.142574,1000
105,105000,-58.377724,1000
106,106000,-43.49695,1000
107,107000,76.1723,1000
108,108000,-34.250446,1000
109,109000,-45.11505,1000
110,110000,-174.72307,1000
111,111000,-36.97034,1000
112,112000,-88.886795,1000
113,113000,-33.136395,1000
114,114000,12.572122,1000
115,115000,8.554252,1000
116,116000,81.94815,1000
