episode,timestep,reward,length
1,1000,-205.69655,1000
2,2000,-254.58246,1000
3,3000,-192.61916,1000
4,4000,-277.9485,1000
5,5000,-195.59653,1000
6,6000,-141.30214,1000
7,7000,-93.57808,1000
8,8000,-241.32166,1000
9,9000,-265.96637,1000
10,10000,-219.95703,1000
11,11000,-178.27289,1000
12,12000,-224.39644,1000
13,13000,-223.48694,1000
14,14000,-277.31754,1000
15,15000,-179.50356,1000
16,16000,-10.508406,1000
17,17000,117.59969,1000
18,18000,-129.89116,1000
19,19000,39.577347,1000
20,20000,176.34866,1000
21,21000,370.22394,1000
22,22000,396.25,1000
23,23000,764.00446,1000
24,24000,1383.5095,1000
25,25000,1338.254,1000
26,26000,1814.6296,1000
27,27000,1359.8678,1000
28,28000,1945.003,1000
29,29000,2251.028,1000
30,30000,2579.078,1000
31,31000,1066.0624,1000
32,32000,2743.0376,1000
33,33000,1161.8488,1000
34,34000,2818.168,1000
35,35000,2864.5403,1000
36,36000,2937.1575,1000
37,37000,3076.4246,1000
38,38000,3050.7043,1000
39,39000,3323.697,1000
40,40000,3356.1511,1000
41,41000,3350.7317,1000
42,42000,3270.7454,1000
43,43000,3458.4077,1000
44,44000,3547.6252,1000
45,45000,3518.9229,1000
46,46000,3484.178,1000
47,47000,3621.1267,1000
48,48000,3658.0122,1000
49,49000,3391.4697,1000
50,50000,3558.1377,1000
51,51000,3467.5728,1000
52,52000,3530.587,1000
53,53000,3517.5732,1000
54,54000,3626.6218,1000
55,55000,3535.411,1000
56,56000,3529.0881,1000
57,57000,3529.15,1000
58,58000,3726.5557,1000
59,59000,3707.5208,1000
60,60000,3710.7278,1000
61,61000,3506.346,1000
62,62000,3826.0208,1000
63,63000,3798.0107,1000
64,64000,3748.8586,1000
65,65000,3665.2036,1000
66,66000,3709.8916,1000
67,67000,3712.415,1000
68,68000,3707.0337,1000
69,69000,3873.999,1000
70,70000,3754.4595,1000
71,71000,3929.2695,1000
72,72000,3772.693,1000
73,73000,3863.4436,1000
74,74000,4001.065,1000
75,75000,380.66635,1000
76,76000,3839.4285,1000
77,77000,4058.886,1000
78,78000,3899.6438,1000
79,79000,3772.175,1000
80,80000,3944.125,1000
81,81000,3767.8718,1000
82,82000,3749.7756,1000
83,83000,3926.701,1000
84,84000,3962.9307,1000
85,85000,3957.9045,1000
86,86000,4031.4597,1000
87,87000,3979.2427,1000
88,88000,3827.812,1000
89,89000,4061.83,1000
90,90000,4076.0342,1000
91,91000,4112.8403,1000
92,92000,3974.4917,1000
93,93000,3999.51,1000
94,94000,3938.5542,1000
