episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,5.951217174530029,12.56099,430.21875,211.1
2,12.68814992904663,26.607222,432.890625,208.5
3,19.404495000839233,40.479946999999996,434.578125,206.6
4,26.21557092666626,54.608858,435.1875,207.4
5,33.4238760471344,68.998132,437.6875,199.6
6,40.03471088409424,82.925254,438.078125,210.7
7,46.77285814285278,97.036211,438.765625,209.4
8,53.58995509147644,110.998341,423.875,204.8
9,60.297653913497925,124.988731,424.65625,208.6
10,67.02963900566101,138.990507,360.859375,208.0
11,75.12873911857605,155.565506,363.125,204.7
12,83.20076584815979,172.28008100000002,363.453125,207.1
13,91.78956413269043,189.035556,364.6875,195.1
14,100.12351298332214,205.71889000000002,365.234375,200.2
15,108.2094829082489,222.448843,365.5,206.9
16,116.33853316307068,239.00243700000001,361.59375,203.6
17,124.44182014465332,255.70364800000002,362.53125,206.1
18,132.61460089683533,272.428345,363.15625,204.6
19,140.68253898620605,289.15164599999997,363.421875,207.3
20,148.78377604484558,305.853992,363.734375,206.2
21,156.88085198402405,322.59045299999997,364.421875,206.7
22,164.97079801559448,339.19154799999995,365.0,205.2
23,173.2780249118805,355.905954,362.21875,201.2
24,181.43690490722656,372.65189,362.8125,205.2
25,189.6163308620453,389.373996,363.890625,204.4
26,197.73612308502197,406.10389299999997,364.359375,206.0
27,205.82815313339233,422.850625,365.65625,207.0
28,213.8881049156189,439.56567,365.9375,207.2
29,222.04680180549622,456.27214,366.8125,204.6
30,230.11645793914795,473.00872899999996,367.109375,207.3
31,238.17601990699768,489.476068,367.390625,204.3
32,246.89841103553772,506.087154,366.03125,190.4
33,255.38772797584534,522.923807,368.65625,198.3
34,263.9090311527252,539.66976,370.828125,196.5
35,272.22306513786316,556.287043,371.78125,199.9
36,280.5865421295166,572.9086950000001,369.921875,198.7
37,288.9892120361328,589.5088900000001,371.984375,197.6
38,297.32342505455017,606.1720770000001,372.25,199.9
39,305.5928120613098,622.529303,371.203125,197.8
40,313.69685792922974,639.255573,371.875,206.4
41,321.8016860485077,656.025033,372.28125,206.9
42,329.8832869529724,672.804876,372.546875,207.6
43,338.0477318763733,689.419878,372.875,203.5
44,346.26984119415283,706.054427,373.484375,202.3
45,354.6620662212372,722.839512,374.515625,200.0
46,363.4202690124512,739.66395,375.046875,192.1
47,371.7379379272461,756.360618,375.34375,200.7
48,379.9479789733887,773.079069,375.640625,203.6
49,388.1050169467926,789.744592,375.59375,204.3
50,396.2893691062927,806.369868,376.078125,203.1
51,404.744530916214,823.139887,376.96875,198.3
52,413.3552448749542,840.026231,377.25,196.1
53,421.87842202186584,856.803633,377.546875,196.8
54,429.9794969558716,873.4955060000001,378.171875,206.0
55,438.19634199142456,890.063336,377.359375,201.6
