episode,timestep,reward,length
1,1000,-494.77112,1000
2,2000,-526.76874,1000
3,3000,-570.4314,1000
4,4000,-244.63971,1000
5,5000,-333.71426,1000
6,6000,-532.4793,1000
7,7000,-573.46094,1000
8,8000,-558.7885,1000
9,9000,-470.76758,1000
10,10000,-481.2795,1000
11,11000,177.18494,1000
12,12000,-229.89218,1000
13,13000,528.331,1000
14,14000,262.60052,1000
15,15000,648.5429,1000
16,16000,850.4543,1000
17,17000,1110.366,1000
18,18000,1380.2867,1000
19,19000,1379.4023,1000
20,20000,1467.372,1000
21,21000,1575.1774,1000
22,22000,1547.3516,1000
23,23000,1693.4204,1000
24,24000,1927.7799,1000
25,25000,1953.3427,1000
26,26000,2154.4062,1000
27,27000,2005.649,1000
28,28000,2076.374,1000
29,29000,2138.2847,1000
30,30000,2312.3381,1000
31,31000,2261.5752,1000
32,32000,2180.2593,1000
33,33000,2367.059,1000
34,34000,2381.9749,1000
35,35000,2346.13,1000
36,36000,2232.5327,1000
37,37000,2333.5754,1000
38,38000,2432.7717,1000
39,39000,2468.6714,1000
40,40000,2343.0845,1000
41,41000,2397.5928,1000
42,42000,2282.0798,1000
43,43000,2399.6665,1000
44,44000,2506.682,1000
45,45000,2353.0203,1000
46,46000,2601.058,1000
47,47000,2471.0654,1000
48,48000,2528.5637,1000
49,49000,2573.1199,1000
50,50000,2778.9312,1000
51,51000,2471.2664,1000
52,52000,2563.4507,1000
53,53000,2645.5078,1000
54,54000,2341.2993,1000
55,55000,2463.0693,1000
56,56000,2858.85,1000
57,57000,2631.4116,1000
58,58000,2643.2903,1000
59,59000,2530.8303,1000
60,60000,2755.2458,1000
61,61000,2451.9224,1000
62,62000,2561.0127,1000
63,63000,2663.6226,1000
64,64000,2630.22,1000
65,65000,2546.354,1000
66,66000,2607.5347,1000
67,67000,2857.7207,1000
68,68000,2684.9524,1000
69,69000,2622.189,1000
70,70000,2906.2488,1000
71,71000,2887.6064,1000
72,72000,2763.7466,1000
73,73000,2982.2559,1000
74,74000,2579.827,1000
75,75000,2928.1116,1000
76,76000,2679.498,1000
77,77000,2873.3362,1000
78,78000,2862.2183,1000
79,79000,2909.8647,1000
80,80000,2742.1436,1000
81,81000,2907.4778,1000
82,82000,2705.4138,1000
83,83000,2609.1685,1000
84,84000,2843.864,1000
85,85000,2947.7793,1000
86,86000,2908.576,1000
87,87000,3037.3186,1000
88,88000,2841.9585,1000
89,89000,3052.3584,1000
90,90000,2972.3118,1000
91,91000,2929.3303,1000
92,92000,3234.5312,1000
93,93000,2985.3306,1000
94,94000,3166.3206,1000
95,95000,3005.3425,1000
96,96000,3144.046,1000
97,97000,3048.949,1000
98,98000,3110.845,1000
99,99000,3098.1523,1000
100,100000,3293.7317,1000
101,101000,2997.2822,1000
102,102000,3327.452,1000
103,103000,3220.7004,1000
104,104000,2995.6184,1000
105,105000,3234.7437,1000
106,106000,3313.0593,1000
107,107000,3373.1353,1000
108,108000,3043.3418,1000
109,109000,3170.63,1000
110,110000,3394.1091,1000
111,111000,3212.5522,1000
112,112000,3123.2969,1000
113,113000,3259.988,1000
114,114000,3303.2136,1000
115,115000,3068.2734,1000
116,116000,3460.9653,1000
