episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,6.541006088256836,13.696946999998545,525.125,209.4
2,13.802452087402344,28.99721099999988,527.078125,210.7
3,21.10019016265869,44.371100999998816,527.390625,210.7
4,28.43445611000061,59.75087899999926,529.28125,209.7
5,35.78851008415222,75.10630200000014,529.59375,208.8
6,43.08170008659363,90.41542499999923,529.859375,209.9
7,50.40983605384827,105.82414599999902,530.765625,210.3
8,57.75308609008789,121.23232899999857,531.03125,209.8
9,65.09032011032104,136.63129800000024,531.3125,209.9
10,72.43859910964966,152.00310399999944,531.578125,209.2
11,79.8167142868042,167.38070399999924,531.890625,208.4
12,87.1151270866394,182.65897399999994,532.15625,209.3
13,94.42603802680969,198.0341419999986,532.4375,210.3
14,101.78892207145691,213.4405259999985,532.84375,209.3
15,109.12496399879456,228.84503499999846,533.109375,210.0
16,116.439936876297,244.17866499999946,533.390625,209.6
17,123.80999112129211,259.59820899999977,533.703125,209.2
18,131.15838623046875,275.0228339999994,533.984375,209.9
19,138.49839520454407,290.42086599999857,534.25,209.5
20,145.81639409065247,305.7880589999986,534.5625,209.8
21,153.13642406463623,321.19667599999957,534.828125,210.4
22,160.45858716964722,336.6048749999991,535.109375,210.4
23,167.81459307670593,351.99866999999904,535.96875,209.2
24,175.18100214004517,367.4351459999998,536.28125,209.5
25,182.64356398582458,382.75695799999994,536.546875,205.3
26,190.08722496032715,398.09486800000013,536.828125,206.0
27,197.46429824829102,413.38868399999956,537.125,207.3
28,204.82889604568481,428.6989459999986,538.0,207.9
29,212.36540627479553,444.03199399999903,538.265625,203.5
30,219.79367423057556,459.4525759999997,538.5625,207.6
31,227.19599604606628,474.810598,538.84375,207.5
32,234.7260901927948,490.1877229999991,539.109375,204.2
33,242.0947461128235,505.61442799999895,539.421875,209.4
34,249.43825602531433,520.9720129999987,539.71875,209.1
35,256.8068060874939,536.3686289999987,540.0,208.9
36,264.17141914367676,551.8501579999993,540.265625,210.2
37,271.509535074234,567.2831959999985,540.625,210.3
38,278.83252906799316,582.6963479999995,540.90625,210.5
39,286.150563955307,598.0843759999989,541.1875,210.3
40,293.5156819820404,613.5156459999998,541.484375,209.5
41,300.85198307037354,628.9434999999994,541.765625,210.3
42,308.2285521030426,644.4218459999993,542.046875,209.8
43,315.60790395736694,659.8326309999993,542.3125,208.8
44,322.95372009277344,675.2229499999994,542.625,209.5
45,330.33167719841003,690.675514999999,542.921875,209.4
46,337.6518921852112,706.1260279999988,543.203125,211.1
47,345.01797223091125,721.4946509999991,543.5,208.7
48,352.3596909046173,736.902908,543.78125,209.9
49,359.65317010879517,752.2244489999994,544.046875,210.1
50,366.97643303871155,767.654962999999,544.359375,210.7
51,374.316143989563,782.9883449999998,544.625,208.9
52,381.6652030944824,798.3462779999991,544.90625,209.0
53,388.982871055603,813.7511399999985,545.171875,210.5
54,396.3666250705719,829.2281859999985,545.515625,209.6
55,403.7397322654724,844.6191039999994,545.78125,208.7
56,411.06137895584106,860.0326530000002,546.0625,210.5
57,418.3848180770874,875.4158360000001,546.359375,210.0
58,425.7119688987732,890.7893219999987,546.625,209.8
59,433.03473019599915,906.1424599999991,546.90625,209.7
60,440.3724031448364,921.4972739999994,547.203125,209.3
61,447.70411705970764,936.878444,547.484375,209.8
62,455.0462372303009,952.300487999999,547.75,210.0
63,462.40294909477234,967.7183089999999,548.03125,209.6
64,469.7196340560913,983.1080809999985,548.328125,210.3
65,477.01451802253723,998.4486820000002,548.609375,210.3
