episode,timestep,reward,length
1,1000,-362.26395,1000
2,2000,-219.1673,1000
3,3000,-188.06439,1000
4,4000,-251.22711,1000
5,5000,-198.71883,1000
6,6000,-228.33041,1000
7,7000,-230.97203,1000
8,8000,-154.43483,1000
9,9000,-206.2627,1000
10,10000,-169.59727,1000
11,11000,-189.52586,1000
12,12000,-142.0684,1000
13,13000,-200.14235,1000
14,14000,-91.793755,1000
15,15000,-115.47123,1000
16,16000,-18.48772,1000
17,17000,-86.34935,1000
18,18000,175.80048,1000
19,19000,238.72667,1000
20,20000,252.26167,1000
21,21000,348.4863,1000
22,22000,305.47406,1000
23,23000,266.0439,1000
24,24000,304.6284,1000
25,25000,348.9051,1000
26,26000,438.86835,1000
27,27000,387.4715,1000
28,28000,345.5769,1000
29,29000,472.66577,1000
30,30000,448.69678,1000
31,31000,492.43277,1000
32,32000,465.336,1000
33,33000,557.36444,1000
34,34000,639.64233,1000
35,35000,425.7395,1000
36,36000,602.82324,1000
37,37000,536.82477,1000
38,38000,626.92834,1000
39,39000,655.859,1000
40,40000,539.35925,1000
41,41000,714.63464,1000
42,42000,560.85474,1000
43,43000,660.9699,1000
44,44000,665.73804,1000
45,45000,683.4374,1000
46,46000,679.217,1000
47,47000,714.5915,1000
48,48000,779.0678,1000
49,49000,714.9708,1000
50,50000,784.1027,1000
51,51000,744.54047,1000
52,52000,840.8167,1000
53,53000,821.24567,1000
54,54000,723.2705,1000
55,55000,864.8094,1000
56,56000,859.4293,1000
57,57000,888.28894,1000
58,58000,821.4855,1000
59,59000,859.1059,1000
60,60000,852.2286,1000
61,61000,923.0832,1000
62,62000,952.67773,1000
63,63000,951.6274,1000
64,64000,1063.6478,1000
65,65000,968.9781,1000
66,66000,1046.8346,1000
67,67000,1063.9027,1000
68,68000,983.2958,1000
69,69000,1094.0872,1000
70,70000,1099.1516,1000
71,71000,1140.5093,1000
72,72000,1110.5123,1000
73,73000,1129.2103,1000
74,74000,1082.5499,1000
75,75000,1161.4163,1000
76,76000,1210.176,1000
77,77000,1148.791,1000
78,78000,1150.7661,1000
79,79000,1140.2706,1000
80,80000,1180.5369,1000
81,81000,1234.3619,1000
82,82000,1212.2406,1000
83,83000,1281.6008,1000
84,84000,1200.1831,1000
85,85000,1241.8723,1000
86,86000,1251.0746,1000
87,87000,1327.7253,1000
88,88000,1313.4441,1000
89,89000,1283.285,1000
90,90000,1257.994,1000
