episode,timestep,reward,length
1,1000,-275.92053,1000
2,2000,-523.17725,1000
3,3000,-364.72324,1000
4,4000,-450.52332,1000
5,5000,-291.16803,1000
6,6000,-523.00354,1000
7,7000,-337.99597,1000
8,8000,-367.8556,1000
9,9000,-360.69565,1000
10,10000,-238.39752,1000
11,11000,-313.48218,1000
12,12000,-301.27335,1000
13,13000,-370.0075,1000
14,14000,-282.8231,1000
15,15000,-374.1133,1000
16,16000,-296.72275,1000
17,17000,-305.85605,1000
18,18000,-294.33316,1000
19,19000,-327.67972,1000
20,20000,-330.36923,1000
21,21000,-198.12585,1000
22,22000,-307.24207,1000
23,23000,-333.225,1000
24,24000,-305.01556,1000
25,25000,-240.02486,1000
26,26000,-272.7153,1000
27,27000,-304.39993,1000
28,28000,-250.58968,1000
29,29000,-305.43866,1000
30,30000,-257.1852,1000
31,31000,-308.8028,1000
32,32000,-260.64496,1000
33,33000,-338.36374,1000
34,34000,-398.2054,1000
35,35000,-383.95538,1000
36,36000,-390.51575,1000
37,37000,-336.8714,1000
38,38000,-263.76645,1000
39,39000,-293.17834,1000
40,40000,-304.89105,1000
41,41000,-275.40274,1000
42,42000,-338.21463,1000
43,43000,-306.11737,1000
44,44000,-227.95808,1000
45,45000,-264.51993,1000
46,46000,-218.9292,1000
47,47000,-226.5054,1000
48,48000,-247.95036,1000
49,49000,-172.04947,1000
50,50000,-130.12593,1000
51,51000,-292.08447,1000
52,52000,-266.2629,1000
53,53000,-361.22574,1000
54,54000,-234.40317,1000
55,55000,-171.39926,1000
56,56000,-230.70763,1000
57,57000,-208.98485,1000
58,58000,-28.70389,1000
59,59000,-184.82733,1000
60,60000,-251.52136,1000
61,61000,-259.90094,1000
62,62000,-343.86472,1000
63,63000,-256.57,1000
64,64000,-332.46072,1000
65,65000,-203.7233,1000
66,66000,-116.06507,1000
67,67000,-279.9165,1000
68,68000,-172.99728,1000
69,69000,-272.23337,1000
70,70000,-270.5352,1000
71,71000,-191.14177,1000
72,72000,-213.08812,1000
73,73000,-240.82672,1000
74,74000,-224.65411,1000
75,75000,-241.65439,1000
76,76000,-222.96675,1000
77,77000,-162.86133,1000
78,78000,-207.30434,1000
79,79000,-221.73906,1000
80,80000,-193.518,1000
81,81000,-281.09747,1000
82,82000,-282.2306,1000
83,83000,-192.46211,1000
84,84000,-196.31227,1000
85,85000,-271.29037,1000
86,86000,-198.01337,1000
87,87000,-93.53193,1000
88,88000,-236.02895,1000
89,89000,-135.19444,1000
90,90000,-273.7244,1000
91,91000,-182.07574,1000
92,92000,-330.81174,1000
93,93000,-183.73456,1000
94,94000,-151.19566,1000
95,95000,-202.10023,1000
96,96000,-281.06207,1000
97,97000,-216.92078,1000
98,98000,-128.99174,1000
99,99000,-221.66441,1000
100,100000,-107.09894,1000
101,101000,-244.93375,1000
102,102000,-193.6279,1000
103,103000,-5.0712967,1000
104,104000,-150.0396,1000
105,105000,-161.1626,1000
106,106000,-210.1482,1000
107,107000,-73.88664,1000
108,108000,-104.32871,1000
109,109000,-76.920105,1000
110,110000,-131.93712,1000
111,111000,-182.61906,1000
112,112000,-195.18964,1000
113,113000,-177.22527,1000
114,114000,-173.29231,1000
115,115000,-211.89076,1000
116,116000,-126.52641,1000
117,117000,-195.59883,1000
118,118000,-163.15274,1000
119,119000,-198.00114,1000
120,120000,-138.04945,1000
121,121000,-141.79019,1000
122,122000,-178.7934,1000
123,123000,-189.85611,1000
124,124000,-126.22642,1000
125,125000,-171.55011,1000
126,126000,-137.66362,1000
127,127000,-147.40504,1000
128,128000,-100.66674,1000
129,129000,-164.0239,1000
130,130000,-161.99263,1000
131,131000,-182.96933,1000
132,132000,-239.79803,1000
133,133000,-20.77298,1000
134,134000,-71.52912,1000
135,135000,-104.62931,1000
136,136000,-104.44554,1000
137,137000,-28.81848,1000
138,138000,-105.84852,1000
