episode,timestep,reward,length
1,1000,-2.4411297847870626,1000
2,2000,-4.634204234119289,1000
3,3000,-3.1051203941797962,1000
4,4000,-3.4373522607505005,1000
5,5000,-1.204718362073567,1000
6,6000,-2.4283665971473773,1000
7,7000,-2.239066827932875,1000
8,8000,-2.1032626160592276,1000
9,9000,-0.4129201310543771,1000
10,10000,-1.6554588146322775,1000
11,11000,-1.4034292480286796,1000
12,12000,-1.8395644072559292,1000
13,13000,-3.831115159360709,1000
14,14000,-0.7065346450849501,1000
15,15000,0.6885704490536635,1000
16,16000,-3.7078198225613628,1000
17,17000,-2.3803365331121236,1000
18,18000,-2.3293496352922376,1000
19,19000,-2.9437036468028395,1000
20,20000,-0.7979755196823844,1000
21,21000,-4.494315699576757,1000
22,22000,-2.6991035912442665,1000
23,23000,-1.9164952106825475,1000
24,24000,-4.251431106147602,1000
25,25000,-4.467000180455873,1000
26,26000,-4.565819602570459,1000
27,27000,-1.9745815720726747,1000
28,28000,0.2712092747001013,1000
29,29000,-3.3934111671080447,1000
30,30000,0.48037904042630486,1000
31,31000,-1.2871250752491357,1000
32,32000,-2.722912654515128,1000
33,33000,-1.7556966921204153,1000
34,34000,-4.719568096823453,1000
35,35000,-4.811057685059999,1000
36,36000,-2.609705545404297,1000
37,37000,-2.7372287687451173,1000
38,38000,-2.8543095658295687,1000
39,39000,-4.436684724792261,1000
40,40000,0.28397668056351877,1000
41,41000,-2.14679134786945,1000
42,42000,-1.2480596267093473,1000
43,43000,-4.864046627411374,1000
44,44000,-2.4365976674925176,1000
45,45000,-2.100912243720769,1000
46,46000,-1.4898997355525747,1000
47,47000,-2.2925993519699785,1000
48,48000,-0.8495554361855047,1000
49,49000,-6.527827885099307,1000
50,50000,-1.2647219782734191,1000
51,51000,-2.9705441032588356,1000
52,52000,-4.589387029260469,1000
53,53000,-3.297334976474366,1000
54,54000,-3.3383371549610805,1000
55,55000,-2.142136558107414,1000
56,56000,-4.061646843565566,1000
57,57000,-0.9373316480737091,1000
58,58000,-2.7130115494984985,1000
59,59000,-3.776381412717357,1000
60,60000,-1.1743874779509278,1000
61,61000,-2.1147070407517803,1000
62,62000,-0.9929043975754155,1000
63,63000,-1.295080030597487,1000
64,64000,-3.0574525764679974,1000
65,65000,-5.018758123964307,1000
66,66000,-1.818353377794016,1000
67,67000,-3.8331645513906394,1000
68,68000,-1.8433397085740668,1000
69,69000,-2.9027598193917905,1000
