episode,timestep,reward,length
1,17,76.09505,17
2,36,85.965385,19
3,62,107.150085,26
4,78,71.03769,16
5,107,128.19543,29
6,127,86.377754,20
7,145,80.60602,18
8,169,101.164665,24
9,193,106.685524,24
10,228,160.83067,35
11,244,70.101364,16
12,265,96.924286,21
13,283,77.92239,18
14,300,76.2639,17
15,333,156.11052,33
16,355,101.14779,22
17,375,90.81908,20
18,394,86.10439,19
19,412,81.99991,18
20,430,80.6578,18
21,450,88.85768,20
22,466,71.27745,16
23,482,70.15428,16
24,504,95.39712,22
25,522,79.61365,18
26,538,67.97174,16
27,560,102.8589,22
28,576,71.48138,16
29,599,108.06266,23
30,621,100.46595,22
31,644,104.43019,23
32,661,76.309494,17
33,689,125.47166,28
34,716,124.85568,27
35,734,81.00967,18
36,758,108.58149,24
37,775,76.4848,17
38,793,80.89587,18
39,812,80.44358,19
40,829,74.92771,17
41,847,81.271484,18
42,864,76.61498,17
43,882,81.038155,18
44,898,68.83229,16
45,914,70.12052,16
46,930,71.10548,16
47,961,144.52054,31
48,980,85.876656,19
49,1005,109.53829,25
50,1022,75.288185,17
51,1041,87.36091,19
52,1057,71.33992,16
53,1076,81.60382,19
54,1092,71.58685,16
55,1110,80.13068,18
56,1129,87.40502,19
57,1146,76.39176,17
58,1180,134.86435,34
59,1197,76.2286,17
60,1230,155.3714,33
61,1247,75.081474,17
62,1270,102.80263,23
63,1305,158.28651,35
64,1322,76.05782,17
65,1352,135.67372,30
66,1386,151.75327,34
67,1404,81.5401,18
68,1430,115.08928,26
69,1449,87.0185,19
70,1466,76.21958,17
71,1491,110.80759,25
72,1515,110.260124,24
73,1540,113.072754,25
74,1556,67.608116,16
75,1581,112.763954,25
76,1598,76.24009,17
77,1623,115.091705,25
78,1640,76.45172,17
79,1667,114.9481,27
80,1684,74.38773,17
81,1704,90.156334,20
82,1721,76.42862,17
83,1739,81.34336,18
84,1756,74.038704,17
85,1777,91.94383,21
86,1795,78.67929,18
87,1821,122.54931,26
88,1838,74.69819,17
89,1878,184.70471,40
90,1906,124.28104,28
91,1949,194.43732,43
92,1965,71.5609,16
93,1995,127.28697,30
94,2012,76.19438,17
95,2036,110.857185,24
96,2053,76.175316,17
97,2077,98.31718,24
98,2096,87.77769,19
99,2113,75.33179,17
100,2138,110.290276,25
101,2156,81.092255,18
102,2172,70.9192,16
103,2189,76.45551,17
104,2206,76.26572,17
105,2222,71.57728,16
106,2240,79.45584,18
107,2262,98.29786,22
108,2278,69.838974,16
109,2295,75.170715,17
110,2311,71.65683,16
111,2327,70.63641,16
112,2343,71.20626,16
113,2361,81.75648,18
114,2378,76.144554,17
115,2398,91.33776,20
116,2415,75.99371,17
117,2443,130.81526,28
118,2469,109.05822,26
119,2488,85.71395,19
120,2510,98.2708,22
121,2527,76.249084,17
122,2555,126.12741,28
123,2571,71.21318,16
124,2588,75.26418,17
125,2603,64.95387,15
126,2624,92.948975,21
127,2649,115.93006,25
128,2680,136.00432,31
129,2709,116.2263,29
130,2742,144.66725,33
131,2764,100.914246,22
132,2781,76.45188,17
133,2797,70.76428,16
134,2823,116.03512,26
135,2840,76.28768,17
136,2867,120.38546,27
137,2883,70.73461,16
138,2900,76.32705,17
139,2930,130.26172,30
140,2948,80.93554,18
141,2968,89.09302,20
142,2986,77.290085,18
143,3009,104.260704,23
144,3027,81.830696,18
145,3054,129.50885,27
146,3070,71.69282,16
147,3088,80.30001,18
148,3109,96.67074,21
149,3134,115.11296,25
150,3151,76.23996,17
151,3171,88.93161,20
152,3195,111.34732,24
153,3211,71.01188,16
154,3229,80.002396,18
155,3258,131.00314,29
156,3286,121.14358,28
157,3303,76.39892,17
158,3320,76.27769,17
159,3339,82.3356,19
160,3372,153.63763,33
161,3388,71.507545,16
162,3405,75.24905,17
163,3423,80.86334,18
164,3440,76.18717,17
165,3468,133.87085,28
166,3485,76.284355,17
167,3505,86.23235,20
168,3522,75.294205,17
169,3540,81.069244,18
170,3557,74.297134,17
171,3581,102.994316,24
172,3602,89.28413,21
173,3619,76.221054,17
174,3638,82.2244,19
175,3665,120.53958,27
176,3684,86.19308,19
177,3701,76.09624,17
178,3718,74.15228,17
179,3746,127.0848,28
180,3765,87.37564,19
181,3784,84.47019,19
182,3802,81.90661,18
183,3820,80.838196,18
184,3836,71.410446,16
185,3866,128.69757,30
186,3884,80.263504,18
187,3900,71.472786,16
188,3917,76.3971,17
189,3934,75.67522,17
190,3967,138.14058,33
191,3995,124.41153,28
192,4012,76.55537,17
193,4030,80.37457,18
194,4047,76.361084,17
195,4077,139.21405,30
196,4098,90.80078,21
197,4114,71.01586,16
198,4133,85.84776,19
199,4152,86.67067,19
200,4169,75.32312,17
201,4187,81.201515,18
202,4205,78.6983,18
203,4223,81.943436,18
204,4240,75.90054,17
205,4259,87.6221,19
206,4287,121.91178,28
207,4305,82.32247,18
208,4323,80.306656,18
209,4340,74.98864,17
210,4359,83.158585,19
211,4378,86.55309,19
212,4405,123.65846,27
213,4426,92.25746,21
214,4444,81.18554,18
215,4472,127.99298,28
216,4488,71.50196,16
217,4510,103.721436,22
218,4533,104.28165,23
219,4557,104.89621,24
220,4582,113.637505,25
221,4612,123.315346,30
222,4634,95.47476,22
223,4662,131.29582,28
224,4700,181.10802,38
225,4718,79.19827,18
226,4735,76.47399,17
227,4752,68.90727,17
228,4772,89.54685,20
229,4800,130.90968,28
230,4825,102.65315,25
231,4843,81.0382,18
232,4887,195.28378,44
233,4917,135.6942,30
234,4943,117.344376,26
235,4964,93.252235,21
236,4986,104.29884,22
237,5013,121.78748,27
238,5031,78.890915,18
239,5048,75.86211,17
240,5072,105.162605,24
241,5090,82.53433,18
242,5108,81.954025,18
243,5126,83.00734,18
244,5150,103.64453,24
245,5167,75.68069,17
246,5184,75.6561,17
247,5202,81.955154,18
248,5218,70.78818,16
249,5237,86.76545,19
250,5261,110.85552,24
251,5278,76.414986,17
252,5310,137.1583,32
253,5327,77.40165,17
254,5345,81.21917,18
255,5362,76.83914,17
256,5393,143.8265,31
257,5419,116.506424,26
258,5438,88.84379,19
259,5462,105.4781,24
260,5478,71.31748,16
261,5508,135.35345,30
262,5539,141.48517,31
263,5567,128.68755,28
264,5585,80.36098,18
265,5610,113.61918,25
266,5635,115.66555,25
267,5659,108.06661,24
268,5677,80.67447,18
269,5695,80.716934,18
270,5724,125.74748,29
271,5748,107.223526,24
272,5769,93.39572,21
273,5794,114.56035,25
274,5812,80.51007,18
275,5841,136.23042,29
276,5859,77.926346,18
277,5885,122.515656,26
278,5902,75.888374,17
279,5919,75.72741,17
280,5946,114.06423,27
281,5969,97.90666,23
282,5985,71.68506,16
283,6002,76.14446,17
284,6019,75.77617,17
285,6040,94.77037,21
286,6061,94.59676,21
287,6077,71.19399,16
288,6100,108.34907,23
289,6121,94.09266,21
290,6138,76.00057,17
291,6161,95.204346,23
292,6178,75.931816,17
293,6195,76.383995,17
294,6217,92.52434,22
295,6234,76.128716,17
296,6251,74.30904,17
297,6277,118.83393,26
298,6320,193.59833,43
299,6337,76.250755,17
300,6371,147.6535,34
301,6401,134.52827,30
302,6439,166.82942,38
303,6460,95.655594,21
304,6502,179.1087,42
305,6520,79.80612,18
306,6549,131.26534,29
307,6572,102.31258,23
308,6591,82.67786,19
309,6610,87.82504,19
310,6629,86.453964,19
311,6646,75.903534,17
312,6663,73.446945,17
313,6695,151.02585,32
314,6715,93.7707,20
315,6731,71.5415,16
