episode,timestep,reward,length
1,27,124.81214807604815,27
2,44,79.48744861498098,17
3,73,139.91086396748707,29
4,90,79.41231023967819,17
5,112,106.16496781058554,22
6,162,237.63244334489357,50
7,182,96.05279861737371,20
8,219,178.75364951506208,37
9,245,123.7442600822663,26
10,270,116.50221510698366,25
11,307,172.84665793296526,37
12,337,149.58294821986604,30
13,387,249.38717311544684,50
14,404,79.46325894143487,17
15,421,79.15049636278464,17
16,444,112.0254742414819,23
17,466,104.36983806529928,22
18,495,143.54173328336947,29
19,538,217.72981217366683,43
20,594,285.69294346006933,56
21,622,129.27221920604262,28
22,679,303.37509943555153,57
23,726,235.57572064814414,47
24,745,91.2911415719717,19
25,774,138.91448754645114,29
26,849,363.7080883407596,75
27,870,99.786666479759,21
28,909,197.57096374480452,39
29,937,130.22374711018017,28
30,967,144.38690701970143,30
31,984,78.89295713059941,17
32,1001,79.33538386077471,17
33,1023,107.83384555242733,22
34,1053,145.23918468500003,30
35,1079,111.82314908380864,26
36,1101,103.76157882962292,22
37,1150,230.92291346525883,49
38,1199,232.24869588511166,49
39,1218,90.25245618110662,19
40,1243,122.90613527197193,25
41,1292,260.95756444465366,49
42,1321,134.8352755698142,29
43,1375,264.38904789620057,54
44,1395,92.01460363066994,20
45,1429,161.1044651273774,34
46,1476,219.2525794413509,47
47,1524,239.72839919571064,48
48,1573,245.01049506573688,49
49,1591,84.23135841514353,18
50,1616,121.82464749326711,25
51,1656,184.31109732800024,40
52,1704,195.42665668711598,48
53,1741,168.27406465594888,37
54,1764,104.94573718484537,23
55,1803,187.6257526645308,39
56,1843,183.4711636650673,40
57,1873,152.09893960004447,30
58,1899,125.99651630962262,26
59,1927,125.16527911897761,28
60,1974,224.65515083913294,47
61,2016,213.6311804524596,42
62,2053,176.6148312527769,37
63,2080,130.99594259816112,27
64,2110,129.24992293556846,30
65,2145,169.98839643181657,35
66,2197,263.1811936976294,52
67,2224,131.60720119170915,27
68,2264,164.934839465543,40
69,2294,131.98680510922284,30
70,2321,124.30721708685186,27
71,2358,185.80315222568822,37
72,2390,153.69205910719523,32
73,2430,184.90211741253648,40
74,2459,141.21742654830246,29
75,2495,175.73694534473182,36
76,2529,168.64984644865743,34
77,2560,147.84064910054735,31
78,2582,106.32758178415,22
79,2607,116.9029677929657,25
80,2642,154.7279499664484,35
81,2686,224.1714402159632,44
82,2725,178.86844403342462,39
83,2745,95.21219087888109,20
84,2772,128.1896623237548,27
85,2788,72.63280097733028,16
86,2826,182.66903475185833,38
87,2852,114.23111789636943,26
88,2898,207.1825893754512,46
89,2936,175.26546794146472,38
90,2986,232.48537470762741,50
91,3039,280.87832359263206,53
92,3067,127.47672814642786,28
93,3085,80.27295023303932,18
94,3101,71.47857533270947,16
95,3148,221.9773977959228,47
96,3199,264.1799462853777,51
97,3264,342.523756186296,65
98,3298,177.86728629174283,34
99,3327,138.25061390145248,29
100,3347,79.38896055771468,20
101,3410,325.66323776211743,63
102,3454,200.34637838529454,44
103,3491,167.22738653751503,37
104,3516,102.93098590945881,25
105,3531,65.76142745262663,15
106,3590,258.1493710594051,59
107,3616,115.18764285773226,26
108,3633,75.52983449561697,17
109,3661,129.41937653083994,28
110,3703,195.63114456686716,42
111,3756,241.54082083946108,53
112,3787,140.61262788724562,31
113,3820,146.82747315347376,33
114,3847,126.98096964080374,27
115,3874,129.45091135834141,27
116,3904,137.50797350921744,30
117,3950,230.54818457080881,46
118,3972,100.33785586804191,22
119,3993,93.67561082739441,21
120,4036,202.63161900068008,43
121,4053,71.05298910052824,17
122,4075,92.29300657986599,22
123,4098,94.43469636934117,23
124,4143,220.1914218829657,45
125,4192,235.63163000828658,49
126,4233,189.4506267635364,41
127,4299,325.979722169972,66
128,4344,200.64195110203525,45
129,4364,87.42480021896779,20
130,4407,191.58366384191206,43
131,4441,173.37405477790827,34
132,4487,209.44609191746179,46
133,4514,119.23046823339256,27
134,4545,145.0907031487673,31
135,4574,132.91559113568303,29
136,4631,241.95291669648756,57
137,4653,92.43015879932263,22
138,4702,230.65359137333272,49
139,4721,79.38691962238458,19
140,4739,81.1610763497656,18
141,4791,242.43245300578076,52
142,4838,219.92380300756363,47
143,4860,98.41599414077044,22
144,4893,148.47024121120702,33
145,4927,160.39565672172873,34
146,4949,90.90224300450411,22
147,5016,319.61973505090714,67
148,5054,174.50886393095067,38
149,5090,169.6978790906621,36
150,5140,230.91046718103664,50
151,5155,66.80967509358334,15
152,5179,105.34962581945692,24
153,5205,114.2366556689064,26
154,5264,270.3816484802991,59
155,5303,178.4566971938608,39
156,5349,213.10822358329727,46
157,5415,307.0799156157172,66
158,5448,146.6947947488021,33
159,5462,62.126850141724276,14
160,5511,206.20173767844426,49
161,5538,126.44647928921432,27
162,5562,108.20740111588482,24
163,5579,72.02429100100653,17
164,5622,220.20326997536245,43
165,5671,231.40371053498555,49
166,5701,142.7276978511405,30
167,5723,100.08879466114084,22
168,5768,187.72763594934432,45
169,5803,152.2956858861016,35
170,5845,193.09715601620377,42
171,5859,61.34909696140479,14
172,5913,243.6252117305881,54
173,5982,316.8905312443235,69
174,6015,151.1863075734128,33
175,6068,259.8132893323548,53
176,6137,358.6148958639786,69
177,6178,175.23622821947416,41
178,6222,188.2255634829652,44
179,6290,326.8385502312033,68
180,6354,274.3625706598168,64
181,6375,92.70198435646027,21
182,6401,123.3482126798867,26
183,6418,76.61250101657754,17
184,6436,81.54254480697757,18
185,6475,185.4464528925289,39
186,6519,218.69565822909462,44
187,6551,136.10469982034402,32
188,6565,61.882382480242164,14
189,6603,173.08509609604678,38
190,6649,228.87400567517332,46
191,6683,165.0525434054092,34
192,6760,369.61267305865795,77
193,6793,151.16039464390997,33
194,6822,133.4998651765457,29
195,6840,81.88374513876269,18
196,6872,148.40651935589833,32
197,6890,80.27797099124193,18
198,6911,91.5016305108166,21
199,6970,280.4488316968422,59
200,6996,118.1888258337277,26
201,7016,88.69396081575601,20
202,7033,73.60389514265673,17
203,7111,379.7592086423797,78
204,7144,152.17648492676324,33
205,7261,586.1388391233993,117
206,7325,284.717502463901,64
207,7359,142.24130382187218,34
208,7418,280.4731631324819,59
209,7502,425.7550874839035,84
210,7557,209.58476473778467,55
211,7572,66.3827334379418,15
212,7621,225.64383076313806,49
213,7665,207.33201490075493,44
214,7707,195.99302829803085,42
215,7779,355.1694410230871,72
216,7830,253.9822050111151,51
217,7884,257.3026304428059,54
218,7915,144.8178562474921,31
219,7964,239.6111751621694,49
220,8009,203.4184255813043,45
221,8025,71.17711970682413,16
222,8053,129.137802611687,28
223,8107,209.89592576300973,54
224,8160,255.8727065958818,53
225,8180,76.34985668906495,20
226,8202,90.67539262409514,22
227,8243,172.5397109941044,41
228,8269,109.70156900861683,26
229,8339,325.0422956620267,70
230,8387,210.1672878921732,48
231,8456,308.22593532809583,69
232,8495,193.90674708636874,39
233,8528,137.9413975340504,33
234,8555,126.7241640700338,27
235,8619,267.2521803372191,64
236,8649,124.27706103918061,30
237,8710,262.95298094392285,61
238,8750,172.13721066177857,40
239,8797,213.61794152336515,47
240,8820,96.06805980926902,23
241,8902,419.5810140959326,82
242,8920,78.76848362188625,18
243,8940,92.9899261325491,20
244,8962,100.69494797500744,22
245,8984,94.03021521983841,22
246,9032,219.4063774348277,48
247,9053,90.73815743226655,21
248,9078,114.43933882520246,25
249,9151,276.68634174238616,73
250,9168,74.66595187760463,17
251,9205,172.00520826924654,37
252,9236,139.8203772134569,31
