episode,timestep,reward,length
1,29,139.4717,29
2,61,143.13454,32
3,81,95.22231,20
4,101,90.505035,20
5,115,61.53767,14
6,130,64.23655,15
7,144,60.349033,14
8,158,58.191635,14
9,172,58.46841,14
10,186,59.12304,14
11,200,59.195023,14
12,214,59.172707,14
13,228,59.55506,14
14,242,58.757694,14
15,256,59.496292,14
16,270,58.39504,14
17,284,58.82508,14
18,298,58.677105,14
19,312,59.257195,14
20,326,57.40256,14
21,340,59.24609,14
22,354,58.992435,14
23,368,57.62218,14
24,382,58.43894,14
25,396,59.141617,14
26,410,58.667366,14
27,424,58.670254,14
28,438,58.966686,14
29,452,58.741543,14
30,466,58.95627,14
31,480,58.772675,14
32,494,59.67453,14
33,508,57.219486,14
34,522,59.36327,14
35,536,60.35079,14
36,550,60.64182,14
37,564,59.290413,14
38,578,60.81265,14
39,592,60.688812,14
40,606,60.859325,14
41,620,60.600113,14
42,635,48.755486,15
43,650,46.67851,15
44,665,47.599014,15
45,680,46.743065,15
46,695,49.41325,15
47,709,42.21639,14
48,724,46.456093,15
49,739,46.299797,15
50,754,47.568504,15
51,769,47.496464,15
52,783,42.06787,14
53,798,50.3978,15
54,813,47.051044,15
55,828,46.846592,15
56,842,43.186676,14
57,857,49.136242,15
58,872,46.852436,15
59,887,46.928417,15
60,901,42.039055,14
61,916,48.015053,15
62,930,45.613216,14
63,945,46.700764,15
64,959,42.55033,14
65,973,44.161858,14
66,988,47.261063,15
67,1003,47.60682,15
68,1017,43.238823,14
69,1032,47.118202,15
70,1047,49.693687,15
71,1061,46.088867,14
72,1076,46.88823,15
73,1091,47.50647,15
74,1106,46.854557,15
75,1121,46.876034,15
76,1135,42.450092,14
77,1150,46.907597,15
78,1165,48.10838,15
79,1207,153.33652,42
80,1240,164.60614,33
81,1274,172.13135,34
82,1311,184.67978,37
83,1348,188.75497,37
84,1383,173.09839,35
85,1421,191.74525,38
86,1459,192.31445,38
87,1495,180.27353,36
88,1532,183.51682,37
89,1567,171.09608,35
90,1605,192.77399,38
91,1642,186.30368,37
92,1674,158.28986,32
93,1713,197.55106,39
94,1753,204.83826,40
95,1789,181.12027,36
96,1825,176.82135,36
97,1859,172.3647,34
98,1894,172.44969,35
99,1932,191.42104,38
100,1966,171.58781,34
101,2003,187.14807,37
102,2040,183.01372,37
103,2079,182.21375,39
104,2108,129.56621,29
105,2137,123.27615,29
106,2171,157.382,34
107,2194,90.83497,23
108,2217,95.14545,23
109,2239,92.05171,22
110,2262,95.53371,23
111,2284,91.74257,22
112,2306,89.09579,22
113,2328,91.89516,22
114,2350,90.19285,22
115,2372,85.75072,22
116,2395,97.15108,23
117,2417,93.44518,22
118,2439,95.40122,22
119,2461,91.95765,22
120,2484,97.942085,23
121,2507,99.017296,23
122,2530,99.75016,23
123,2553,97.96794,23
124,2576,99.048256,23
125,2599,98.908485,23
126,2621,92.81495,22
127,2644,96.58696,23
128,2666,89.03167,22
129,2688,89.96458,22
130,2710,88.79934,22
131,2733,97.99437,23
132,2756,99.62366,23
133,2790,161.37859,34
134,2821,140.3874,31
135,2852,137.99362,31
136,2884,144.02548,32
137,2918,163.13663,34
138,2950,143.56961,32
139,2975,107.51339,25
140,3002,118.06116,27
141,3028,112.50743,26
142,3065,178.2953,37
143,3094,133.23259,29
144,3130,172.01134,36
145,3166,170.7736,36
146,3200,162.53122,34
147,3232,156.42484,32
148,3265,164.65361,33
149,3298,164.58994,33
150,3330,157.57294,32
151,3364,168.75597,34
152,3396,157.39825,32
153,3429,162.38043,33
154,3460,152.94583,31
155,3492,157.9984,32
156,3525,154.32817,33
157,3559,161.32927,34
158,3594,175.64053,35
159,3627,163.02196,33
160,3658,152.3884,31
161,3689,151.224,31
162,3721,158.80473,32
163,3755,159.88596,34
164,3788,162.6584,33
165,3819,152.00185,31
166,3851,156.37047,32
167,3882,149.96613,31
168,3913,153.80365,31
169,3945,157.9123,32
170,3978,163.60071,33
171,4010,158.74287,32
172,4043,163.9377,33
173,4076,163.66165,33
174,4108,156.29604,32
175,4140,156.789,32
176,4174,168.03389,34
177,4208,160.14171,34
178,4241,164.28777,33
179,4275,160.63348,34
180,4309,162.20357,34
181,4342,153.11563,33
182,4378,171.72815,36
183,4409,151.69571,31
184,4442,163.2046,33
185,4474,156.96039,32
186,4509,165.39066,35
187,4539,145.9423,30
188,4572,164.60454,33
189,4605,163.69699,33
190,4637,156.75519,32
191,4670,162.32716,33
192,4702,156.95055,32
193,4734,157.69516,32
194,4765,152.21455,31
195,4795,145.32288,30
196,4829,161.42735,34
197,4863,168.55963,34
198,4896,156.01303,33
199,4928,158.23851,32
200,4961,163.481,33
201,4994,154.24684,33
202,5026,156.38264,32
203,5059,162.65208,33
204,5090,150.39429,31
205,5121,150.36096,31
206,5152,152.3531,31
207,5184,156.04492,32
208,5216,157.76001,32
209,5249,164.97348,33
210,5282,161.98038,33
211,5314,158.33336,32
212,5347,153.03856,33
213,5380,162.20103,33
214,5412,156.51128,32
215,5444,157.71239,32
216,5477,164.56741,33
217,5511,161.37294,34
218,5544,161.94756,33
219,5578,160.86938,34
220,5611,164.033,33
221,5644,163.6955,33
222,5676,157.99747,32
223,5711,164.91577,35
224,5745,168.71368,34
225,5776,153.06567,31
226,5810,168.45811,34
227,5843,163.6358,33
228,5873,146.57176,30
229,5906,163.77426,33
230,5938,157.55077,32
231,5972,168.68275,34
232,6003,152.40079,31
233,6035,159.17317,32
234,6068,162.70425,33
235,6100,156.65805,32
236,6131,151.82799,31
237,6164,153.62692,33
238,6195,152.3173,31
239,6228,164.37718,33
240,6261,163.55435,33
241,6296,163.65262,35
242,6328,158.14442,32
243,6359,152.13309,31
244,6391,157.3491,32
245,6423,159.445,32
246,6455,156.8734,32
247,6488,161.37791,33
248,6520,157.88306,32
249,6553,162.16714,33
250,6586,163.50139,33
251,6621,167.4995,35
252,6654,164.06638,33
253,6688,169.86932,34
254,6721,162.81088,33
255,6753,157.56705,32
256,6786,162.48116,33
257,6819,154.6417,33
258,6854,165.9018,35
259,6886,156.70378,32
260,6920,160.01825,34
261,6954,167.88153,34
262,6988,159.5764,34
263,7021,162.84378,33
264,7053,157.5182,32
265,7085,157.64229,32
266,7118,162.28552,33
267,7150,157.5785,32
268,7181,151.6742,31
269,7213,156.169,32
270,7247,161.70941,34
271,7278,152.84286,31
272,7311,163.18916,33
273,7345,158.74222,34
274,7376,152.63535,31
275,7408,156.93985,32
276,7443,168.25662,35
277,7475,157.4757,32
