episode,timestep,reward,length
1,18,80.56116,18
2,49,131.43239,31
3,66,76.55952,17
4,97,136.50745,31
5,113,67.94513,16
6,143,138.93623,30
7,160,76.44734,17
8,178,79.885414,18
9,197,86.299774,19
10,218,94.28435,21
11,245,118.09044,27
12,273,113.13679,28
13,290,76.577255,17
14,318,122.522125,28
15,340,99.16672,22
16,356,71.003784,16
17,381,114.74424,25
18,400,82.91842,19
19,422,93.8145,22
20,440,81.788635,18
21,460,83.39111,20
22,481,89.82799,21
23,502,95.24817,21
24,529,117.57542,27
25,559,130.68701,30
26,577,81.82605,18
27,605,126.01557,28
28,636,125.49357,31
29,659,98.57322,23
30,678,86.010925,19
31,696,83.2582,18
32,728,151.36375,32
33,749,95.413315,21
34,778,137.63931,29
35,798,92.886696,20
36,825,118.958534,27
37,842,73.96436,17
38,867,115.55506,25
39,896,135.97255,29
40,935,189.67638,39
41,963,133.48146,28
42,980,72.652084,17
43,1008,120.18931,28
44,1024,71.45612,16
45,1041,76.49408,17
46,1059,82.44207,18
47,1075,68.5849,16
48,1091,69.783394,16
49,1140,199.74512,49
50,1180,182.62338,40
51,1200,87.72318,20
52,1231,142.78275,31
53,1260,131.54944,29
54,1295,161.94006,35
55,1315,89.18932,20
56,1336,93.38151,21
57,1383,208.81909,47
58,1410,123.33664,27
59,1428,81.4325,18
60,1446,80.76341,18
61,1462,68.72098,16
62,1483,97.18115,21
63,1520,154.7662,37
64,1549,137.4366,29
65,1567,81.50823,18
66,1594,109.66333,27
67,1611,75.8042,17
68,1643,147.88286,32
69,1662,85.94174,19
70,1686,109.29318,24
71,1715,124.5932,29
72,1735,90.58752,20
73,1758,104.88587,23
74,1776,81.28076,18
75,1808,148.27983,32
76,1824,68.84105,16
77,1841,75.08006,17
78,1870,123.21462,29
79,1888,80.587654,18
80,1907,83.60838,19
81,1928,95.720474,21
82,1946,81.52749,18
83,1969,99.1757,23
84,1985,70.92263,16
85,2006,81.33033,21
86,2023,75.83768,17
87,2044,91.74675,21
88,2062,81.27439,18
89,2082,90.16764,20
90,2107,119.02346,25
91,2125,80.36216,18
92,2143,79.93928,18
93,2159,70.79415,16
94,2177,82.08031,18
95,2194,76.405045,17
96,2213,84.343765,19
97,2243,142.453,30
98,2271,124.31882,28
99,2288,73.22319,17
100,2305,75.98138,17
101,2324,86.33461,19
102,2341,76.37302,17
103,2359,78.57298,18
104,2387,127.197296,28
105,2419,150.83789,32
106,2440,98.27708,21
107,2459,86.81268,19
108,2479,91.566376,20
109,2504,112.486435,25
110,2524,89.66806,20
111,2559,153.61842,35
112,2577,80.40284,18
113,2598,93.67532,21
114,2616,79.852715,18
115,2649,156.41814,33
116,2675,113.42741,26
117,2702,124.356514,27
118,2721,81.645546,19
119,2742,96.84092,21
120,2766,112.00674,24
121,2794,120.28145,28
122,2810,71.54509,16
123,2836,116.33467,26
124,2865,128.80754,29
125,2882,76.21734,17
126,2899,72.42135,17
127,2931,149.31587,32
128,2965,152.80345,34
129,2994,129.33766,29
130,3014,88.871346,20
131,3035,94.15956,21
132,3052,76.525185,17
133,3070,78.11934,18
134,3106,171.08551,36
135,3125,85.85159,19
136,3153,130.73326,28
137,3187,145.75473,34
138,3203,70.922485,16
139,3223,81.90968,20
140,3240,76.25407,17
141,3260,89.94296,20
142,3279,85.530334,19
143,3297,81.162,18
144,3313,69.764656,16
145,3331,79.88741,18
146,3349,80.50702,18
147,3378,141.11192,29
148,3396,80.672195,18
149,3420,107.54384,24
150,3441,94.92752,21
151,3471,136.8859,30
152,3497,119.34306,26
153,3518,94.20548,21
154,3539,90.63054,21
155,3556,76.20036,17
156,3574,82.302605,18
157,3593,85.441025,19
158,3623,145.10732,30
159,3653,132.60236,30
160,3671,79.26168,18
161,3690,82.33573,19
162,3706,70.62277,16
163,3733,116.4414,27
164,3761,127.89232,28
165,3814,233.89352,53
166,3848,163.1712,34
167,3865,76.29385,17
168,3895,135.16803,30
169,3914,84.095825,19
170,3934,91.378296,20
171,3951,75.15519,17
172,3967,67.475685,16
173,3984,75.51321,17
174,4006,99.907326,22
175,4041,156.37222,35
176,4077,158.57922,36
177,4094,76.71285,17
178,4113,82.64305,19
179,4131,81.220764,18
180,4171,170.44354,40
181,4205,146.62581,34
182,4222,76.22879,17
183,4252,138.0065,30
184,4270,81.238716,18
185,4295,108.12035,25
186,4324,121.59931,29
187,4343,83.25257,19
188,4364,97.324524,21
189,4393,129.182,29
190,4409,71.26005,16
191,4427,76.03672,18
192,4461,157.18361,34
193,4490,106.48389,29
194,4507,76.393,17
195,4542,149.12221,35
196,4568,116.560356,26
197,4585,76.249245,17
198,4602,75.743095,17
199,4620,79.93269,18
200,4638,80.4467,18
201,4664,117.55014,26
202,4687,103.59133,23
203,4715,121.055504,28
204,4741,115.63208,26
205,4760,83.4776,19
206,4781,88.89528,21
207,4799,82.60876,18
208,4817,80.72568,18
209,4838,96.758156,21
210,4856,80.94014,18
211,4881,113.922844,25
212,4897,69.397026,16
213,4920,108.543724,23
214,4937,75.85861,17
215,4957,92.23682,20
216,4975,78.88219,18
217,4991,71.65605,16
218,5023,144.26976,32
219,5045,97.38645,22
220,5085,178.83986,40
221,5102,76.38978,17
222,5120,80.69789,18
223,5145,109.24879,25
224,5164,86.87899,19
225,5187,103.832184,23
226,5204,73.88099,17
227,5234,133.16988,30
228,5251,76.2721,17
229,5293,199.83215,42
230,5313,88.65221,20
231,5340,115.61926,27
232,5357,75.30998,17
233,5388,142.65805,31
234,5410,94.116455,22
235,5427,74.88112,17
236,5452,100.74513,25
237,5481,124.01942,29
238,5499,76.51364,18
239,5525,102.01297,26
240,5546,93.567245,21
241,5575,138.19287,29
242,5595,89.56309,20
243,5613,80.781494,18
244,5645,145.16692,32
245,5663,81.285126,18
246,5681,82.0541,18
247,5698,74.67699,17
248,5727,125.90449,29
249,5745,76.77753,18
250,5777,145.68901,32
251,5795,82.10888,18
252,5828,141.84047,33
253,5849,89.08902,21
254,5870,95.58194,21
255,5892,96.730225,22
256,5925,141.98659,33
257,5948,106.44688,23
258,5966,82.835175,18
259,5988,99.5107,22
260,6017,121.92757,29
261,6044,116.18009,27
262,6064,94.288956,20
263,6086,96.3217,22
264,6103,76.33895,17
265,6121,80.99403,18
266,6140,83.86024,19
267,6158,81.396286,18
268,6183,107.37271,25
269,6218,162.40942,35
270,6237,86.51319,19
271,6261,102.88674,24
272,6278,76.502106,17
273,6295,76.28094,17
274,6326,146.47891,31
275,6345,86.12376,19
276,6386,167.8063,41
277,6413,125.88601,27
278,6430,75.9506,17
279,6456,119.02974,26
280,6479,103.87398,23
281,6501,94.64876,22
282,6553,264.52014,52
283,6588,160.7812,35
284,6612,107.434784,24
285,6644,129.89864,32
286,6663,86.57942,19
287,6687,110.79092,24
288,6722,150.50735,35
289,6740,81.27289,18
290,6756,70.12288,16
291,6779,100.48004,23
292,6806,117.592926,27
293,6838,137.05,32
294,6860,102.06865,22
295,6878,77.29018,18
296,6895,76.56332,17
297,6917,97.36115,22
298,6948,136.12303,31
299,6982,148.0106,34
300,7002,93.458275,20
301,7031,128.56491,29
302,7049,81.88055,18
303,7068,83.92737,19
304,7085,76.39725,17
305,7106,83.24065,21
306,7128,102.022736,22
307,7150,96.656624,22
308,7167,76.10247,17
309,7187,92.87184,20
310,7204,74.38613,17
311,7224,91.66311,20
312,7278,278.95303,54
313,7302,110.79709,24
314,7320,80.28427,18
315,7338,80.44469,18
