episode,timestep,reward,length
1,17,76.324425,17
2,35,83.41486,18
3,61,116.22346,26
4,82,99.3571,21
5,124,201.49069,42
6,141,76.68997,17
7,158,78.43694,17
8,175,78.44168,17
9,193,82.49823,18
10,215,101.590195,22
11,234,89.77564,19
12,271,178.95517,37
13,289,82.8393,18
14,320,140.2479,31
15,340,94.91951,20
16,362,94.24632,22
17,379,76.16104,17
18,396,78.261955,17
19,424,128.52257,28
20,440,73.094124,16
21,456,73.24188,16
22,477,98.16367,21
23,494,78.26013,17
24,514,90.101364,20
25,531,78.597755,17
26,551,92.89469,20
27,569,84.59562,18
28,588,87.08575,19
29,608,90.122314,20
30,626,83.31035,18
31,643,78.162766,17
32,660,78.329994,17
33,676,73.01918,16
34,692,73.188675,16
35,709,76.95566,17
36,726,77.66833,17
37,742,73.471214,16
38,759,73.32314,17
39,776,77.44452,17
40,804,122.25217,28
41,821,78.528435,17
42,840,86.88561,19
43,858,82.10381,18
44,875,76.57845,17
45,893,81.4501,18
46,911,82.99421,18
47,933,99.914345,22
48,951,83.54504,18
49,970,87.91338,19
50,995,107.534134,25
51,1014,90.48031,19
52,1035,94.46594,21
53,1059,105.30996,24
54,1078,87.3602,19
55,1098,94.74278,20
56,1119,93.4914,21
57,1138,89.73264,19
58,1155,78.577446,17
59,1173,83.29438,18
60,1192,84.08218,19
61,1209,78.55638,17
62,1227,83.1701,18
63,1245,83.395325,18
64,1262,78.34172,17
65,1278,72.82866,16
66,1297,88.821365,19
67,1315,82.15694,18
68,1334,88.77052,19
69,1351,78.284424,17
70,1368,78.25109,17
71,1386,83.611916,18
72,1406,92.493065,20
73,1422,71.4931,16
74,1443,99.76353,21
75,1460,76.52353,17
76,1476,72.65004,16
77,1493,78.116234,17
78,1510,78.52545,17
79,1528,82.63702,18
80,1545,77.905334,17
81,1562,75.786514,17
82,1584,102.65032,22
83,1603,88.127945,19
84,1621,82.9792,18
85,1642,97.062065,21
86,1666,110.1219,24
87,1687,98.18803,21
88,1721,166.51385,34
89,1741,92.85351,20
90,1776,156.56982,35
91,1795,89.49751,19
92,1817,104.61306,22
93,1841,113.886444,24
94,1864,107.115265,23
95,1886,103.78137,22
96,1907,97.80747,21
97,1937,136.86674,30
98,1962,117.83907,25
99,1999,177.2928,37
100,2040,197.60963,41
101,2092,274.37183,52
102,2155,294.86816,63
103,2207,253.07721,52
104,2256,234.09248,49
105,2302,200.4287,46
106,2372,336.05298,70
107,2429,294.22287,57
108,2490,311.6367,61
109,2565,378.88217,75
110,2628,325.52237,63
111,2701,349.9922,73
112,2759,288.7004,58
113,2805,240.11694,46
114,2867,325.30692,62
115,2956,462.6753,89
116,3020,326.15323,64
117,3079,263.44736,59
118,3154,368.27872,75
119,3218,341.49854,64
120,3275,296.19644,57
121,3336,273.9877,61
122,3391,288.68222,55
123,3468,388.2092,77
124,3525,306.8504,57
125,3587,329.3157,62
126,3690,483.31107,103
127,3759,361.83575,69
128,3822,325.4052,63
129,3890,351.94547,68
130,3952,335.88776,62
131,4008,277.31506,56
132,4081,324.74554,73
133,4146,308.58292,65
134,4202,298.30954,56
135,4281,383.0009,79
136,4336,247.90501,55
137,4442,496.24103,106
138,4539,504.4085,97
139,4605,326.70816,66
140,4675,352.07703,70
141,4751,369.1272,76
142,4833,411.91544,82
143,4897,301.21164,64
144,4963,301.51767,66
145,5027,281.83728,64
146,5095,290.5455,68
147,5157,328.17792,62
148,5252,435.16907,95
149,5310,300.10495,58
150,5375,335.65677,65
151,5461,431.43817,86
152,5538,394.33032,77
153,5593,287.29712,55
154,5644,269.33112,51
155,5705,322.37607,61
156,5768,333.63947,63
157,5868,446.91187,100
158,5937,366.00592,69
159,5990,282.2193,53
160,6057,350.8672,67
161,6116,311.7583,59
162,6182,329.2613,66
163,6239,299.0129,57
164,6296,297.51288,57
165,6360,332.77597,64
166,6416,298.53183,56
167,6497,414.52206,81
168,6555,293.4521,58
169,6609,288.29773,54
170,6665,291.86163,56
171,6725,316.1988,60
172,6782,289.71136,57
173,6846,310.53024,64
174,6927,370.9015,81
175,6980,275.47708,53
176,7027,236.48416,47
177,7102,394.9705,75
178,7152,267.57742,50
179,7215,332.94223,63
180,7290,398.44833,75
181,7353,334.8949,63
182,7400,234.30464,47
183,7463,332.02148,63
184,7516,245.39124,53
185,7566,235.26402,50
186,7631,341.49188,65
187,7681,247.97836,50
188,7765,423.04218,84
189,7815,256.57962,50
190,7862,233.25652,47
191,7912,258.36575,50
192,7991,380.41345,79
193,8051,287.09473,60
194,8108,298.04922,57
195,8158,262.6237,50
196,8237,395.9012,79
197,8280,219.93816,43
198,8343,320.07388,63
199,8406,323.5516,63
200,8459,243.94904,53
