episode,timestep,reward,length
1,27,128.15459,27
2,60,152.54407,33
3,93,152.36229,33
4,123,133.45164,30
5,136,53.036144,13
6,150,54.401176,14
7,165,62.396458,15
8,181,70.35806,16
9,197,67.60146,16
10,213,70.245895,16
11,229,70.16522,16
12,245,70.18012,16
13,261,70.26325,16
14,277,70.05101,16
15,293,70.06759,16
16,309,70.110344,16
17,325,70.31523,16
18,341,70.33076,16
19,357,70.35083,16
20,373,70.237305,16
21,389,70.234795,16
22,405,70.24824,16
23,421,70.00875,16
24,437,70.36625,16
25,453,70.003296,16
26,469,69.97057,16
27,485,70.075935,16
28,501,70.264404,16
29,517,69.9329,16
30,533,70.08593,16
31,549,69.98676,16
32,565,70.17504,16
33,581,70.20023,16
34,597,70.14557,16
35,613,70.18193,16
36,629,70.14216,16
37,645,69.97672,16
38,661,70.065834,16
39,677,70.04134,16
40,693,69.97557,16
41,709,70.01217,16
42,725,70.300835,16
43,741,70.285614,16
44,757,70.292175,16
45,773,70.11739,16
46,789,70.128265,16
47,805,70.20774,16
48,821,70.21741,16
49,837,70.00117,16
50,853,69.797,16
51,868,65.35829,15
52,883,65.08305,15
53,898,65.05218,15
54,913,64.56124,15
55,928,63.749683,15
56,943,65.09549,15
57,958,65.284065,15
58,973,65.07581,15
59,988,65.07255,15
60,1004,70.036026,16
61,1020,70.041824,16
62,1035,65.687294,15
63,1051,70.17629,16
64,1066,65.40027,15
65,1082,70.09936,16
66,1097,65.48512,15
67,1113,70.49656,16
68,1129,70.09811,16
69,1145,70.42791,16
70,1161,70.283295,16
71,1177,70.10742,16
72,1193,70.371,16
73,1209,70.17947,16
74,1225,70.47531,16
75,1240,65.90583,15
76,1255,65.39892,15
77,1271,70.435135,16
78,1286,65.65621,15
79,1302,70.368195,16
80,1318,70.212204,16
81,1333,65.501495,15
82,1349,70.36999,16
83,1364,65.6404,15
84,1380,70.22079,16
85,1396,70.265396,16
86,1412,70.18167,16
87,1428,70.43811,16
88,1444,70.27553,16
89,1460,70.35256,16
90,1476,70.06084,16
91,1491,65.67961,15
92,1507,70.3118,16
93,1523,70.4393,16
94,1539,70.48325,16
95,1555,70.53561,16
96,1571,70.605965,16
97,1587,70.477486,16
98,1603,70.08854,16
99,1619,70.25679,16
100,1635,70.21944,16
101,1650,65.53098,15
102,1666,70.14153,16
103,1682,70.27259,16
104,1697,65.574585,15
105,1713,70.2338,16
106,1729,70.44541,16
107,1744,65.50567,15
108,1759,65.840294,15
109,1774,65.559395,15
110,1790,70.47824,16
111,1805,65.545784,15
112,1821,70.533936,16
113,1837,70.14122,16
114,1853,70.25983,16
115,1869,70.49194,16
116,1884,65.74378,15
117,1900,70.33396,16
118,1916,70.20139,16
119,1932,70.31609,16
120,1948,70.32271,16
121,1964,70.037384,16
122,1980,70.460236,16
123,1996,70.47164,16
124,2011,65.56123,15
125,2027,70.47238,16
126,2043,70.22927,16
127,2059,70.41247,16
128,2075,70.2834,16
129,2091,70.293106,16
130,2106,65.44959,15
131,2121,65.64575,15
132,2136,65.562325,15
133,2151,65.60277,15
134,2167,70.319305,16
135,2182,65.80495,15
136,2197,65.563484,15
137,2213,70.38578,16
138,2229,70.418724,16
139,2245,70.42117,16
140,2261,70.29831,16
141,2276,65.73952,15
142,2292,70.38986,16
143,2308,70.424675,16
144,2324,70.19355,16
145,2340,70.44912,16
146,2356,70.43806,16
147,2371,65.408516,15
148,2387,70.23838,16
149,2402,65.771065,15
150,2418,70.32194,16
151,2433,65.76758,15
152,2449,70.47873,16
153,2465,70.26211,16
154,2481,70.043205,16
155,2497,70.40421,16
156,2513,70.33885,16
157,2529,70.16399,16
158,2544,65.7704,15
159,2560,70.251755,16
160,2576,70.371796,16
161,2592,70.53963,16
162,2607,65.839355,15
163,2623,70.378716,16
164,2639,70.33165,16
165,2655,70.17882,16
166,2670,65.54721,15
167,2686,70.257126,16
168,2702,70.25681,16
169,2717,65.66008,15
170,2733,70.56456,16
171,2749,70.373566,16
172,2765,70.18782,16
173,2781,70.24212,16
174,2797,70.30873,16
175,2813,70.35922,16
176,2829,70.22036,16
177,2845,70.38241,16
178,2861,70.11182,16
179,2877,70.22963,16
180,2892,65.69365,15
181,2908,70.44789,16
182,2924,70.28562,16
183,2940,70.13087,16
184,2956,70.37894,16
185,2971,65.32867,15
186,2987,70.21359,16
187,3003,70.16722,16
188,3019,70.486046,16
189,3035,70.196945,16
190,3050,65.39102,15
191,3066,70.38891,16
192,3081,65.46552,15
193,3096,65.30751,15
194,3112,70.25238,16
195,3127,65.38987,15
196,3143,70.21541,16
197,3159,70.20747,16
198,3175,70.2629,16
199,3190,65.71121,15
200,3206,70.41316,16
201,3222,70.4104,16
202,3238,70.2976,16
203,3253,65.467865,15
204,3269,70.11698,16
205,3285,70.18731,16
206,3301,70.23172,16
207,3317,70.271,16
208,3332,65.373795,15
209,3348,70.319435,16
210,3363,65.45795,15
211,3379,70.143105,16
212,3395,70.323166,16
213,3410,65.67408,15
214,3426,70.28459,16
215,3442,70.41738,16
216,3458,70.04506,16
217,3474,70.39002,16
218,3489,65.489334,15
219,3504,65.716225,15
220,3520,70.13528,16
221,3536,70.165855,16
222,3552,70.336494,16
223,3568,70.16175,16
224,3584,70.099304,16
225,3600,70.29881,16
226,3616,70.34765,16
227,3632,70.23732,16
228,3648,70.50581,16
229,3663,65.56526,15
230,3679,70.25078,16
231,3695,70.29216,16
232,3711,70.04552,16
233,3727,70.32049,16
234,3743,70.114426,16
235,3759,70.43884,16
236,3775,70.41333,16
237,3791,70.291885,16
238,3807,70.019485,16
239,3823,69.963486,16
240,3839,70.30559,16
241,3855,70.35363,16
242,3871,70.10104,16
243,3887,70.40928,16
244,3903,70.32914,16
245,3918,65.52077,15
246,3934,70.53472,16
247,3950,70.5263,16
248,3966,70.27365,16
249,3981,65.507416,15
250,3997,70.37938,16
251,4013,70.14437,16
252,4028,65.50212,15
253,4044,70.38193,16
254,4060,70.52884,16
255,4076,70.366516,16
256,4092,70.18395,16
257,4107,65.65089,15
258,4123,70.4327,16
259,4139,70.18418,16
260,4155,70.22336,16
261,4171,70.44181,16
262,4186,65.469055,15
263,4202,70.138176,16
264,4218,70.101036,16
265,4234,70.18602,16
266,4250,70.2052,16
267,4266,70.09991,16
268,4282,70.03519,16
269,4298,70.31068,16
270,4314,70.19605,16
271,4330,70.17018,16
272,4345,65.27083,15
273,4360,65.546585,15
274,4376,70.25994,16
275,4392,70.36177,16
276,4408,70.24946,16
277,4424,70.26169,16
278,4440,70.15244,16
279,4456,70.2593,16
280,4471,65.72324,15
