episode,timestep,reward,length
1,20,93.68948,20
2,41,100.52856,21
3,60,89.64354,19
4,80,93.76888,20
5,114,159.24956,34
6,144,133.9475,30
7,176,152.82518,32
8,197,96.98901,21
9,216,88.64058,19
10,237,99.422874,21
11,257,93.962654,20
12,283,124.279396,26
13,313,133.89746,30
14,331,82.97251,18
15,357,115.812096,26
16,373,73.51035,16
17,395,102.61376,22
18,418,107.19031,23
19,444,118.99365,26
20,464,93.02782,20
21,495,142.99959,31
22,513,81.759315,18
23,555,203.09673,42
24,575,94.0013,20
25,595,91.731026,20
26,629,161.6022,34
27,647,84.67705,18
28,673,114.76552,26
29,694,98.49115,21
30,716,101.36206,22
31,737,100.8102,21
32,771,167.65953,34
33,794,109.87416,23
34,814,93.19185,20
35,834,93.50532,20
36,854,94.40339,20
37,880,122.5578,26
38,896,72.93001,16
39,917,97.69774,21
40,934,76.504814,17
41,956,103.56295,22
42,976,94.91601,20
43,993,78.17256,17
44,1009,72.431,16
45,1029,94.759186,20
46,1051,104.837265,22
47,1073,101.43236,22
48,1089,73.48485,16
49,1106,78.1997,17
50,1123,76.6228,17
51,1141,82.25945,18
52,1158,78.29102,17
53,1177,88.94145,19
54,1196,86.97006,19
55,1217,97.67328,21
56,1234,77.88719,17
57,1258,108.30931,24
58,1285,129.38837,27
59,1320,155.31071,35
60,1358,159.76482,38
61,1378,93.5666,20
62,1396,81.20513,18
63,1425,135.18042,29
64,1453,130.78833,28
65,1480,123.91737,27
66,1497,77.492134,17
67,1516,88.61994,19
68,1535,88.04927,19
69,1556,93.64753,21
70,1594,168.24005,38
71,1622,131.17453,28
72,1654,138.37117,32
73,1686,153.3867,32
74,1711,118.18654,25
75,1746,162.69757,35
76,1779,159.86987,33
77,1806,126.54836,27
78,1847,181.48976,41
79,1879,149.9558,32
80,1909,139.05614,30
81,1936,125.95974,27
82,1986,231.83423,50
83,2049,298.81882,63
84,2092,215.34477,43
85,2128,177.05788,36
86,2190,295.97653,62
87,2234,212.9516,44
88,2281,236.68623,47
89,2331,238.57138,50
90,2360,138.31052,29
91,2412,243.2848,52
92,2469,282.19922,57
93,2538,337.51532,69
94,2581,196.73492,43
95,2604,100.95959,23
96,2642,166.61368,38
97,2702,297.3093,60
98,2780,338.43845,78
99,2825,212.3578,45
100,2893,345.82697,68
101,2974,413.93042,81
102,3023,224.17227,49
103,3092,320.3818,69
104,3188,407.723,96
105,3212,102.53687,24
106,3268,283.28558,56
107,3324,275.8748,56
108,3374,219.62047,50
109,3406,144.27684,32
110,3459,248.2921,53
111,3496,157.35626,37
112,3521,108.053375,25
113,3547,114.02752,26
114,3583,156.76044,36
115,3607,103.7778,24
116,3641,150.10768,34
117,3661,86.87084,20
118,3711,234.3899,50
119,3785,359.4636,74
120,3847,296.41483,62
121,3930,341.34723,83
122,3988,289.4305,58
123,4053,325.91336,65
124,4115,297.75568,62
125,4160,214.66524,45
126,4234,373.6064,74
127,4285,254.25177,51
128,4338,251.67677,53
129,4393,257.70953,55
130,4437,198.45662,44
131,4489,231.75465,52
132,4539,236.15645,50
133,4604,327.47705,65
134,4637,156.22203,33
135,4706,333.2823,69
136,4770,301.59924,64
137,4905,655.7147,135
138,4965,270.2932,60
139,5067,443.67108,102
140,5116,233.62431,49
141,5171,254.80655,55
142,5213,183.22018,42
143,5299,368.05292,86
144,5343,217.35846,44
145,5393,251.95245,50
146,5458,323.61417,65
147,5565,508.66312,107
148,5675,479.04666,110
149,5721,226.78638,46
150,5770,243.95691,49
151,5821,262.04202,51
152,5870,243.49818,49
153,5915,229.16602,45
154,5967,274.3853,52
155,6016,243.04132,49
156,6068,268.2042,52
157,6118,257.5459,50
158,6189,355.74652,71
159,6241,275.504,52
160,6302,314.40637,61
161,6353,268.61465,51
162,6393,196.16203,40
163,6450,282.34314,57
164,6532,415.0867,82
165,6578,222.1715,46
166,6633,286.28104,55
167,6675,204.04648,42
168,6733,283.48642,58
169,6792,296.75632,59
170,6860,329.0043,68
171,6931,339.49435,71
172,7008,359.44153,77
173,7064,282.37985,56
174,7148,390.03717,84
175,7198,258.29126,50
176,7263,311.05353,65
177,7313,242.53004,50
178,7364,236.54478,51
179,7434,323.84738,70
180,7488,271.37924,54
181,7545,280.1494,57
182,7607,291.51074,62
183,7690,336.07272,83
184,7755,294.62317,65
185,7814,281.2159,59
186,7882,309.5443,68
187,7950,325.65262,68
188,8007,289.4933,57
189,8086,389.4259,79
190,8146,295.00473,60
191,8205,271.29642,59
192,8268,311.29294,63
193,8317,243.34875,49
194,8385,329.1333,68
195,8451,314.5763,66
196,8513,300.2451,62
197,8568,273.3143,55
198,8635,334.3071,67
199,8701,341.31934,66
200,8775,352.56,74
201,8852,357.8162,77
202,8919,343.58942,67
203,9006,382.67844,87
204,9067,301.34573,61
205,9126,301.4574,59
206,9175,249.48128,49
207,9227,268.45892,52
208,9295,346.05713,68
209,9356,324.1834,61
210,9426,364.1522,70
211,9515,386.02548,89
212,9605,392.29498,90
213,9677,313.90952,72
214,9757,406.75916,80
215,9827,345.48642,70
216,9898,333.60373,71
217,9994,433.1233,96
218,10052,277.74118,58
219,10129,384.64487,77
220,10220,410.77103,91
221,10306,391.7308,86
222,10338,151.92645,32
223,10427,443.65628,89
224,10505,418.00894,78
225,10551,218.19508,46
226,10628,391.6179,77
227,10676,241.5997,48
228,10727,255.26288,51
229,10781,275.52646,54
230,10824,214.06174,43
231,10881,287.01477,57
232,10924,216.507,43
233,10982,295.8046,58
234,11046,311.7001,64
235,11175,632.2327,129
236,11285,494.62778,110
237,11338,270.5669,53
238,11393,283.80743,55
239,11461,344.48428,68
240,11535,363.05313,74
241,11591,274.91367,56
242,11668,343.28088,77
243,11732,321.54623,64
244,11810,404.84558,78
245,11950,713.5352,140
246,12020,312.39325,70
247,12087,306.5594,67
248,12143,250.16966,56
249,12186,202.72206,43
250,12239,254.88338,53
251,12296,280.31754,57
252,12365,352.70288,69
253,12412,224.51555,47
254,12469,286.91818,57
255,12547,397.99753,78
256,12620,308.6841,73
257,12715,495.73425,95
258,12775,287.14304,60
259,12829,249.23108,54
260,12917,447.35257,88
261,12987,343.09454,70
262,13055,324.7242,68
263,13110,248.98416,55
264,13173,302.0385,63
265,13226,233.4943,53
266,13294,330.13748,68
267,13384,475.8692,90
268,13446,279.2332,62
269,13524,360.21716,78
270,13588,301.70425,64
271,13705,512.09076,117
272,13777,310.4842,72
273,13862,387.1366,85
274,13940,354.9337,78
275,14007,327.3596,67
276,14060,240.64825,53
277,14166,476.77222,106
278,14229,284.28418,63
279,14306,375.9491,77
280,14389,399.6944,83
281,14485,425.3858,96
282,14573,433.26648,88
283,14649,350.49002,76
284,14751,483.8944,102
285,14876,584.45105,125
286,14965,383.16306,89
287,15035,309.54736,70
288,15096,300.01895,61
289,15166,331.27783,70
290,15275,535.49493,109
291,15341,328.5191,66
292,15405,326.78287,64
293,15481,391.1341,76
294,15529,234.0343,48
295,15590,302.76517,61
296,15654,316.61078,64
297,15713,291.85995,59
298,15755,208.5055,42
299,15808,271.52988,53
300,15894,444.48822,86
301,15968,362.59048,74
302,16032,320.04294,64
303,16100,310.79678,68
304,16164,307.73633,64
305,16243,399.29367,79
306,16310,334.1805,67
307,16359,213.02235,49
308,16448,450.48056,89
309,16525,364.62006,77
310,16598,366.03342,73
311,16674,363.1551,76
312,16731,267.58054,57
313,16786,260.13614,55
314,16842,253.66345,56
315,16889,221.80536,47
316,16947,285.09933,58
317,17032,423.55063,85
318,17107,383.64786,75
319,17174,300.8718,67
320,17242,304.95734,68
321,17330,456.07614,88
322,17400,352.26633,70
323,17475,349.63678,75
324,17540,318.88113,65
325,17598,297.18597,58
326,17673,386.8328,75
327,17774,460.772,101
328,17842,342.29056,68
329,17911,352.2608,69
330,17969,294.4631,58
331,18033,324.27914,64
332,18092,305.40494,59
333,18158,325.9524,66
334,18220,309.13867,62
335,18288,341.17566,68
336,18358,341.5497,70
337,18421,316.34778,63
338,18487,335.04422,66
339,18591,510.84537,104
340,18702,504.6031,111
341,18762,293.1721,60
342,18830,344.40793,68
343,18886,272.7548,56
344,18946,274.99985,60
345,19014,335.53134,68
346,19132,592.1439,118
347,19265,647.4006,133
348,19339,304.66574,74
349,19449,475.35974,110
350,19543,450.03848,94
351,19632,441.49673,89
352,19716,427.11377,84
353,19782,343.22467,66
354,19845,278.56393,63
355,19926,409.3106,81
356,20029,485.48395,103
357,20127,481.05392,98
358,20201,369.92728,74
359,20280,384.47177,79
360,20363,413.05347,83
361,20442,394.22232,79
362,20503,281.73807,61
363,20609,518.938,106
364,20691,347.24716,82
365,20776,389.77304,85
366,20843,278.36847,67
367,20903,300.06158,60
368,21010,479.6973,107
369,21081,359.74496,71
370,21182,433.26077,101
371,21253,313.65244,71
372,21316,304.31583,63
373,21385,284.66583,69
374,21450,276.49423,65
375,21534,430.84076,84
376,21600,302.20416,66
377,21682,354.57486,82
378,21748,277.8462,66
379,21826,399.72748,78
380,21888,252.66798,62
381,21962,348.07635,74
382,22035,342.43048,73
383,22108,353.0467,73
384,22186,400.9583,78
385,22253,298.63022,67
386,22346,399.39148,93
387,22448,476.32138,102
388,22510,265.59085,62
389,22587,333.59454,77
390,22661,309.84296,74
391,22735,326.27594,74
392,22814,340.61853,79
393,22891,378.05725,77
394,22960,322.04102,69
395,23024,297.30396,64
396,23105,381.7301,81
397,23205,496.73087,100
398,23263,226.49316,58
399,23334,338.1593,71
400,23390,252.62338,56
401,23455,321.8101,65
402,23524,296.3211,69
403,23598,316.29587,74
404,23650,208.1816,52
405,23741,405.02274,91
406,23819,358.40836,78
407,23890,339.98682,71
408,23965,383.97357,75
409,24041,367.05582,76
410,24116,335.2969,75
411,24191,340.82922,75
412,24258,308.5423,67
413,24345,402.83243,87
414,24418,331.1395,73
415,24487,302.0156,69
416,24570,417.23593,83
417,24649,358.49286,79
418,24723,342.5338,74
419,24774,241.97623,51
420,24847,311.56305,73
421,24931,346.8188,84
422,25014,353.06378,83
423,25101,368.97052,87
424,25165,311.88828,64
425,25214,232.88205,49
426,25277,292.35468,63
427,25330,248.4054,53
428,25395,298.38602,65
429,25531,600.5348,136
430,25605,318.7537,74
431,25678,315.78024,73
432,25743,276.04,65
433,25808,306.88892,65
434,25905,400.30408,97
435,26013,515.4062,108
436,26083,310.95792,70
437,26180,447.30194,97
438,26259,369.92014,79
439,26364,445.62335,105
440,26470,472.05585,106
441,26546,367.1754,76
442,26616,290.3349,70
443,26730,522.88635,114
444,26817,368.95767,87
445,26893,379.31503,76
446,26956,251.33043,63
447,27044,441.69656,88
448,27099,227.64963,55
449,27168,284.03485,69
450,27242,295.87686,74
451,27308,276.55637,66
452,27372,266.55038,64
453,27446,294.00305,74
454,27530,391.03662,84
455,27572,175.51407,42
456,27637,273.60037,65
457,27715,325.44672,78
458,27776,258.06128,61
459,27841,275.08002,65
460,27919,341.57196,78
461,27984,270.767,65
462,28052,278.0084,68
463,28113,259.51907,61
464,28192,383.19952,79
465,28291,421.74844,99
466,28400,458.9608,109
467,28486,351.3628,86
468,28559,296.9032,73
469,28643,373.905,84
470,28770,599.0208,127
471,28870,477.88614,100
472,28923,235.53816,53
473,28989,264.95874,66
474,29049,252.90968,60
475,29108,261.66788,59
476,29173,279.92245,65
477,29283,540.23004,110
478,29344,265.01797,61
479,29412,311.3971,68
480,29495,417.33566,83
481,29583,430.02533,88
482,29654,298.6049,71
483,29747,471.9014,93
484,29799,243.19055,52
485,29849,220.75258,50
486,29930,377.4861,81
487,30020,454.47458,90
488,30078,252.96141,58
489,30184,526.20624,106
490,30301,565.601,117
491,30397,478.96515,96
492,30508,528.15717,111
493,30585,366.08334,77
494,30678,480.54248,93
495,30782,458.33813,104
496,30923,693.89056,141
497,30982,256.08398,59
498,31046,299.80402,64
499,31137,396.52942,91
500,31213,347.85092,76
501,31286,303.04364,73
502,31328,190.27893,42
503,31400,314.76788,72
504,31468,310.68787,68
505,31546,323.14487,78
506,31620,303.1369,74
507,31679,256.81555,59
508,31756,322.5388,77
509,31834,335.1908,78
510,31891,242.79015,57
511,31942,230.77943,51
512,31997,235.4419,55
513,32083,405.9639,86
514,32157,366.75342,74
515,32230,314.47388,73
516,32321,407.24902,91
517,32386,289.83917,65
518,32438,226.17148,52
519,32516,371.73322,78
520,32608,428.5675,92
521,32675,280.35406,67
522,32762,381.33353,87
523,32858,457.6237,96
524,32944,431.04196,86
525,33008,275.79587,64
526,33121,553.3641,113
527,33213,425.0276,92
528,33283,320.67706,70
529,33364,409.46512,81
530,33428,284.36813,64
531,33492,286.90128,64
532,33598,528.8126,106
533,33701,446.8068,103
534,33803,439.69037,102
535,33880,385.21497,77
536,33965,444.41055,85
537,34038,308.25842,73
