episode,timestep,reward,length
1,17,75.15983,17
2,41,100.84735,24
3,57,71.4046,16
4,87,130.18825,30
5,103,71.11156,16
6,120,76.48005,17
7,144,107.35962,24
8,165,94.13712,21
9,185,90.95927,20
10,212,121.02058,27
11,228,70.80117,16
12,244,71.43847,16
13,261,75.41623,17
14,282,94.9378,21
15,303,88.44685,21
16,322,85.98779,19
17,353,140.26297,31
18,383,141.4549,30
19,407,106.14832,24
20,434,120.414085,27
21,468,158.05222,34
22,485,75.93892,17
23,501,71.25031,16
24,531,123.674675,30
25,548,73.48792,17
26,566,80.43838,18
27,594,123.705025,28
28,618,112.685715,24
29,654,161.91837,36
30,670,70.48586,16
31,693,103.10801,23
32,710,76.36669,17
33,729,84.48095,19
34,752,91.08046,23
35,784,143.76102,32
36,812,131.4061,28
37,828,67.9701,16
38,845,75.771706,17
39,866,97.54615,21
40,884,79.33279,18
41,904,89.38975,20
42,925,96.17174,21
43,942,75.72241,17
44,958,71.55778,16
45,978,85.53554,20
46,1005,124.67229,27
47,1022,76.63362,17
48,1050,128.42274,28
49,1065,66.51596,15
50,1086,92.90371,21
51,1104,79.78223,18
52,1134,135.40318,30
53,1171,174.05412,37
54,1213,181.27626,42
55,1238,116.847435,25
56,1256,81.03114,18
57,1272,67.06521,16
58,1290,80.61054,18
59,1306,67.8209,16
60,1325,84.74065,19
61,1348,95.74644,23
62,1365,75.97563,17
63,1383,79.43033,18
64,1400,76.28492,17
65,1417,76.39701,17
66,1443,110.96921,26
67,1464,91.65025,21
68,1482,81.13969,18
69,1499,76.37164,17
70,1518,87.82405,19
71,1537,84.00913,19
72,1557,92.975334,20
73,1585,118.79588,28
74,1603,81.00994,18
75,1620,76.29311,17
76,1650,132.30481,30
77,1667,76.41585,17
78,1686,87.01363,19
79,1705,85.79032,19
80,1721,70.72244,16
81,1738,72.06415,17
82,1759,95.28478,21
83,1783,108.70595,24
84,1818,153.81807,35
85,1834,68.53819,16
86,1853,84.796,19
87,1879,114.62848,26
88,1905,121.40439,26
89,1921,69.47362,16
90,1937,70.98584,16
91,1953,71.58286,16
92,1970,74.8572,17
93,1988,80.51497,18
94,2005,75.529686,17
95,2063,256.2519,58
96,2081,80.608505,18
97,2103,98.72543,22
98,2149,204.50095,46
99,2165,70.59951,16
100,2194,113.56015,29
101,2212,79.604355,18
