episode,timestep,reward,length
1,16,73.99727036087155,16
2,61,235.39011422276687,45
3,98,183.15037283633882,37
4,137,199.28637381237783,39
5,174,180.61439906690828,37
6,207,151.33164960205985,33
7,224,79.78827413228949,17
8,271,230.8945544949333,47
9,297,120.99171038820994,26
10,313,72.727084388639,16
11,355,208.99446340605002,42
12,372,75.2391118297223,17
13,399,124.87399011365326,27
14,444,211.55411078119909,45
15,462,84.84548725347396,18
16,478,74.03190659646702,16
17,503,119.98354113117507,25
18,521,84.64251001338704,18
19,543,102.3121236228017,22
20,573,148.1185711750126,30
21,593,90.3363549624015,20
22,611,83.77445008183936,18
23,662,260.980594948868,51
24,730,350.3101377211805,68
25,761,146.6396889129832,31
26,785,109.10873540994109,24
27,822,152.43419215595816,37
28,840,84.3788774918982,18
29,866,127.1848657183192,26
30,912,220.4602361455758,46
31,940,125.07385172884266,28
32,981,183.58345404577565,41
33,1057,349.4034884555036,76
34,1102,219.1327566948936,45
35,1139,181.4808163408906,37
36,1156,77.19994295797204,17
37,1187,139.19206241500552,31
38,1226,173.43507406746932,39
39,1249,114.4160275553934,23
40,1269,90.08630474427945,20
41,1301,136.13244261501367,32
42,1355,284.5274174770069,54
43,1374,87.94533896047984,19
44,1417,214.03513878883425,43
45,1441,104.51721055526525,24
46,1459,77.96343712908049,18
47,1488,138.80604832473156,29
48,1517,131.65056591976926,29
49,1588,319.492368990971,71
50,1619,149.1901552079069,31
51,1675,237.69643074454635,56
52,1721,217.87896606050188,46
53,1746,119.23095573643857,25
54,1770,105.25532509775681,24
55,1793,107.89605116813085,23
56,1809,70.37251700386403,16
57,1833,111.67642859437115,24
58,1895,296.53780307006895,62
59,1938,197.08615821988113,43
60,1961,110.46986687757193,23
61,1984,105.91191926853205,23
62,2008,113.01399238047344,24
63,2035,124.24857783607182,27
64,2055,92.01946785827386,20
65,2081,114.87342812487547,26
66,2142,263.76021051219834,61
67,2192,216.51036559532295,50
68,2224,135.60185507657857,32
