episode,timestep,reward,length
1,23,97.8028453004791,23
2,39,74.20296057821159,16
3,80,201.25936504357242,41
4,121,212.27966050660123,41
5,153,146.62806403242723,32
6,171,85.4619173222627,18
7,200,141.1519590860945,29
8,219,90.96382855207413,19
9,251,155.3782887260229,32
10,282,148.79336820918547,31
11,301,91.69928158622042,19
12,334,162.29084420086926,33
13,359,118.89349838209571,25
14,387,136.4658355769185,28
15,437,235.46656278053405,50
16,468,140.95171722370796,31
17,487,84.87177697547138,19
18,506,88.18112573197662,19
19,571,349.89334408596085,65
20,595,114.02043446758434,24
21,615,95.28017042521167,20
22,637,100.03193051891532,22
23,682,226.81686256958565,45
24,709,127.56809305281244,27
25,736,121.94721988059985,27
26,766,146.07852146171885,30
27,800,156.756596345596,34
28,821,93.81187575531698,21
29,883,294.9258041732192,62
30,905,101.18813292312942,22
31,926,99.0573261578711,21
32,973,229.34500666939869,47
33,1006,168.29137597400572,33
34,1024,84.2369464821778,18
35,1040,73.37918237226036,16
36,1063,111.13914847041495,23
37,1086,104.64648660632757,23
38,1104,80.45312519906231,18
39,1125,97.71393285630893,21
40,1185,313.41280439853637,60
41,1215,144.26768144747098,30
42,1246,153.0378158368375,31
43,1266,93.256147590356,20
44,1288,107.51005842102198,22
45,1314,124.1171240489573,26
46,1331,79.6691421545374,17
47,1358,127.84362626282012,27
48,1381,110.90002230459342,23
49,1407,128.22199289463833,26
50,1449,209.5000731969359,42
51,1482,163.4404629070418,33
52,1501,87.82111069899466,19
53,1520,89.86534488348407,19
54,1549,144.0487223398585,29
55,1575,124.29024708700479,26
56,1606,152.0644338385872,31
57,1628,103.62975286307648,22
58,1668,198.98682691355816,40
59,1685,76.45760285519617,17
60,1710,115.99124465737,25
61,1733,108.16462279921058,23
62,1756,108.68870370679227,23
63,1791,161.89722089216474,35
64,1810,90.98649186142714,19
65,1826,74.13713508697293,16
66,1871,231.99545069225772,45
67,1901,136.75319931776733,30
68,1931,142.33156021497746,30
69,1986,278.79942129844756,55
70,2005,91.17582946686376,19
71,2027,101.82345624802582,22
72,2072,227.23322958055172,45
73,2093,92.50887009315434,21
74,2138,209.6007083442361,45
75,2223,450.7254250915006,85
76,2275,259.87765560586615,52
77,2294,88.93533869375295,19
78,2330,179.73946536856374,36
79,2355,121.9641414938873,25
80,2387,148.89937221719916,32
81,2417,144.62724403333814,30
82,2464,217.52584539460733,47
83,2498,157.94496280576408,34
84,2605,535.9440751071642,107
85,2624,89.78553175420653,19
86,2677,269.2524468998862,53
87,2707,147.76035283293416,30
88,2768,283.67241029823026,61
89,2795,127.28655288744127,27
90,2822,133.65223806973592,27
91,2861,181.66730698008018,39
92,2938,388.3133982383046,77
93,2992,265.67791797622147,54
94,3025,155.69254643695868,33
95,3109,399.8925389981778,84
96,3169,297.0507817910664,60
97,3196,125.73552971465892,27
98,3239,184.51723830735827,43
99,3285,230.9093898593953,46
100,3314,136.85177668963584,29
101,3372,277.5888732588266,58
102,3415,201.44114484756136,43
