episode,timestep,reward,length
1,44,17.105320782166302,44
2,162,3.3014472574366267,118
3,206,33.33140226002823,44
4,246,24.499740220081357,40
5,268,9.196791504980311,22
6,307,7.004493247453697,39
7,327,6.18335869529383,20
8,347,7.406418704716032,20
9,491,271.4669773951483,144
10,694,316.53189452311494,203
11,720,17.860850818360788,26
12,759,20.42434269548915,39
13,930,296.6267550400266,171
14,1052,101.68524608567573,122
15,1195,223.92070209995217,143
16,1254,52.764902556595835,59
17,1320,38.899724439438295,66
18,1541,310.862361068167,221
19,1575,2.888617180627249,34
20,1787,92.65761183210233,212
21,1819,5.642028125528069,32
22,1860,17.432699659340884,41
23,1913,32.77716021720363,53
24,2093,303.11424842027856,180
25,2233,22.66095766378667,140
26,2279,31.841231082975632,46
27,2423,263.6490064036582,144
28,2451,14.548851668812876,28
29,2593,255.29745037074983,142
30,2618,12.409404288593247,25
31,2801,68.4723731669513,183
32,2829,18.16783998468802,28
33,2877,22.92160805117348,48
34,2919,19.835072977784108,42
35,2950,5.335294759458459,31
36,2997,42.17125172575116,47
37,3170,57.95386900531397,173
38,3188,6.419186981300939,18
39,3229,27.972345176494546,41
40,3363,247.59010007896515,134
41,3501,40.28822722329428,138
42,3633,246.41531384134112,132
43,3671,19.471371446480553,38
44,3826,272.40161363160416,155
45,3963,21.52553800731605,137
46,3984,9.995054287946628,21
47,4041,37.862578923523365,57
48,4164,115.87923410015145,123
49,4379,320.15451126516695,215
50,4521,259.7532780215407,142
51,4906,498.73901588049284,385
52,4947,13.436900963506549,41
53,5003,43.368716714748686,56
54,5101,-19.970208431184673,98
55,5243,61.871952090624404,142
56,5432,74.38762415916449,189
57,5592,40.341982567903266,160
58,5674,52.34704640392529,82
59,5798,8.467282517705756,124
60,5937,255.33787813808482,139
61,6118,295.62547824845933,181
62,6167,17.880076258082816,49
63,6341,288.0557871832061,174
64,6364,4.741740828008055,23
65,6494,246.79917091072429,130
66,6652,47.27779405548054,158
67,6685,25.271015385648873,33
68,6950,133.51445735111767,265
69,7001,27.067670460915576,51
70,7138,16.59389095421298,137
71,7233,4.595536220855005,95
72,7389,265.7513404534262,156
73,7434,12.857683463379205,45
74,7557,-0.3211330840427098,123
75,7752,90.64744258096809,195
76,7894,42.96517946952576,142
77,8050,41.736088220451876,156
78,8255,83.2154056897121,205
79,8413,44.60169641642543,158
80,8601,62.141555002245006,188
81,8678,27.09657607681705,77
82,8814,256.1716326327646,136
83,8839,12.91358913553889,25
84,8976,252.71620372953726,137
85,9123,259.88608773740265,147
86,9269,260.24950169386767,146
87,9321,36.03651747929239,52
88,9461,144.4349216367023,140
89,9631,56.83544709983674,170
90,9783,267.16354787877987,152
91,9825,27.91418037120649,42
92,9883,37.87816528200348,58
93,9896,2.8064044197752818,13
94,9979,39.9606358692681,83
95,9992,2.949508255720926,13
96,10163,51.5645239909353,171
97,10439,154.06515317841018,276
98,10581,219.77588396917693,142
99,10691,-5.031727221469593,110
100,10869,301.3831700869961,178
101,11025,275.24172906421546,156
102,11111,27.303819928412466,86
103,11290,294.96668362460645,179
104,11568,392.23268018174366,278
105,11638,45.64273150396845,70
106,11690,21.78550333827221,52
107,11860,52.514038421866644,170
108,11875,4.314613811939804,15
109,12003,13.317270067239605,128
110,12039,5.299218485875193,36
111,12056,7.497707582462862,17
112,12115,42.28177521089099,59
113,12176,40.68393668104459,61
114,12237,52.057988836041595,61
115,12312,69.64137501949224,75
116,12433,27.440565103656894,121
117,12559,10.343983441048149,126
118,12772,123.97481430173426,213
119,12931,274.1749348633847,159
120,12959,8.34025902690303,28
121,13154,313.5453349146205,195
122,13354,318.8227292278401,200
123,13456,65.41548279671755,102
124,13544,-12.88217830537907,88
125,13729,98.12661641171239,185
126,13959,346.05612465056737,230
127,14012,34.67017040753374,53
128,14147,237.44516337353932,135
129,14304,278.9544682225592,157
130,14364,51.77661397574824,60
131,14502,257.8997807790359,138
132,14646,23.654115320142513,144
133,14681,6.597892212459312,35
134,14719,10.949739825799606,38
135,14865,264.6146529279147,146
136,15011,263.7573978585147,146
137,15045,16.940009513005766,34
138,15216,293.05286659006856,171
139,15350,250.53227705426437,134
140,15516,4.363724405807453,166
141,15536,8.193756332751027,20
142,15764,346.98585223218913,228
143,15921,287.19749091987734,157
144,16008,62.969989887369955,87
145,16152,252.50982652581175,144
