episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.0039958953857421875,0.003995999999460764,739.796875,93.8
2,0.005537986755371094,0.00553800000125193,739.796875,102.5
3,0.0071108341217041016,0.007111000000804779,739.796875,100.4
4,0.008989810943603516,0.008990000000267173,739.796875,83.8
5,0.011586904525756836,0.01158700000087265,739.796875,100.8
6,0.021834850311279297,0.029388000000835746,739.796875,178.8
7,0.468142032623291,0.9420920000011392,742.09375,204.4
8,2.140652894973755,4.350651000000653,742.6875,203.8
9,3.4815399646759033,7.084780000001047,743.234375,203.9
10,4.674593925476074,9.519663000000946,743.28125,204.2
11,5.158933877944946,10.512129000000641,743.3125,204.8
12,5.652130842208862,11.522984000001088,743.3125,204.9
13,6.156005859375,12.508530999999493,743.34375,195.6
14,6.655998945236206,13.516433000000688,743.359375,201.6
15,7.1369948387146,14.495168999999805,743.390625,203.4
16,7.625556945800781,15.495092999999542,743.421875,204.6
17,8.124655723571777,16.506671000001006,743.421875,202.8
18,8.843216896057129,17.9721499999996,743.46875,203.9
19,9.391786813735962,19.080457000000024,743.53125,202.0
20,9.763242959976196,19.835621000000174,743.53125,203.1
21,10.997009754180908,22.352915999999823,743.59375,204.1
22,12.690263986587524,25.783284999999523,743.65625,202.5
23,13.919044017791748,28.27765300000101,743.703125,203.0
24,15.09232783317566,30.659459000000425,743.734375,203.0
25,16.616548776626587,33.773895000000266,743.796875,204.3
26,18.01479172706604,36.61944500000027,743.859375,203.5
27,19.217756748199463,39.07243300000118,743.90625,203.9
28,19.845048904418945,40.351722000001246,743.9375,203.9
29,21.034397840499878,42.74716900000021,744.0,201.4
30,22.1328067779541,44.99184400000013,744.03125,204.4
31,22.268828868865967,45.27196200000071,744.03125,205.8
32,22.511591911315918,45.769736000000194,744.03125,205.2
33,23.332226037979126,47.426722000000154,744.078125,201.9
34,24.285281896591187,49.36763299999984,744.140625,203.6
35,25.39038896560669,51.60787700000037,744.171875,202.8
36,26.746266841888428,54.38332199999968,744.234375,204.7
37,27.986613988876343,56.915719000000536,744.28125,204.2
38,29.055524826049805,59.07642300000043,744.3125,202.1
39,30.178396701812744,61.340501000000586,744.375,201.7
40,31.467174768447876,63.95146100000056,744.40625,202.6
41,32.43685984611511,65.92288499999995,744.453125,203.3
42,33.98125982284546,69.03240600000026,744.515625,201.3
43,35.10372710227966,71.32076500000039,744.578125,203.8
44,35.30911469459534,71.74107100000037,744.578125,205.0
45,35.91020894050598,72.96973400000024,744.609375,204.4
46,37.33912181854248,75.8776539999999,744.65625,203.5
47,38.88422870635986,79.01247499999954,744.71875,202.8
48,39.666632890701294,80.5595489999996,744.75,197.8
49,40.87942981719971,83.019459000001,744.78125,202.8
50,41.95121788978577,85.20832700000028,745.453125,204.3
51,44.49187183380127,90.37279000000126,745.5625,203.3
52,45.200350761413574,91.80105399999957,745.59375,201.5
53,45.987831830978394,93.40300899999966,745.625,203.5
54,46.499393939971924,94.43893399999979,745.65625,202.4
55,48.082520961761475,97.60210000000006,745.71875,199.8
56,48.82397794723511,99.07455400000072,745.75,198.6
57,50.42143487930298,102.28888800000095,745.8125,201.3
58,51.47318983078003,104.43000100000063,745.859375,203.5
59,53.39542293548584,108.30292999999983,745.921875,201.5
60,55.32838797569275,112.1986880000004,746.015625,201.6
61,56.66238188743591,114.87944299999981,746.0625,201.0
62,57.08380579948425,115.73400000000038,746.09375,202.8
63,58.091646909713745,117.77058700000089,746.125,202.0
64,58.66746377944946,118.93738300000041,746.15625,202.7
65,59.15465474128723,119.92743300000075,746.15625,203.0
66,59.96278691291809,121.5690169999998,746.1875,203.1
67,60.842851877212524,123.33504499999981,746.234375,200.7
68,61.4572217464447,124.59407900000042,746.265625,205.0
69,62.1939640045166,126.09386699999959,746.296875,203.6
70,62.615304946899414,126.94149300000026,746.328125,201.1
71,63.054566860198975,127.82471900000019,746.328125,201.2
72,63.55595898628235,128.82671599999958,746.359375,199.8
73,64.0615029335022,129.84979500000009,746.359375,202.3
74,64.68710684776306,131.12384500000007,746.390625,203.6
75,65.4013078212738,132.5643250000012,746.4375,201.6
76,65.92535185813904,133.63246000000072,746.4375,203.9
77,66.33394980430603,134.46879500000068,746.46875,204.8
78,66.94573378562927,135.707319000001,747.09375,202.4
