episode,timestep,reward,length
1,19,5.129141,19
2,42,-4.365678,23
3,56,-3.5532746,14
4,76,-9.208104,20
5,89,-2.4929743,13
6,107,5.9873524,18
7,119,-4.400243,12
8,135,-0.6842977,16
9,166,-3.3056178,31
10,180,-4.8791714,14
11,204,0.57670367,24
12,227,-0.22485518,23
13,237,-0.10796785,10
14,258,-3.7863035,21
15,268,-5.258706,10
16,290,-1.4041755,22
17,317,6.5435004,27
18,352,12.286313,35
19,369,0.1865083,17
20,402,0.7284794,33
21,413,-4.892823,11
22,450,9.453978,37
23,473,-4.250057,23
24,493,-10.240068,20
25,509,-1.6255913,16
26,535,-2.4244008,26
27,558,-3.0617614,23
28,569,-5.1928234,11
29,581,1.3993655,12
30,599,1.3241024,18
31,611,-2.7089431,12
32,622,-1.2170607,11
33,636,3.079431,14
34,645,-2.9228525,9
35,671,8.386212,26
36,685,1.809552,14
37,731,8.554628,46
38,741,-3.8736124,10
39,751,-2.693566,10
40,763,0.76372063,12
41,778,-9.9556055,15
42,794,-5.289636,16
43,806,0.79443717,12
44,826,4.125672,20
45,849,-3.2896047,23
46,860,0.6873983,11
47,872,-3.591476,12
48,894,4.8889103,22
49,907,-0.87557375,13
50,917,-2.9922495,10
51,931,-4.0695267,14
52,955,-9.39934,24
53,979,1.2412288,24
54,1010,3.969551,31
55,1023,2.8895278,13
56,1037,-0.4661517,14
57,1064,4.141369,27
58,1077,0.2852767,13
59,1099,-8.629986,22
60,1136,1.0217952,37
61,1181,12.092811,45
62,1210,0.7230903,29
63,1228,-2.6906419,18
64,1240,-3.2543163,12
65,1254,-1.3972753,14
66,1267,-0.8538774,13
67,1279,-4.415641,12
68,1291,-1.1900519,12
69,1320,1.1189394,29
70,1339,-1.5575175,19
71,1354,1.2701523,15
72,1366,-1.1148169,12
73,1380,-1.1826028,14
74,1394,-3.0444922,14
75,1415,-3.1695657,21
76,1427,-3.731214,12
77,1437,-1.1197919,10
78,1456,-10.29834,19
