episode,timestep,reward,length
1,19,-0.37979057,19
2,32,-1.1279966,13
3,65,9.028856,33
4,91,0.33148497,26
5,151,19.93634,60
6,174,1.8227284,23
7,191,2.6373088,17
8,214,5.070601,23
9,232,-0.40290356,18
10,270,4.736908,38
11,284,0.2292614,14
12,303,-1.0404952,19
13,333,15.047002,30
14,352,5.8235126,19
15,383,9.752513,31
16,402,3.1036384,19
17,434,4.6866293,32
18,454,4.9919143,20
19,474,-4.1635356,20
20,500,-2.063141,26
21,606,8.560266,106
22,635,-1.0576146,29
23,675,0.9077767,40
24,724,28.603659,49
25,765,2.3255534,41
26,864,11.644343,99
27,956,-10.930622,92
28,1050,2.7420406,94
29,1101,10.597862,51
30,1258,247.7575,157
31,1476,33.156178,218
32,1605,10.1285515,129
33,1763,-13.891426,158
34,1870,-4.075647,107
35,2129,76.11597,259
36,2300,30.253788,171
37,2570,124.64459,270
38,2730,250.29834,160
39,3031,415.95825,301
40,3434,532.35315,403
41,3651,325.0729,217
42,4278,375.83945,627
43,4399,175.63173,121
44,4647,380.3744,248
45,4875,56.65997,228
46,5514,673.3071,639
47,6003,321.627,489
48,6099,143.31746,96
49,6293,284.68314,194
50,6438,256.5477,145
51,6625,87.871666,187
52,6907,146.39415,282
53,7121,341.87585,214
54,7357,96.44898,236
55,7578,306.65317,221
56,7726,234.39143,148
57,8140,213.75761,414
58,8308,284.90076,168
59,8514,63.302204,206
60,8691,34.74563,177
61,8888,299.25,197
62,9084,233.4937,196
63,9483,419.98383,399
64,9688,322.32254,205
65,9893,348.8491,205
66,10026,188.43298,133
67,10172,249.6708,146
68,10378,292.01212,206
69,10649,393.43903,271
70,10893,389.5449,244
71,11067,255.05472,174
72,11326,131.63304,259
73,11539,320.85632,213
74,11722,401.42758,183
75,12011,169.56241,289
76,12236,334.62802,225
77,12407,93.52629,171
78,13059,730.7771,652
79,13271,307.5749,212
80,13440,63.740345,169
81,13642,278.41168,202
82,13885,359.72446,243
83,14091,320.73245,206
84,14352,397.94818,261
85,14710,192.72115,358
86,15110,243.05345,400
87,15300,271.35577,190
88,15419,210.92621,119
89,15553,220.86792,134
90,15700,243.06615,147
91,15919,363.8896,219
92,16189,373.60114,270
93,16387,336.7715,198
94,16573,318.64072,186
95,16726,257.29196,153
96,17178,307.8828,452
97,17362,301.47943,184
98,17445,127.32179,83
99,17979,373.1455,534
100,18348,250.19615,369
101,18527,316.23135,179
102,18717,306.7795,190
103,18910,375.79996,193
104,19123,359.4767,213
105,19376,459.27176,253
106,19545,312.85718,169
107,20119,706.3128,574
108,20589,597.8551,470
109,20844,432.54868,255
110,21128,493.49203,284
111,21334,381.69745,206
112,21613,535.42255,279
113,21820,383.56653,207
114,22026,455.53616,206
115,22360,503.96356,334
116,22603,401.2131,243
117,22855,423.46262,252
118,23066,396.5302,211
119,23276,335.56494,210
120,23632,562.4635,356
121,23867,444.00537,235
122,24030,314.43036,163
123,24355,613.81445,325
124,24613,450.25076,258
125,24815,330.82608,202
126,25115,542.51434,300
127,25345,394.2424,230
128,25534,332.1065,189
129,25769,426.43555,235
130,26020,416.8201,251
131,26295,460.46875,275
132,26598,544.2177,303
133,27499,1103.8845,901
134,27828,543.4244,329
135,28308,876.26666,480
136,28680,568.18256,372
137,28909,401.3581,229
138,29106,363.97122,197
139,29456,650.96765,350
140,29672,379.7751,216
141,30239,774.8683,567
142,30420,338.05667,181
143,30857,641.7646,437
144,31275,502.31693,418
145,31448,276.0341,173
146,31778,508.72617,330
147,32135,528.9632,357
148,32531,467.03647,396
149,32733,324.06384,202
150,32991,466.00925,258
151,33314,549.3009,323
152,33537,387.48654,223
153,33790,404.44077,253
154,34030,318.7771,240
155,34280,472.26498,250
156,34565,356.05048,285
157,34887,527.90375,322
158,35083,293.1951,196
159,35349,440.9887,266
160,35670,455.00046,321
161,35913,471.5785,243
162,36093,304.4095,180
163,36414,530.3368,321
164,36551,220.14082,137
165,36810,451.28522,259
166,37035,362.39392,225
167,37301,504.44025,266
168,37466,319.62463,165
169,37655,83.310005,189
170,38075,359.48077,420
171,38357,523.71564,282
172,38676,173.61218,319
173,38832,267.80182,156
174,39091,432.34613,259
175,39509,252.96785,418
176,39760,447.73965,251
177,40095,535.1673,335
178,40372,485.94113,277
179,40715,546.97577,343
180,40889,322.46982,174
181,41152,461.48364,263
182,41424,463.42618,272
183,41742,520.3618,318
184,41978,408.26755,236
185,42260,433.37747,282
186,42499,398.4925,239
187,42818,507.30722,319
188,43249,635.9963,431
189,43522,476.22684,273
190,43920,748.5213,398
191,44147,417.01993,227
192,44439,467.8053,292
193,45043,803.25165,604
194,45278,404.6579,235
195,45605,612.4517,327
196,46006,557.24445,401
197,46411,618.58875,405
198,46738,501.45685,327
199,47102,781.69556,364
200,47357,431.71265,255
201,47596,486.1016,239
202,47958,574.63446,362
203,48343,599.66144,385
204,48593,436.33264,250
205,48758,263.0637,165
206,49178,654.5794,420
207,49515,617.62634,337
208,49691,320.54218,176
209,50075,525.5176,384
210,50407,601.31006,332
211,50755,696.92615,348
212,51071,537.2997,316
213,51384,458.8489,313
214,51537,27.497955,153
215,51731,341.08603,194
216,51946,355.44662,215
217,52220,486.10092,274
218,52423,366.00064,203
219,52743,580.0932,320
220,53209,746.4511,466
221,53667,693.1674,458
222,54216,811.3138,549
223,54543,657.2796,327
224,54712,307.25842,169
225,54959,397.6721,247
226,55192,387.23383,233
227,55481,395.17145,289
228,55822,689.46686,341
229,56089,339.99573,267
230,56311,387.4433,222
231,56522,389.82227,211
232,56895,646.29504,373
233,57106,406.82544,211
234,57273,332.96024,167
235,57482,394.2841,209
236,57754,474.50403,272
237,58332,399.34122,578
238,58541,446.72406,209
239,58804,395.46573,263
240,58995,349.99646,191
241,59170,323.0201,175
242,59468,566.9877,298
243,59789,500.50793,321
244,60035,412.29053,246
245,60233,414.9426,198
246,60459,388.33725,226
247,60651,361.61926,192
248,60839,354.3612,188
249,61019,342.4857,180
250,61219,400.35535,200
251,61458,436.16266,239
252,62314,1012.924,856
253,62563,544.27545,249
254,62744,326.24014,181
255,62955,397.59283,211
256,63177,403.3932,222
257,63394,418.9735,217
258,63618,454.23532,224
259,63854,419.71237,236
260,64592,911.1211,738
261,64915,478.92767,323
262,65120,392.97916,205
263,65358,414.20465,238
264,65619,477.35486,261
265,65866,457.71426,247
266,66121,467.35413,255
267,66314,376.79013,193
268,66536,375.8735,222
269,66808,544.80853,272
270,67028,406.23785,220
271,67282,421.2014,254
272,67525,469.30118,243
273,67768,338.69208,243
274,68022,148.21991,254
275,68759,820.3796,737
276,68989,432.05267,230
277,69253,527.42975,264
278,69471,350.40964,218
279,69767,554.32324,296
280,70115,554.99695,348
281,70323,372.64963,208
282,70583,473.26263,260
283,70983,824.0161,400
284,71215,506.39423,232
285,71434,353.4249,219
286,71857,441.11838,423
287,71981,193.39503,124
288,72193,445.9522,212
289,72476,556.1777,283
290,72665,361.37747,189
291,72855,391.10675,190
292,73126,519.52344,271
293,73414,462.54938,288
294,73652,437.5056,238
295,73856,390.55695,204
296,74193,712.2669,337
297,74376,369.83997,183
298,74572,359.82727,196
299,74793,396.73862,221
300,75100,606.8369,307
301,75369,446.79947,269
302,75615,470.82013,246
303,75924,513.58655,309
304,76220,440.86346,296
305,76418,352.52682,198
306,76651,400.23438,233
307,76820,309.01804,169
308,77011,109.84859,191
309,77240,403.4475,229
310,77575,620.3518,335
311,77784,363.471,209
312,77984,382.88605,200
313,78245,464.68686,261
314,78473,412.54456,228
315,78762,461.59692,289
316,78955,377.35538,193
317,79142,329.93378,187
318,79765,782.81226,623
319,80049,667.58374,284
320,80299,545.0689,250
321,80567,477.33994,268
322,80749,356.84714,182
323,81045,499.55145,296
324,81422,640.82733,377
325,81652,125.57281,230
326,81963,583.48285,311
327,82372,528.3648,409
328,82647,537.78625,275
329,82885,450.83746,238
330,83152,221.46178,267
331,83330,330.38196,178
332,83587,473.85364,257
333,83870,562.5146,283
334,84128,430.31033,258
335,84438,561.1377,310
336,84688,433.38855,250
337,85051,841.73193,363
338,85289,407.82043,238
339,85506,397.27533,217
340,85748,421.0625,242
341,86182,590.938,434
342,86449,461.88135,267
343,86793,690.0898,344
344,87170,749.3779,377
345,87536,839.80145,366
346,88081,509.82556,545
347,88361,136.08505,280
348,88591,403.80173,230
349,88885,570.5663,294
350,89259,677.432,374
351,89550,571.92975,291
352,89834,525.79486,284
353,90119,495.6694,285
354,90378,485.4434,259
355,90685,575.6718,307
356,90962,712.16895,277
357,91209,462.35397,247
358,91561,704.6031,352
359,91856,570.78156,295
360,92098,422.23654,242
361,92453,839.9095,355
362,92645,366.90115,192
363,92938,619.77997,293
364,93225,592.7532,287
365,93455,440.93634,230
366,93724,534.28796,269
367,94011,534.2119,287
368,94338,744.8879,327
369,94569,489.3279,231
370,94867,658.741,298
371,95074,340.95007,207
372,95349,645.04346,275
373,95873,1333.752,524
374,96103,385.8312,230
375,96316,477.7352,213
376,97316,1239.3383,1000
377,97541,409.75378,225
378,97790,485.01624,249
379,98014,444.8374,224
380,98211,399.27377,197
381,98437,415.5817,226
382,98662,435.6927,225
383,99082,985.2124,420
384,99320,448.8792,238
385,99582,599.3527,262
386,99796,447.3403,214
387,100186,971.1389,390
388,100382,388.37103,196
389,100586,406.97797,204
390,100931,705.2595,345
391,101221,508.11942,290
392,101474,469.88782,253
393,101793,699.64124,319
394,102055,630.0896,262
395,102259,417.78516,204
396,102508,411.3725,249
397,102878,898.0044,370
398,103103,401.8078,225
399,103557,977.1032,454
400,103983,898.5482,426
401,104326,842.01825,343
402,104698,784.9394,372
403,104939,481.1169,241
404,105517,1211.6648,578
405,106014,1152.3768,497
406,106344,849.5345,330
407,106744,985.3893,400
408,107179,1206.5845,435
409,107561,864.9569,382
410,108118,1260.0596,557
411,108370,551.96765,252
412,108611,547.8345,241
413,108986,942.6275,375
414,109260,596.4649,274
415,109623,889.21045,363
416,109892,476.4553,269
417,110326,1047.536,434
418,110689,868.2055,363
419,111069,860.59735,380
420,111448,803.7423,379
421,111653,370.122,205
422,111924,485.23785,271
423,112441,1128.1064,517
424,112630,340.51767,189
425,113048,1184.0598,418
426,113330,571.1843,282
427,113694,849.60913,364
428,114115,903.0269,421
429,114456,858.02344,341
430,114947,1146.9703,491
431,115408,1095.4792,461
432,115755,781.28894,347
433,116346,1366.9724,591
434,116657,755.03253,311
435,117093,931.1851,436
436,117650,1162.3336,557
437,118226,1283.4279,576
438,118842,1247.7458,616
439,119623,1617.8065,781
440,120457,1751.2933,834
441,121457,1867.0645,1000
442,122457,1942.5814,1000
443,122974,1325.5999,517
444,123974,1962.4241,1000
445,124821,1787.8583,847
446,125821,1879.396,1000
447,126066,466.9957,245
448,126477,981.06213,411
449,126915,912.9651,438
450,127310,806.14844,395
451,127462,304.6507,152
452,127830,832.4656,368
453,128145,775.76825,315
454,128508,827.97925,363
455,128947,1143.8325,439
456,129297,788.5414,350
457,129659,991.76874,362
458,130062,990.5491,403
459,130511,1083.3392,449
460,130910,1005.43005,399
461,131365,939.285,455
462,131773,1065.9542,408
463,132266,1009.7983,493
464,132638,886.6858,372
465,132967,854.0196,329
466,133193,215.23286,226
467,133507,808.3675,314
468,133930,1098.3599,423
469,134201,653.95306,271
470,134575,922.45447,374
471,134772,429.25497,197
472,135177,1198.898,405
473,135547,880.0681,370
474,135730,335.02713,183
475,135992,624.21924,262
476,136433,1093.3478,441
477,136846,934.1894,413
478,137346,790.94104,500
479,137748,1047.0421,402
480,138019,626.1935,271
481,138420,1067.8341,401
482,138784,955.389,364
483,139198,1105.3143,414
484,139570,923.12006,372
485,139882,767.62634,312
486,140229,890.6519,347
487,140616,862.29944,387
488,140960,900.31177,344
489,141395,1067.2792,435
490,141750,907.91766,355
491,142080,880.3944,330
492,142572,1452.8497,492
493,142926,870.83606,354
494,143530,1712.4885,604
495,143844,929.17035,314
496,144320,1460.1364,476
497,144625,866.9769,305
498,145124,1601.4565,499
499,145446,868.466,322
500,145722,738.75146,276
501,146027,828.54645,305
502,146342,716.56036,315
503,146507,284.94376,165
504,147195,2271.0054,688
505,147361,309.46988,166
506,147705,942.9926,344
507,148000,740.6788,295
508,148243,614.60266,243
509,148377,286.62762,134
510,148584,510.7012,207
511,148937,1094.5209,353
512,149296,851.3902,359
513,149710,1009.7917,414
514,149899,422.82324,189
515,150050,291.03522,151
516,150492,1470.1355,442
517,150664,147.37457,172
518,150957,786.5603,293
519,151348,942.5889,391
520,151621,638.1513,273
521,151977,941.09656,356
522,152112,276.384,135
523,152573,1347.1906,461
524,153088,1647.236,515
525,153412,889.5402,324
526,153588,212.66257,176
527,153863,868.74615,275
528,154204,984.5591,341
529,154741,1633.7646,537
530,155201,1571.1318,460
531,155436,593.13043,235
532,155553,256.49686,117
533,155894,1020.7929,341
534,156193,822.4457,299
535,156774,1153.3228,581
536,157095,850.29614,321
537,157485,1186.3868,390
538,157877,1210.482,392
539,158169,695.71234,292
540,158516,1209.701,347
541,158825,676.6498,309
542,159281,1136.1466,456
543,159585,895.0218,304
544,159899,717.9435,314
545,160038,261.58313,139
