episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.004397153854370117,0.0043960000039078295,538.734375,97.3
2,0.00688624382019043,0.006886000002850778,538.734375,84.6
3,0.009359121322631836,0.009358000002976041,538.734375,84.7
4,0.0142059326171875,0.01420499999949243,538.734375,129.7
5,0.2733430862426758,0.49925700000312645,539.828125,186.9
6,0.5196599960327148,0.9622070000041276,539.859375,188.2
7,0.7381229400634766,1.3744490000026417,540.109375,189.1
8,1.0253591537475586,1.9067090000025928,540.15625,184.7
9,1.931298017501831,3.608684999999241,540.203125,188.2
10,2.502902030944824,4.670887000000221,541.1875,186.0
11,2.8006672859191895,5.229811000004702,541.21875,186.6
12,3.7870781421661377,7.064488000003621,541.578125,186.2
13,4.345086097717285,8.100914000002376,541.609375,185.3
14,5.5643792152404785,10.380542000006244,541.640625,187.1
15,6.059335231781006,11.302214000003005,541.671875,185.6
16,6.512874126434326,12.149687000004633,541.671875,187.7
17,7.01452112197876,13.086770000001707,541.6875,186.0
18,8.01716923713684,14.954757999999856,541.71875,186.6
19,9.361406087875366,17.457195000002685,541.78125,186.0
20,11.332524061203003,21.110020000000077,541.984375,185.4
21,13.005331993103027,24.241591000005428,542.046875,187.3
22,14.81361198425293,27.61445800000365,542.140625,186.4
23,16.66970705986023,31.045946000005642,542.1875,185.0
24,18.17104697227478,33.85989700000209,542.21875,187.3
25,19.745955228805542,36.713932000006025,542.265625,181.4
26,23.987044095993042,44.62945200000104,542.625,186.7
27,25.826914072036743,48.0434710000045,542.6875,185.3
28,27.549649953842163,51.26685400000133,542.71875,187.2
29,29.698424100875854,55.27285700000357,542.75,186.4
30,32.3737370967865,60.22191700000258,542.953125,185.0
31,35.39079809188843,65.80100099999981,543.015625,185.0
32,37.93383598327637,70.52028799999971,543.09375,185.5
33,39.98217010498047,74.34279000000242,543.1875,186.6
34,43.179861068725586,80.30974500000593,543.25,186.7
35,47.07552623748779,87.56818500000372,543.484375,186.3
36,49.92786002159119,92.92534300000261,543.546875,187.7
37,52.722360134124756,98.1298900000038,543.609375,186.4
38,57.00200390815735,106.09972900000139,543.75,186.2
39,61.46604609489441,114.39207400000305,543.875,185.8
40,64.51222920417786,120.10782400000608,543.953125,187.7
41,67.36242604255676,125.41302600000199,544.015625,185.9
42,69.18513417243958,128.80978300000424,544.046875,186.5
43,70.4472131729126,131.1214650000038,544.078125,183.0
44,73.41266417503357,136.63603700000385,544.171875,186.1
45,75.36630511283875,140.27021600000444,544.234375,186.0
46,77.81811928749084,144.8143940000009,544.265625,185.4
47,80.08530521392822,149.0397660000017,544.34375,186.4
48,82.55424618721008,153.63841700000194,544.40625,186.1
49,84.89201998710632,157.99717800000508,544.4375,186.6
50,89.56394910812378,166.7542670000039,544.578125,187.4
51,91.85183310508728,171.0223810000025,544.609375,186.6
52,95.88196611404419,178.53297400000156,544.71875,186.3
53,97.58287906646729,181.71649700000125,544.75,187.4
54,100.2331030368805,186.61486100000184,544.8125,184.7
55,102.27262592315674,190.41670500000328,544.875,186.5
56,104.98768305778503,195.4926620000042,545.0625,186.9
57,110.06068396568298,204.91146900000604,545.859375,185.7
58,117.55384707450867,218.839387,546.03125,185.9
59,122.90356922149658,228.8195590000032,546.171875,186.6
60,125.07931590080261,232.79593400000158,546.234375,182.8
61,128.31103110313416,238.81133500000578,546.3125,186.1
62,130.1573781967163,242.25387000000046,546.34375,186.4
63,133.26269912719727,248.05872100000124,546.40625,186.9
64,135.74989700317383,252.67375000000175,546.484375,185.7
65,139.50898218154907,259.6643250000052,546.578125,185.9
66,142.37518692016602,265.02046100000007,546.640625,186.9
67,146.39965105056763,272.5075780000043,546.75,186.0
68,148.92800903320312,277.2170680000054,546.8125,186.4
69,152.30287218093872,283.5318810000026,546.890625,187.0
70,154.33733820915222,287.3358650000009,546.921875,186.9
71,156.62093424797058,291.5812389999992,546.984375,186.0
72,158.45171523094177,294.93506800000614,547.015625,183.2
73,160.17257404327393,298.11877300000197,547.0625,185.0
74,162.49352598190308,302.45456900000136,547.125,187.0
75,164.72237420082092,306.6201930000025,547.1875,186.9
76,167.7611961364746,312.27534500000183,547.265625,186.1
77,170.05355310440063,316.5272920000061,547.3125,185.5
