episode,timestep,reward,length
1,14,-0.00037026405,14
2,24,-3.8762884,10
3,42,3.089499,18
4,63,-10.838927,21
5,84,7.3936386,21
6,102,4.4544287,18
7,239,254.21568,137
8,482,127.46445,243
9,654,60.01502,172
10,899,172.38121,245
11,1090,74.37034,191
12,1264,61.707726,174
13,1441,64.26642,177
14,1673,117.201836,232
15,1866,78.09946,193
16,2076,94.91544,210
17,2272,81.42169,196
18,2449,63.265186,177
19,2641,77.798256,192
20,2823,68.24512,182
21,2948,144.08437,125
22,3019,69.52221,71
23,3093,73.09886,74
24,3162,72.790276,69
25,3234,71.0223,72
26,3307,70.393,73
27,3378,69.89015,71
28,3450,69.992744,72
29,3523,69.46296,73
30,3593,70.31562,70
31,3665,69.47665,72
32,3737,69.53676,72
33,3810,69.88416,73
34,3882,69.44769,72
35,3955,69.951614,73
36,4028,70.202126,73
37,4098,71.46504,70
38,4171,70.34486,73
39,4240,73.702614,69
40,4309,72.55329,69
41,4379,70.36636,70
42,4450,70.64201,71
43,4523,72.52205,73
44,4594,69.84414,71
45,4664,69.4761,70
46,4736,69.71936,72
47,4808,69.051056,72
48,4880,68.95028,72
49,4952,70.54039,72
50,5024,69.251686,72
51,5096,68.88973,72
52,5168,69.00483,72
53,5239,70.173965,71
54,5311,69.71289,72
55,5383,70.09258,72
56,5537,208.57072,154
57,5613,76.64226,76
58,5686,70.388016,73
59,5759,70.252846,73
60,5831,71.35141,72
61,5909,81.58345,78
62,5991,91.88278,82
63,6098,143.71376,107
64,6203,141.09888,105
65,6311,145.28008,108
66,6425,159.80865,114
67,6556,-6.520111,131
68,6659,-56.78193,103
69,6727,52.176556,68
70,6803,63.054417,76
71,6889,107.93051,86
72,6985,167.70631,96
73,7241,371.81924,256
74,7423,50.120457,182
75,7587,274.06134,164
76,7752,285.65842,165
77,7917,283.02032,165
78,8099,303.08508,182
79,8307,331.17535,208
80,8507,323.6958,200
81,8722,337.20398,215
82,8880,276.52084,158
83,9045,282.74377,165
84,9234,309.40988,189
85,9393,278.08942,159
86,9548,271.64874,155
87,9700,267.927,152
88,9850,265.07913,150
89,10051,324.21512,201
90,10215,282.6973,164
91,10373,275.85852,158
92,10592,341.42343,219
93,10787,314.6722,195
94,10958,291.11792,171
95,11118,277.8722,160
96,11315,318.12775,197
97,11482,287.21118,167
98,11703,343.25397,221
99,11854,268.10608,151
