episode,timestep,reward,length
1,32,2.0546563,32
2,64,1.7167773,32
3,74,-5.5611453,10
4,94,0.53371966,20
5,158,42.19391,64
6,168,-1.2717177,10
7,179,-1.9178817,11
8,187,-4.228774,8
9,205,1.426331,18
10,228,3.7201924,23
11,239,-1.7474979,11
12,254,3.5707502,15
13,269,-5.540556,15
14,285,0.3143258,16
15,298,-2.9062266,13
16,319,-1.7994748,21
17,343,-4.7233534,24
18,354,0.1009053,11
19,370,4.874914,16
20,380,-1.9359642,10
21,405,5.611815,25
22,420,-3.4007506,15
23,435,0.3655485,15
24,450,-2.5825548,15
25,471,9.844218,21
26,489,-0.23519099,18
27,541,0.5173893,52
28,567,-3.696837,26
29,733,-43.639748,166
30,932,318.6054,199
31,1068,4.9488726,136
32,1211,224.26227,143
33,1351,-32.496807,140
34,1431,-3.6946213,80
35,1538,-24.5405,107
36,1743,77.09915,205
37,1871,10.379755,128
38,2072,38.785736,201
39,2281,294.78476,209
40,2535,143.9479,254
41,2675,1.7542803,140
42,2834,265.7293,159
43,3046,330.02353,212
44,3263,339.42825,217
45,3418,265.47366,155
46,3585,259.43414,167
47,3797,335.6647,212
48,4015,347.34244,218
49,4335,446.4174,320
50,4505,312.42896,170
51,4665,280.7837,160
52,4881,337.37125,216
53,5006,229.2686,125
54,5293,456.2361,287
55,5517,380.94577,224
56,5672,276.73315,155
57,6032,539.6024,360
58,6166,252.69582,134
59,6341,329.1855,175
60,6480,313.22113,139
61,6626,281.7029,146
62,6845,323.76413,219
63,6928,93.841156,83
64,7000,94.41914,72
65,7176,279.19983,176
66,7395,401.37988,219
67,7598,372.63074,203
68,7794,354.3365,196
69,8028,368.48193,234
70,8185,243.05656,157
71,8385,317.5235,200
72,8575,309.37466,190
73,8761,336.9077,186
74,8974,352.5526,213
75,9172,322.48285,198
76,9738,576.448,566
77,10061,196.68828,323
78,10237,324.4604,176
79,10573,495.36475,336
80,10711,287.48965,138
81,11021,514.76355,310
82,11539,614.87537,518
83,11780,448.86737,241
84,11953,317.5717,173
85,12149,497.9531,196
86,12413,76.75271,264
87,12715,468.8683,302
88,12891,317.99512,176
89,13117,395.4056,226
90,13271,326.79123,154
91,13618,165.47487,347
92,13854,101.541176,236
93,14056,351.41928,202
94,14192,241.63634,136
95,14347,249.42838,155
96,14474,170.59717,127
97,14654,276.7216,180
98,14775,227.64868,121
99,14999,51.21716,224
100,15214,97.599434,215
101,15376,385.753,162
102,15562,3.6345105,186
103,15743,265.04352,181
104,15912,331.4705,169
105,16080,400.83545,168
106,16227,335.8659,147
107,16434,492.4108,207
108,16623,326.37552,189
109,16832,374.1193,209
110,16939,128.81366,107
111,17124,342.38828,185
112,17267,348.18936,143
113,17651,559.2111,384
114,17826,346.21643,175
115,18018,374.33725,192
116,18204,346.0062,186
117,18341,284.61014,137
118,18551,92.95622,210
119,18764,371.98718,213
120,18958,389.8651,194
121,19161,388.42874,203
122,19339,335.849,178
123,19609,447.08847,270
124,19824,378.177,215
125,19980,295.71497,156
126,20078,200.34389,98
127,20290,353.69208,212
128,20420,249.2019,130
129,20614,93.01629,194
130,20772,308.00693,158
131,21008,379.5341,236
132,21172,44.383102,164
133,21455,409.18146,283
134,21679,266.10916,224
135,21880,208.41084,201
136,21973,171.02888,93
137,22132,300.04852,159
138,22788,778.3959,656
139,22950,326.97284,162
140,23130,329.08914,180
141,23302,291.74353,172
142,23501,385.88452,199
143,23679,341.7092,178
144,23863,313.60767,184
145,24024,317.1027,161
146,24167,280.28598,143
147,24322,185.39844,155
148,24661,404.2596,339
149,24830,157.83612,169
150,24986,314.48947,156
151,25240,467.0091,254
152,25394,220.66122,154
153,25649,459.72702,255
154,25924,459.0822,275
155,26263,470.25986,339
156,26604,507.88702,341
157,26825,403.03604,221
158,27045,131.32213,220
159,27251,365.3754,206
160,27352,202.2363,101
161,27630,480.2129,278
162,28082,322.85065,452
163,28336,464.1483,254
164,28489,61.744987,153
165,28831,516.85315,342
166,29096,428.748,265
167,29394,203.37985,298
168,29608,388.3899,214
169,29828,387.74924,220
170,30036,336.1513,208
171,30270,436.33554,234
172,30459,349.1561,189
173,30578,212.24777,119
174,30776,362.6453,198
175,31073,443.36533,297
176,31220,279.12994,147
177,31412,357.8849,192
178,31573,309.56702,161
179,31790,353.63297,217
180,31966,341.38132,176
181,32169,356.35318,203
182,32539,551.8613,370
183,32684,287.12598,145
184,32890,378.27014,206
185,33099,398.445,209
186,33276,316.96146,177
187,33695,530.2207,419
188,33907,348.6296,212
189,34074,280.06534,167
190,34215,247.2498,141
191,34386,285.63434,171
192,34521,262.80566,135
193,34687,297.53476,166
194,34810,228.60193,123
195,34930,206.09499,120
196,35228,530.8833,298
197,35439,396.09647,211
198,35560,196.44157,121
199,35710,269.4551,150
200,35887,326.637,177
201,36034,269.93826,147
202,36385,417.05807,351
203,36580,364.1389,195
204,36778,374.3581,198
205,36927,221.19284,149
206,37156,375.14865,229
207,37396,411.40598,240
208,37573,346.41418,177
209,37729,299.67807,156
210,37896,339.9387,167
211,38103,376.28143,207
212,38242,278.2986,139
213,38415,338.61826,173
214,38578,341.02988,163
215,38772,389.44342,194
216,38986,357.61108,214
217,39179,336.7385,193
218,39390,415.56757,211
219,39513,251.08287,123
220,39705,390.22546,192
221,39910,370.43695,205
222,40094,396.54083,184
223,40272,325.4608,178
224,40497,429.6236,225
225,40689,331.52612,192
226,40944,435.17816,255
227,41234,514.54614,290
228,41405,327.69162,171
229,41550,273.5116,145
230,41742,364.60623,192
231,41973,448.291,231
232,42162,304.05533,189
233,42328,319.38168,166
234,42527,382.40103,199
235,42751,408.36868,224
236,42982,468.00162,231
237,43107,219.30263,125
238,43478,582.94257,371
239,43674,377.4851,196
240,43796,205.32616,122
241,43990,365.88162,194
242,44204,378.82907,214
243,44397,379.60144,193
244,44818,611.5414,421
245,45086,679.6742,268
246,45405,598.86505,319
247,45594,412.8723,189
248,45865,644.0201,271
249,46292,723.9741,427
250,46638,808.0966,346
251,46813,310.59006,175
252,46995,406.53287,182
253,47186,371.5795,191
254,47553,545.1609,367
255,47755,399.72168,202
256,48024,583.4209,269
257,48179,314.91333,155
258,48375,424.02722,196
259,48654,530.0133,279
260,48942,322.26807,288
261,49322,804.5061,380
262,49553,424.07254,231
263,49829,597.5062,276
264,50055,388.6515,226
265,50244,420.5013,189
266,50526,193.17972,282
267,50691,363.4332,165
268,50957,576.2239,266
269,51147,338.30914,190
270,51325,346.9459,178
271,51719,651.78656,394
272,52274,800.73486,555
273,52673,832.9879,399
274,52856,309.04465,183
275,53183,464.5534,327
276,53521,760.2761,338
277,53744,396.18692,223
278,53916,280.41013,172
279,54274,896.0569,358
280,54557,411.80695,283
281,54759,418.67346,202
282,55063,550.8538,304
283,55315,528.7414,252
284,55514,366.27203,199
285,55779,540.7332,265
286,56170,633.0323,391
287,56418,425.50818,248
288,56587,365.11966,169
289,57014,644.94086,427
290,57231,399.60678,217
291,57511,527.48175,280
292,57640,93.7585,129
293,57882,340.32236,242
294,58160,654.23816,278
295,58386,520.6811,226
296,58689,455.14087,303
297,58933,481.50116,244
298,59147,356.11798,214
299,59361,340.01385,214
300,59596,413.65753,235
301,59844,95.4709,248
302,60205,639.24475,361
303,60489,561.55383,284
304,60769,422.28854,280
305,61086,279.85077,317
306,61345,569.5043,259
307,61598,536.3387,253
308,61910,148.22641,312
309,62166,531.9484,256
310,62486,689.02466,320
311,62703,441.90317,217
312,62911,420.28485,208
313,63097,396.2858,186
314,63294,399.78552,197
315,63584,547.5259,290
316,63784,425.42694,200
317,64063,672.35626,279
318,64306,436.61172,243
319,64578,606.20386,272
320,64836,610.68933,258
321,65033,363.15775,197
322,65353,875.4192,320
323,65557,525.36224,204
324,65754,472.94434,197
325,65991,524.3827,237
326,66207,463.3648,216
327,66438,530.15643,231
328,66706,616.3026,268
329,66986,679.8229,280
330,67179,380.83914,193
331,67381,380.36026,202
332,67596,419.91055,215
333,67823,467.53613,227
334,68035,455.19943,212
335,68319,534.5692,284
336,68545,429.34683,226
337,68773,492.45346,228
