episode,timestep,reward,length
1,20,5.159284279636152,20
2,43,13.753759773151174,23
3,90,34.58304403964629,47
4,109,9.797958214157239,19
5,155,19.55924959390804,46
6,184,12.264404831464155,29
7,359,62.67128705989799,175
8,414,34.26806261928914,55
9,626,77.45786474253906,212
10,778,36.4877082392562,152
11,881,-11.294965816227725,103
12,923,10.415048580075004,42
13,1060,27.544530434580246,137
14,1123,44.33870488932428,63
15,1246,9.896429692914019,123
16,1314,31.639368688411537,68
17,1410,107.15023464994601,96
18,1636,124.3745702087644,226
19,1797,269.4345326596353,161
20,2048,131.8910438228283,251
21,2157,88.91716090065796,109
22,2232,54.81810471213069,75
23,2277,33.37249987998822,45
24,2458,64.26050169339436,181
25,2675,98.18960323348291,217
26,2845,294.21891266199674,170
27,3011,257.4012943250431,166
28,3201,72.79461904986073,190
29,3230,20.732386387150587,29
30,3388,273.45432039030203,158
31,3608,81.99481054089257,220
32,3747,247.6875163570434,139
33,3900,275.27194807559613,153
34,4105,312.94990738391385,205
35,4176,61.437534461181365,71
36,4502,442.67849650008316,326
37,4605,1.496286090967614,103
38,4689,32.96738788642166,84
39,4831,17.26966130653629,142
40,4917,0.6290124528866889,86
41,5180,161.1598297450324,263
42,5283,113.76428598365486,103
43,5451,282.46925715292895,168
44,5512,35.39533610445475,61
45,5537,14.039360308332444,25
46,5573,6.810679295341471,36
47,6573,958.2547083726882,1000
48,6770,315.0941785760063,197
49,6798,10.551981471815731,28
50,6860,40.0552575683344,62
51,6897,18.602134729143085,37
52,6945,23.376352719023643,48
53,6999,15.486874130329467,54
54,7142,261.2289814878039,143
55,7293,33.22576285208316,151
56,7554,368.1013193691636,261
57,7763,101.0411024584636,209
58,7899,247.45124070333068,136
59,8039,260.78438439414015,140
60,8184,238.38430558161568,145
61,8345,277.83824128004176,161
62,8703,475.9757204528776,358
63,8836,189.88947971152646,133
64,9050,112.56493028455155,214
65,9200,265.07970746388173,150
66,9337,-6.3482500314208785,137
67,9401,24.02734936661327,64
68,9444,1.170275422011883,43
69,9623,243.55861061963125,179
70,9682,60.03314357336041,59
71,9699,3.651406375039577,17
72,9842,258.6037047450748,143
73,9977,259.4163206090018,135
74,10188,325.77027109146536,211
75,10211,-3.2613674885577137,23
76,10238,15.894619832847354,27
77,10402,280.9243282929848,164
78,10550,174.78711350731436,148
79,10726,141.51076988173105,176
80,10764,26.598535826407097,38
81,10930,280.88159914428127,166
82,10968,24.65493320752728,38
83,11101,248.67295706471086,133
84,11216,-6.971349696142875,115
85,11365,14.925655260890235,149
86,11399,26.584422662036943,34
87,11509,101.4745408547491,110
88,11637,240.31129569679163,128
89,11791,29.09113040488342,154
90,11939,263.5631012054864,148
91,12072,249.39352597104704,133
92,12207,13.327161866707767,135
93,12400,302.93688047150295,193
94,12465,44.643110845750826,65
95,12654,78.91028486536,189
96,12787,251.59601762636433,133
97,12932,-6.265675533084729,145
98,13082,25.01330092829752,150
99,13234,266.9380056456862,152
100,13409,288.92398421692656,175
101,13479,67.62819303493576,70
102,13617,254.19869937678476,138
103,13756,257.57147797974085,139
104,13905,262.3905751220707,149
105,14056,268.5286699009349,151
106,14258,78.23374290936066,202
107,14426,46.594739985715165,168
108,14482,49.70096931324881,56
109,14645,279.3037136881477,163
110,14780,248.20960347391713,135
111,14906,235.54647102707347,126
112,15038,247.61847882922288,132
113,15065,11.36585186320169,27
114,15209,266.6280858766746,144
115,15347,251.363758746053,138
116,15577,116.46842914662098,230
117,15596,5.757196743358942,19
118,15763,282.8190610745651,167
119,15899,252.4283197259477,136
120,16033,251.72250839491437,134
121,16297,386.06501175506503,264
122,16444,267.3596167786853,147
123,16590,31.027108892428846,146
124,16651,62.17945248094779,61
125,17013,477.5352632748876,362
126,17142,75.74886987981124,129
127,17301,46.29599241029695,159
128,17616,447.10723909868193,315
129,17735,150.66057264903287,119
130,18000,393.2337764606306,265
131,18130,239.57430367262575,130
132,18280,269.23505830699054,150
133,18435,266.85284951471584,155
134,18648,328.8624223731902,213
135,18696,22.595871435889663,48
136,18773,-3.6077120423302853,77
137,18869,9.088934917920344,96
138,19292,571.7553013163486,423
139,19481,314.8305409465134,189
140,19765,159.41016117796084,284
141,19841,5.014406322757035,76
142,20051,85.8730482042071,210
143,20246,97.70747691728697,195
144,21246,983.1678000962755,1000
145,22246,994.87511057207,1000
146,23246,1005.1199683444671,1000
